docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cz-30,0,1,Ryanair,Ryanair,Ryanair,NNFS1-----A----,PROPN,B-ORG,ORG-Ryanair
cz-30,0,2,ruší,,rušit,VB-S---3P-AA---,VERB,O,
cz-30,0,3,kvůli,,kvůli,RR--3----------,ADP,O,
cz-30,0,4,stávkám,,stávka,NNFP3-----A----,NOUN,O,
cz-30,0,5,lety,,rok,NNNP7-----A----,NOUN,O,
cz-30,0,6,",",,",",Z:-------------,PUNCT,O,
cz-30,0,7,dotkne,,dotknout,VB-S---3P-AA---,VERB,O,
cz-30,0,8,se,,se,P7-X4----------,PRON,O,
cz-30,0,9,to,,ten,PDNS1----------,DET,O,
cz-30,0,10,desítek,,desítka,NNFP2-----A----,NOUN,O,
cz-30,0,11,tisíc,,tisíc,ClXS2----------,NUM,O,
cz-30,0,12,lidí,,člověk,NNMP2-----A----,NOUN,O,
cz-30,1,1,Irská,,irský,AAFS1----1A----,ADJ,O,
cz-30,1,2,nízkonákladová,,nízkonákladový,AAFS1----1A----,ADJ,O,
cz-30,1,3,letecká,,letecký,AAFS1----1A----,ADJ,O,
cz-30,1,4,společnost,,společnost,NNFS1-----A----,NOUN,O,
cz-30,1,5,Ryanair,Ryanair,Ryanair,NNFS1-----A----,PROPN,B-ORG,ORG-Ryanair
cz-30,1,6,kvůli,,kvůli,RR--3----------,ADP,O,
cz-30,1,7,stávce,,stávka,NNFS3-----A----,NOUN,O,
cz-30,1,8,palubního,,palubní,AAIS2----1A----,ADJ,O,
cz-30,1,9,personálu,,personál,NNIS2-----A----,NOUN,O,
cz-30,1,10,příští,,příští,AAIS4----1A----,ADJ,O,
cz-30,1,11,týden,,týden,NNIS4-----A----,NOUN,O,
cz-30,1,12,zruší,,zrušit,VB-S---3P-AA---,VERB,O,
cz-30,1,13,více,,hodně,Dg-------2A----,ADV,O,
cz-30,1,14,než,,než,"J,-------------",SCONJ,O,
cz-30,1,15,dvanáct,,dvanáct,Cn-S4----------,NUM,O,
cz-30,1,16,procent,,procento,NNNP2-----A----,NOUN,O,
cz-30,1,17,letů,,let,NNIP2-----A----,NOUN,O,
cz-30,1,18,.,,.,Z:-------------,PUNCT,O,
cz-30,2,1,Opatření,,opatření,NNNP1-----A----,NOUN,O,
cz-30,2,2,se,,se,P7-X4----------,PRON,O,
cz-30,2,3,ve,,v,RV--6----------,ADP,O,
cz-30,2,4,dnech,,den,NNIP6-----A----,NOUN,O,
cz-30,2,5,25,,25,C=-------------,NUM,O,
cz-30,2,6,.,,.,Z:-------------,PUNCT,O,
cz-30,2,7,a,,a,J^-------------,CCONJ,O,
cz-30,2,8,26,,26,C=-------------,NUM,O,
cz-30,2,9,.,,.,Z:-------------,PUNCT,O,
cz-30,2,10,července,,červenec,NNIS2-----A----,NOUN,O,
cz-30,2,11,dotkne,,dotknout,VB-S---3P-AA---,VERB,O,
cz-30,2,12,až,,až,TT-------------,PART,O,
cz-30,2,13,300,,300,C=-------------,NUM,O,
cz-30,2,14,letů,,let,NNIP2-----A----,NOUN,O,
cz-30,2,15,denně,,denně,Dg-------1A----,ADV,O,
cz-30,2,16,do,,do,RR--2----------,ADP,O,
cz-30,2,17,Belgie,Belgie,Belgie,NNFS2-----A----,PROPN,B-LOC,GPE-Belgium
cz-30,2,18,",",,",",Z:-------------,PUNCT,O,
cz-30,2,19,Portugalska,Portugalsko,Portugalsko,NNNS2-----A----,PROPN,B-LOC,GPE-Portugal
cz-30,2,20,a,,a,J^-------------,CCONJ,O,
