docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-2008,0,1,Aerolinky,,aerolinka,NNFP1-----A----,NOUN,O,
cs-2008,0,2,SAS,SAS,SAS,NNFXX-----A---8,PROPN,B-ORG,ORG-SAS-Scandinavian-Airlines
cs-2008,0,3,zrušily,,zrušit,VpTP---XR-AA---,VERB,O,
cs-2008,0,4,téměř,,téměř,Db-------------,ADV,O,
cs-2008,0,5,600,,600,C=-------------,NUM,O,
cs-2008,0,6,letů,,let,NNIP2-----A----,NOUN,O,
cs-2008,0,7,.,,.,Z:-------------,PUNCT,O,
cs-2008,1,1,Vypadla,,vypadnout,VpQW---XR-AA--1,VERB,O,
cs-2008,1,2,i,,i,J^-------------,CCONJ,O,
cs-2008,1,3,linka,,linka,NNFS1-----A----,NOUN,O,
cs-2008,1,4,mezi,,mezi,RR--7----------,ADP,O,
cs-2008,1,5,Prahou,Praha,Praha,NNFS7-----A----,PROPN,B-LOC,GPE-Prague
cs-2008,1,6,a,,a,J^-------------,CCONJ,O,
cs-2008,1,7,Oslem,Oslo,Oslo,NNNS7-----A----,PROPN,B-LOC,GPE-Oslo
cs-2008,2,1,Další,,další,AAFP4----1A----,ADJ,O,
cs-2008,2,2,stovky,,stovka,NNFP4-----A----,NOUN,O,
cs-2008,2,3,letů,,let,NNIP2-----A----,NOUN,O,
cs-2008,2,4,naplánovaných,,naplánovaný,AAIP2----1A----,ADJ,O,
cs-2008,2,5,na,,na,RR--4----------,ADP,O,
cs-2008,2,6,neděli,,neděle,NNFS4-----A----,NOUN,O,
cs-2008,2,7,ruší,,rušit,VB-P---3P-AA---,VERB,O,
cs-2008,2,8,kvůli,,kvůli,RR--3----------,ADP,O,
cs-2008,2,9,stávce,,stávka,NNFS3-----A----,NOUN,O,
cs-2008,2,10,pilotů,,pilot,NNMP2-----A----,NOUN,O,
cs-2008,2,11,skandinávská,,skandinávský,AAFS1----1A----,ADJ,O,
cs-2008,2,12,letecká,,letecký,AAFS1----1A----,ADJ,O,
cs-2008,2,13,společnost,,společnost,NNFS1-----A----,NOUN,O,
cs-2008,2,14,SAS,SAS,SAS,NNFXX-----A---8,PROPN,B-ORG,ORG-SAS-Scandinavian-Airlines
cs-2008,2,15,.,,.,Z:-------------,PUNCT,O,
cs-2008,3,1,Po,,po,RR--6----------,ADP,O,
cs-2008,3,2,celé,,celý,AAFS6----1A----,ADJ,O,
cs-2008,3,3,Skandinávii,Skandinávie,Skandinávie,NNFS6-----A----,PROPN,B-LOC,LOC-Scandinavia
cs-2008,3,4,tak,,tak,Db-------------,ADV,O,
cs-2008,3,5,bude,,být,VB-S---3F-AA---,AUX,O,
cs-2008,3,6,zrušeno,,zrušený,VsNS---XX-AP---,ADJ,O,
cs-2008,3,7,587,,587,C=-------------,NUM,O,
cs-2008,3,8,letů,,let,NNIP2-----A----,NOUN,O,
cs-2008,3,9,",",,",",Z:-------------,PUNCT,O,
cs-2008,3,10,což,,což,PE--1----------,PRON,O,
cs-2008,3,11,se,,se,P7-X4----------,PRON,O,
cs-2008,3,12,dotkne,,dotknout,VB-S---3P-AA---,VERB,O,
cs-2008,3,13,zhruba,,zhruba,Db-------------,ADV,O,
cs-2008,3,14,64,,64,C=-------------,NUM,O,
cs-2008,3,15,tisíc,,tisíc,ClXS2----------,NUM,O,
cs-2008,3,16,cestujících,,cestující,AGMP2-----A----,ADJ,O,
cs-2008,3,17,",",,",",Z:-------------,PUNCT,O,
cs-2008,3,18,oznámila,,oznámit,VpQW---XR-AA---,VERB,O,
cs-2008,3,19,v,,v,RR--4----------,ADP,O,
cs-2008,3,20,sobotu,,sobota,NNFS4-----A----,NOUN,O,
cs-2008,3,21,letecká,,letecký,AAFS1----1A----,ADJ,O,
cs-2008,3,22,společnost,,společnost,NNFS1-----A----,NOUN,O,
cs-2008,3,23,.,,.,Z:-------------,PUNCT,O,
cs-2008,4,1,K,,k,RR--3----------,ADP,O,
cs-2008,4,2,rušeným,,rušený,AAIP3----1A----,ADJ,O,
cs-2008,4,3,spojům,,spoj,NNIP3-----A----,NOUN,O,
cs-2008,4,4,patří,,patřit,VB-P---3P-AA---,VERB,O,
cs-2008,4,5,i,,i,J^-------------,CCONJ,O,
cs-2008,4,6,ty,,ten,PDFP1----------,DET,O,
cs-2008,4,7,na,,na,RR--6----------,ADP,O,
cs-2008,4,8,trase,,trasa,NNFS6-----A----,NOUN,O,
cs-2008,4,9,Praha,Praha,Praha,NNFS1-----A----,PROPN,B-LOC,GPE-Prague
cs-2008,4,10,-,,-,Z:-------------,PUNCT,O,
cs-2008,4,11,Oslo,Oslo,Oslo,NNNS1-----A----,PROPN,B-LOC,GPE-Oslo
cs-2008,4,12,.,,.,Z:-------------,PUNCT,O,
cs-2008,5,1,Časově,,časově,Dg-------1A----,ADV,O,
cs-2008,5,2,neohraničená,,ohraničený,AAFS1----1N----,ADJ,O,
cs-2008,5,3,stávka,,stávka,NNFS1-----A----,NOUN,O,
cs-2008,5,4,pilotů,,pilot,NNMP2-----A----,NOUN,O,
cs-2008,5,5,v,,v,RR--4----------,ADP,O,
cs-2008,5,6,sobotu,,sobota,NNFS4-----A----,NOUN,O,
cs-2008,5,7,vstoupila,,vstoupit,VpQW---XR-AA---,VERB,O,
cs-2008,5,8,do,,do,RR--2----------,ADP,O,
cs-2008,5,9,druhého,,druhý,CrIS2----------,ADJ,O,
cs-2008,5,10,dne,,den,NNIS2-----A----,NOUN,O,
cs-2008,5,11,.,,.,Z:-------------,PUNCT,O,
cs-2008,6,1,Vyjednávání,,vyjednávání,NNNS1-----A----,NOUN,O,
cs-2008,6,2,o,,o,RR--6----------,ADP,O,
cs-2008,6,3,výši,,výše,NNFS6-----A----,NOUN,O,
cs-2008,6,4,platů,,plat,NNIP2-----A----,NOUN,O,
cs-2008,6,5,a,,a,J^-------------,CCONJ,O,
cs-2008,6,6,pracovní,,pracovní,AAFS6----1A----,ADJ,O,
cs-2008,6,7,době,,doba,NNFS6-----A----,NOUN,O,
cs-2008,6,8,se,,se,P7-X4----------,PRON,O,
cs-2008,6,9,zaměstnavateli,,zaměstnavatel,NNMS3-----A----,NOUN,O,
cs-2008,6,10,skončila,,skončit,VpQW---XR-AA---,VERB,O,
cs-2008,6,11,bez,,bez,RR--2----------,ADP,O,
cs-2008,6,12,úspěchu,,úspěch,NNIS2-----A----,NOUN,O,
cs-2008,6,13,.,,.,Z:-------------,PUNCT,O,
cs-2008,7,1,O,,o,RR--6----------,ADP,O,
cs-2008,7,2,víkendu,,víkend,NNIS6-----A----,NOUN,O,
cs-2008,7,3,se,,se,P7-X4----------,PRON,O,
cs-2008,7,4,tak,,tak,Db-------------,ADV,O,
cs-2008,7,5,neuskuteční,,uskutečnit,VB-S---3P-NA---,VERB,O,
cs-2008,7,6,kolem,,kolem,RR--2----------,ADP,O,
cs-2008,7,7,70,,70,C=-------------,NUM,O,
cs-2008,7,8,procent,,procento,NNNP2-----A----,NOUN,O,
cs-2008,7,9,letů,,let,NNIP2-----A----,NOUN,O,
cs-2008,7,10,",",,",",Z:-------------,PUNCT,O,
cs-2008,7,11,což,,což,PE--1----------,PRON,O,
cs-2008,7,12,zasáhne,,zasáhnout,VB-S---3P-AA---,VERB,O,
cs-2008,7,13,zhruba,,zhruba,Db-------------,ADV,O,
cs-2008,7,14,170,,170,C=-------------,NUM,O,
cs-2008,7,15,tisíc,,tisíc,ClXS2----------,NUM,O,
cs-2008,7,16,cestujících,,cestující,AGMP2-----A----,ADJ,O,
cs-2008,7,17,",",,",",Z:-------------,PUNCT,O,
cs-2008,7,18,uvedla,,uvést,VpQW---XR-AA---,VERB,O,
cs-2008,7,19,agentura,,agentura,NNFS1-----A----,NOUN,O,
cs-2008,7,20,Reuters,Reuters,Reuters,NNIS1-----A----,PROPN,B-ORG,ORG-Reuters
cs-2008,7,21,.,,.,Z:-------------,PUNCT,O,
cs-2008,8,1,Klienti,,klient,NNMP1-----A----,NOUN,O,
cs-2008,8,2,SAS,SAS,SAS,NNFXX-----A---8,PROPN,B-ORG,ORG-SAS-Scandinavian-Airlines
cs-2008,8,3,se,,se,P7-X4----------,PRON,O,
cs-2008,8,4,o,,o,RR--6----------,ADP,O,
cs-2008,8,5,svém,,svůj,P8ZS6----------,DET,O,
cs-2008,8,6,letu,,let,NNIS6-----A----,NOUN,O,
cs-2008,8,7,mohou,,moci,VB-P---3P-AA--1,VERB,O,
cs-2008,8,8,informovat,,informovat,Vf--------A----,VERB,O,
cs-2008,8,9,na,,na,RR--6----------,ADP,O,
cs-2008,8,10,internetové,,internetový,AAFS6----1A----,ADJ,O,
cs-2008,8,11,stránce,,stránka,NNFS6-----A----,NOUN,O,
