docId,sentenceId,tokenId,text,lemma,ner,clID
cs-new-28,0,1,Belgii,Belgie,B-LOC,GPE-Belgium
cs-new-28,0,2,ochromila,,O,
cs-new-28,0,3,generální,,O,
cs-new-28,0,4,stávka,,O,
cs-new-28,0,5,.,,O,
cs-new-28,1,1,Nevzlétne,,O,
cs-new-28,1,2,jediné,,O,
cs-new-28,1,3,letadlo,,O,
cs-new-28,1,4,",",,O,
cs-new-28,1,5,ruší,,O,
cs-new-28,1,6,se,,O,
cs-new-28,1,7,i,,O,
cs-new-28,1,8,spoje,,O,
cs-new-28,1,9,do,,O,
cs-new-28,1,10,Prahy,Praha,B-LOC,GPE-Prague
cs-new-28,2,1,Akce,,O,
cs-new-28,2,2,tří,,O,
cs-new-28,2,3,velkých,,O,
cs-new-28,2,4,odborových,,O,
cs-new-28,2,5,ústředen,,O,
cs-new-28,2,6,–,,O,
cs-new-28,2,7,socialistické,,O,
cs-new-28,2,8,FGTB,FGTB,B-ORG,ORG-FGTB-General-Federation-of-Belgian-Labour
cs-new-28,2,9,",",,O,
cs-new-28,2,10,křesťanskodemokratické,,O,
cs-new-28,2,11,CSC,CSC,B-ORG,ORG-CSC-Confederation-of-Christian-Trade-Unions
cs-new-28,2,12,a,,O,
cs-new-28,2,13,liberální,,O,
cs-new-28,2,14,CGSLB,CGSLB,B-ORG,ORG-CGSLB-General-Confederation-of-Liberal-Trade-Unions-of-Belgium
cs-new-28,2,15,–,,O,
cs-new-28,2,16,se,,O,
cs-new-28,2,17,má,,O,
cs-new-28,2,18,dotknout,,O,
cs-new-28,2,19,všech,,O,
cs-new-28,2,20,sektorů,,O,
cs-new-28,2,21,",",,O,
cs-new-28,2,22,jak,,O,
cs-new-28,2,23,veřejných,,O,
cs-new-28,2,24,",",,O,
cs-new-28,2,25,tak,,O,
cs-new-28,2,26,i,,O,
cs-new-28,2,27,soukromých,,O,
cs-new-28,2,28,",",,O,
cs-new-28,2,29,a,,O,
cs-new-28,2,30,to,,O,
cs-new-28,2,31,v,,O,
cs-new-28,2,32,celé,,O,
cs-new-28,2,33,zemi,,O,
cs-new-28,2,34,.,,O,
cs-new-28,3,1,Odboráři,,O,
cs-new-28,3,2,požadují,,O,
cs-new-28,3,3,vyšší,,O,
cs-new-28,3,4,mzdy,,O,
cs-new-28,3,5,",",,O,
cs-new-28,3,6,větší,,O,
cs-new-28,3,7,dávky,,O,
cs-new-28,3,8,a,,O,
cs-new-28,3,9,důchody,,O,
cs-new-28,3,10,",",,O,
cs-new-28,3,11,jakož,,O,
cs-new-28,3,12,i,,O,
cs-new-28,3,13,lepší,,O,
cs-new-28,3,14,podmínky,,O,
cs-new-28,3,15,pro,,O,
cs-new-28,3,16,odchod,,O,
cs-new-28,3,17,do,,O,
cs-new-28,3,18,důchodu,,O,
cs-new-28,3,19,.,,O,
cs-new-28,4,1,Činnost,,O,
cs-new-28,4,2,úřadů,,O,
cs-new-28,4,3,",",,O,
cs-new-28,4,4,dopravy,,O,
cs-new-28,4,5,",",,O,
cs-new-28,4,6,pošty,,O,
cs-new-28,4,7,",",,O,
cs-new-28,4,8,škol,,O,
cs-new-28,4,9,i,,O,
cs-new-28,4,10,nákupních,,O,
cs-new-28,4,11,středisek,,O,
cs-new-28,4,12,a,,O,
cs-new-28,4,13,podniků,,O,
cs-new-28,4,14,má,,O,
cs-new-28,4,15,být,,O,
cs-new-28,4,16,stávkou,,O,
cs-new-28,4,17,silně,,O,
cs-new-28,4,18,ovlivněna,,O,
cs-new-28,4,19,po,,O,
cs-new-28,4,20,24,,O,
cs-new-28,4,21,hodin,,O,
cs-new-28,4,22,",",,O,
cs-new-28,4,23,počítáno,,O,
cs-new-28,4,24,od,,O,
cs-new-28,4,25,úterní,,O,
cs-new-28,4,26,desáté,,O,
cs-new-28,4,27,hodiny,,O,
cs-new-28,4,28,večer,,O,
cs-new-28,4,29,.,,O,
cs-new-28,5,1,Stávka,,O,
cs-new-28,5,2,zastavila,,O,
cs-new-28,5,3,letecký,,O,
cs-new-28,5,4,provoz,,O,
cs-new-28,5,5,Společnost,,O,
cs-new-28,5,6,Skeyes,Skeyes,B-ORG,ORG-Skeyes
cs-new-28,5,7,",",,O,
cs-new-28,5,8,která,,O,
cs-new-28,5,9,zajišťuje,,O,
cs-new-28,5,10,řízení,,O,
cs-new-28,5,11,letového,,O,
cs-new-28,5,12,provozu,,O,
cs-new-28,5,13,nad,,O,
cs-new-28,5,14,Belgií,Belgie,B-LOC,GPE-Belgium
cs-new-28,5,15,",",,O,
cs-new-28,5,16,ohlásila,,O,
cs-new-28,5,17,",",,O,
cs-new-28,5,18,že,,O,
cs-new-28,5,19,během,,O,
cs-new-28,5,20,stávky,,O,
cs-new-28,5,21,nebudou,,O,
cs-new-28,5,22,v,,O,
cs-new-28,5,23,Belgii,Belgie,B-LOC,GPE-Belgium
cs-new-28,5,24,žádné,,O,
cs-new-28,5,25,přílety,,O,
cs-new-28,5,26,ani,,O,
cs-new-28,5,27,odlety,,O,
cs-new-28,5,28,.,,O,
cs-new-28,6,1,„,,O,
cs-new-28,6,2,Vzhledem,,O,
cs-new-28,6,3,k,,O,
cs-new-28,6,4,nejistotě,,O,
cs-new-28,6,5,",",,O,
cs-new-28,6,6,kolik,,O,
cs-new-28,6,7,dorazí,,O,
cs-new-28,6,8,zaměstnanců,,O,
cs-new-28,6,9,potřebných,,O,
cs-new-28,6,10,k,,O,
cs-new-28,6,11,obsazení,,O,
cs-new-28,6,12,klíčových,,O,
cs-new-28,6,13,pozic,,O,
cs-new-28,6,14,",",,O,
cs-new-28,6,15,je,,O,
cs-new-28,6,16,Skeyes,Skeyes,B-ORG,ORG-Skeyes
cs-new-28,6,17,nucena,,O,
cs-new-28,6,18,nepovolit,,O,
cs-new-28,6,19,leteckou,,O,
cs-new-28,6,20,dopravu,,O,
cs-new-28,6,21,od,,O,
cs-new-28,6,22,úterý,,O,
cs-new-28,6,23,22,,O,
cs-new-28,6,24,:,,O,
cs-new-28,6,25,00,,O,
cs-new-28,6,26,do,,O,
cs-new-28,6,27,středy,,O,
cs-new-28,6,28,22,,O,
cs-new-28,6,29,:,,O,
cs-new-28,6,30,00,,O,
cs-new-28,6,31,",",,O,
cs-new-28,6,32,“,,O,
cs-new-28,6,33,uvedla,,O,
cs-new-28,6,34,společnost,,O,
cs-new-28,6,35,.,,O,
cs-new-28,7,1,Aerolinky,,O,
cs-new-28,7,2,Brussels,Brussels,B-ORG,ORG-Brussels-Airlines
cs-new-28,7,3,Airlines,Airlines,I-ORG,ORG-Brussels-Airlines
cs-new-28,7,4,",",,O,
cs-new-28,7,5,které,,O,
cs-new-28,7,6,létají,,O,
cs-new-28,7,7,i,,O,
cs-new-28,7,8,do,,O,
cs-new-28,7,9,Prahy,Praha,B-LOC,GPE-Prague
cs-new-28,7,10,",",,O,
cs-new-28,7,11,již,,O,
cs-new-28,7,12,dříve,,O,
cs-new-28,7,13,oznámily,,O,
cs-new-28,7,14,",",,O,
cs-new-28,7,15,že,,O,
cs-new-28,7,16,ruší,,O,
cs-new-28,7,17,všech,,O,
cs-new-28,7,18,222,,O,
cs-new-28,7,19,letů,,O,
cs-new-28,7,20,",",,O,
cs-new-28,7,21,původně,,O,
cs-new-28,7,22,plánovaných,,O,
cs-new-28,7,23,na,,O,
cs-new-28,7,24,středu,,O,
cs-new-28,7,25,.,,O,
cs-new-28,8,1,Druhé,,O,
cs-new-28,8,2,největší,,O,
