docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-new-40,0,1,Konec,,konec,NNIS1-----A----,NOUN,O,
cs-new-40,0,2,stávek,,stávka,NNFP2-----A----,NOUN,O,
cs-new-40,0,3,?,,?,Z:-------------,PUNCT,O,
cs-new-40,1,1,Ryanair,Ryanair,Ryanair,NNIS1-----A----,PROPN,B-ORG,ORG-Ryanair
cs-new-40,1,2,zvedl,,zvednout,VpYS---XR-AA---,VERB,O,
cs-new-40,1,3,letuškám,,letuška,NNFP3-----A----,NOUN,O,
cs-new-40,1,4,platy,,plat,NNIP4-----A----,NOUN,O,
cs-new-40,1,5,.,,.,Z:-------------,PUNCT,O,
cs-new-40,2,1,Má,,mít,VB-S---3P-AA---,VERB,O,
cs-new-40,2,2,to,,ten,PDNS1----------,DET,O,
cs-new-40,2,3,ale,,ale,J^-------------,CCONJ,O,
cs-new-40,2,4,háček,,háček,NNIS4-----A----,NOUN,O,
cs-new-40,3,1,Pracovníkům,,pracovník,NNMP3-----A----,NOUN,O,
cs-new-40,3,2,",",,",",Z:-------------,PUNCT,O,
cs-new-40,3,3,sdruženým,,sdružený,AAIP3----1A----,ADJ,O,
cs-new-40,3,4,ve,,v,RV--6----------,ADP,O,
cs-new-40,3,5,svazu,,svaz,NNIS6-----A----,NOUN,O,
cs-new-40,3,6,Verdi,Verdi,Verdi,NNMS1-----A----,PROPN,B-ORG,ORG-Ver.di-Trade-Union
cs-new-40,3,7,",",,",",Z:-------------,PUNCT,O,
cs-new-40,3,8,by,,být,Vc-------------,AUX,O,
cs-new-40,3,9,se,,se,P7-X4----------,PRON,O,
cs-new-40,3,10,měly,,mít,VpTP---XR-AA---,VERB,O,
cs-new-40,3,11,základní,,základní,AAIP1----1A----,ADJ,O,
cs-new-40,3,12,platy,,plat,NNIP1-----A----,NOUN,O,
cs-new-40,3,13,zvýit,,zvýit,Vf--------A----,VERB,O,
cs-new-40,3,14,o,,o,RR--4----------,ADP,O,
cs-new-40,3,15,600,,600,C=-------------,NUM,O,
cs-new-40,3,16,eur,,eur,NNIXX-----A---8,NOUN,O,
cs-new-40,3,17,(,,(,Z:-------------,PUNCT,O,
cs-new-40,3,18,asi,,asi,TT-------------,PART,O,
cs-new-40,3,19,15,,15,C=-------------,NUM,O,
cs-new-40,3,20,a,,a,J^-------------,CCONJ,O,
cs-new-40,3,21,půl,,půl,NNFS4-----A----,NOUN,O,
cs-new-40,3,22,tisíce,,tisíc,NNIS2-----A----,NOUN,O,
cs-new-40,3,23,korun,,koruna,NNFP2-----A----,NOUN,O,
cs-new-40,3,24,),,),Z:-------------,PUNCT,O,
cs-new-40,3,25,.,,.,Z:-------------,PUNCT,O,
cs-new-40,4,1,Počítá,,počítat,VB-S---3P-AA---,VERB,O,
cs-new-40,4,2,se,,se,P7-X4----------,PRON,O,
cs-new-40,4,3,také,,také,Db-------------,ADV,O,
cs-new-40,4,4,s,,s,RR--7----------,ADP,O,
cs-new-40,4,5,dalím,,dalí,AAIS7----1A----,ADJ,O,
cs-new-40,4,6,růstem,,růst,NNIS7-----A----,NOUN,O,
cs-new-40,4,7,mzdy,,mzda,NNFS2-----A----,NOUN,O,
cs-new-40,4,8,o,,o,RR--4----------,ADP,O,
cs-new-40,4,9,250,,250,C=-------------,NUM,O,
cs-new-40,4,10,eur,,eur,NNIXX-----A---8,NOUN,O,
cs-new-40,4,11,(,,(,Z:-------------,PUNCT,O,
cs-new-40,4,12,přibližně,,přibližně,Dg-------1A----,ADV,O,
cs-new-40,4,13,est,,etre,NNIS1-----A----,NOUN,O,
cs-new-40,4,14,a,,a,J^-------------,CCONJ,O,
cs-new-40,4,15,půl,,půl,NNFS4-----A----,NOUN,O,
