docId,sentenceId,tokenId,text,lemma,ner,clID
pl-ryanair-2019-xtra,0,1,Gigantyczne,,O,
pl-ryanair-2019-xtra,0,2,odprawy,,O,
pl-ryanair-2019-xtra,0,3,dla,,O,
pl-ryanair-2019-xtra,0,4,pilotów,,O,
pl-ryanair-2019-xtra,0,5,.,,O,
pl-ryanair-2019-xtra,1,1,Ryanair,Ryanair,B-ORG,ORG-Ryanair
pl-ryanair-2019-xtra,1,2,musi,,O,
pl-ryanair-2019-xtra,1,3,sięgnąć,,O,
pl-ryanair-2019-xtra,1,4,głęboko,,O,
pl-ryanair-2019-xtra,1,5,do,,O,
pl-ryanair-2019-xtra,1,6,kieszeni,,O,
pl-ryanair-2019-xtra,2,1,Historia,,O,
pl-ryanair-2019-xtra,2,2,Ryanaira,Ryanair,B-ORG,ORG-Ryanair
pl-ryanair-2019-xtra,2,3,pełna,,O,
pl-ryanair-2019-xtra,2,4,jest,,O,
pl-ryanair-2019-xtra,2,5,pracowniczego,,O,
pl-ryanair-2019-xtra,2,6,niezadowolenia,,O,
pl-ryanair-2019-xtra,2,7,.,,O,
pl-ryanair-2019-xtra,3,1,Ta,,O,
pl-ryanair-2019-xtra,3,2,konkretna,,O,
pl-ryanair-2019-xtra,3,3,opowieść,,O,
pl-ryanair-2019-xtra,3,4,dotyczy,,O,
pl-ryanair-2019-xtra,3,5,strajku,,O,
pl-ryanair-2019-xtra,3,6,pracowników,,O,
pl-ryanair-2019-xtra,3,7,i,,O,
pl-ryanair-2019-xtra,3,8,zdecydowanego,,O,
pl-ryanair-2019-xtra,3,9,odwetu,,O,
pl-ryanair-2019-xtra,3,10,linii,,O,
pl-ryanair-2019-xtra,3,11,lotniczej,,O,
pl-ryanair-2019-xtra,3,12,",",,O,
pl-ryanair-2019-xtra,3,13,która,,O,
pl-ryanair-2019-xtra,3,14,(,,O,
pl-ryanair-2019-xtra,3,15,za,,O,
pl-ryanair-2019-xtra,3,16,karę,,O,
pl-ryanair-2019-xtra,3,17,),,O,
pl-ryanair-2019-xtra,3,18,zamknęła,,O,
pl-ryanair-2019-xtra,3,19,ich,,O,
pl-ryanair-2019-xtra,3,20,bazę,,O,
pl-ryanair-2019-xtra,3,21,.,,O,
pl-ryanair-2019-xtra,4,1,Holenderski,,O,
pl-ryanair-2019-xtra,4,2,sąd,,O,
pl-ryanair-2019-xtra,4,3,stanął,,O,
pl-ryanair-2019-xtra,4,4,po,,O,
pl-ryanair-2019-xtra,4,5,stronie,,O,
pl-ryanair-2019-xtra,4,6,pilotów,,O,
pl-ryanair-2019-xtra,4,7,i,,O,
pl-ryanair-2019-xtra,4,8,nakazał,,O,
pl-ryanair-2019-xtra,4,9,wypłaty,,O,
pl-ryanair-2019-xtra,4,10,odpraw,,O,
pl-ryanair-2019-xtra,4,11,w,,O,
pl-ryanair-2019-xtra,4,12,równowartości,,O,
pl-ryanair-2019-xtra,4,13,niemal,,O,
pl-ryanair-2019-xtra,4,14,2,,O,
pl-ryanair-2019-xtra,4,15,mln,,O,
pl-ryanair-2019-xtra,4,16,zł,,O,
pl-ryanair-2019-xtra,4,17,(,,O,
pl-ryanair-2019-xtra,4,18,na,,O,
pl-ryanair-2019-xtra,4,19,głowę,,O,
pl-ryanair-2019-xtra,4,20,!,,O,
pl-ryanair-2019-xtra,4,21,),,O,
pl-ryanair-2019-xtra,4,22,.,,O,
pl-ryanair-2019-xtra,5,1,Zamknięcie,,O,
pl-ryanair-2019-xtra,5,2,bazy,,O,
pl-ryanair-2019-xtra,5,3,w,,O,
pl-ryanair-2019-xtra,5,4,Eindhoven,Eindhoven,B-LOC,GPE-Eindhoven
pl-ryanair-2019-xtra,5,5,Kością,,O,
pl-ryanair-2019-xtra,5,6,niezgody,,O,
pl-ryanair-2019-xtra,5,7,była,,O,
pl-ryanair-2019-xtra,5,8,baza,,O,
pl-ryanair-2019-xtra,5,9,linii,,O,
pl-ryanair-2019-xtra,5,10,lotniczych,,O,
pl-ryanair-2019-xtra,5,11,w,,O,
pl-ryanair-2019-xtra,5,12,Eindhoven,Eindhoven,B-LOC,GPE-Eindhoven
pl-ryanair-2019-xtra,5,13,.,,O,
pl-ryanair-2019-xtra,6,1,Pracownicy,,O,
pl-ryanair-2019-xtra,6,2,zorganizowali,,O,
pl-ryanair-2019-xtra,6,3,strajk,,O,
pl-ryanair-2019-xtra,6,4,",",,O,
pl-ryanair-2019-xtra,6,5,w,,O,
pl-ryanair-2019-xtra,6,6,którym,,O,
pl-ryanair-2019-xtra,6,7,nie,,O,
pl-ryanair-2019-xtra,6,8,udało,,O,
pl-ryanair-2019-xtra,6,9,się,,O,
pl-ryanair-2019-xtra,6,10,dojść,,O,
pl-ryanair-2019-xtra,6,11,do,,O,
pl-ryanair-2019-xtra,6,12,porozumienia,,O,
pl-ryanair-2019-xtra,6,13,z,,O,
pl-ryanair-2019-xtra,6,14,szefostwem,,O,
pl-ryanair-2019-xtra,6,15,.,,O,
pl-ryanair-2019-xtra,7,1,Ryanair,Ryanair,B-ORG,ORG-Ryanair
pl-ryanair-2019-xtra,7,2,zamknął,,O,
pl-ryanair-2019-xtra,7,3,bazę,,O,
pl-ryanair-2019-xtra,7,4,",",,O,
pl-ryanair-2019-xtra,7,5,jego,,O,
pl-ryanair-2019-xtra,7,6,zdaniem,,O,
pl-ryanair-2019-xtra,7,7,-,,O,
pl-ryanair-2019-xtra,7,8,z,,O,
pl-ryanair-2019-xtra,7,9,powodów,,O,
