docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-244,0,1,Drugi,,drugi,adj:sg:nom:m3:pos,ADJ,O,
pl-244,0,2,dzień,,dzień,subst:sg:nom:m3,NOUN,O,
pl-244,0,3,strajku,,strajk,subst:sg:gen:m3,NOUN,O,
pl-244,0,4,w,,w,prep:loc:nwok,ADP,O,
pl-244,0,5,Ryanairze,Ryanair,Ryanaira,subst:sg:loc:m3,PROPN,B-ORG,ORG-Ryanair
pl-244,0,6,.,,.,interp,PUNCT,O,
pl-244,1,1,Odwołane,,odwołać,ppas:pl:nom:n:perf:aff,ADJ,O,
pl-244,1,2,liczne,,liczny,adj:pl:nom:n:pos,ADJ,O,
pl-244,1,3,połączenia,,połączyć,subst:pl:nom:n:ncol,NOUN,O,
pl-244,2,1,W,,w,prep:loc:nwok,ADP,O,
pl-244,2,2,komunikacie,,komunikat,subst:sg:loc:m3,NOUN,O,
pl-244,2,3,wydanym,,wydać,ppas:sg:loc:m3:perf:aff,ADJ,O,
pl-244,2,4,w,,w,prep:acc:nwok,ADP,O,
pl-244,2,5,czwartek,,czwartek,subst:sg:acc:m3,NOUN,O,
pl-244,2,6,przez,,przez,prep:acc:nwok,ADP,O,
pl-244,2,7,siedzibę,,siedziba,subst:sg:acc:f,NOUN,O,
pl-244,2,8,główną,,główny,adj:sg:acc:f:pos,ADJ,O,
pl-244,2,9,Ryanaira,Ryanair,Ryanaira,subst:sg:gen:m3,PROPN,B-ORG,ORG-Ryanair
pl-244,2,10,w,,w,prep:loc:nwok,ADP,O,
pl-244,2,11,Dublinie,Dublin,Dublin,subst:sg:loc:m3,PROPN,B-LOC,GPE-Dublin
pl-244,2,12,poinformowano,,poinformować,imps:perf,VERB,O,
pl-244,2,13,",",,",",interp,PUNCT,O,
pl-244,2,14,że,,że,comp,SCONJ,O,
pl-244,2,15,jak,,jak,adv:pos,ADV,O,
pl-244,2,16,dotąd,,dotąd,adv,ADV,O,
pl-244,2,17,dzień,,dzień,subst:sg:nom:m3,NOUN,O,
pl-244,2,18,przebiega,,przebiegać,fin:sg:ter:imperf,VERB,O,
pl-244,2,19,bez,,bez,prep:gen:nwok,ADP,O,
pl-244,2,20,nieprzewidzianych,,przewidzieć,ppas:pl:gen:n:perf:aff,ADJ,O,
pl-244,2,21,zakłóceń,,zakłócenie,subst:pl:gen:n:ncol,NOUN,O,
pl-244,2,22,i,,i,conj,CCONJ,O,
pl-244,2,23,wykonywane,,wykonywać,ppas:pl:nom:n:imperf:aff,ADJ,O,
pl-244,2,24,są,,być,fin:pl:ter:imperf,AUX,O,
