docId,sentenceId,tokenId,text,lemma,ner,clID
pl-353,0,1,10,,O,
pl-353,0,2,ciekawostek,,O,
pl-353,0,3,na,,O,
pl-353,0,4,temat,,O,
pl-353,0,5,Oceanu,Ocean,B-LOC,LOC-Pacific-Ocean
pl-353,0,6,Spokojnego,Spokojny,I-LOC,LOC-Pacific-Ocean
pl-353,0,7,-,,O,
pl-353,0,8,co,,O,
pl-353,0,9,tu,,O,
pl-353,0,10,robią,,O,
pl-353,0,11,gumowe,,O,
pl-353,0,12,kaczuszki,,O,
pl-353,0,13,?,,O,
pl-353,1,1,Strajk,,O,
pl-353,1,2,w,,O,
pl-353,1,3,Ryanair,Ryanair,B-ORG,ORG-Ryanair
pl-353,1,4,rozpoczął,,O,
pl-353,1,5,się,,O,
pl-353,1,6,25,,O,
pl-353,1,7,lipca,,O,
pl-353,1,8,i,,O,
pl-353,1,9,potrwa,,O,
pl-353,1,10,do,,O,
pl-353,1,11,czwartku,,O,
pl-353,1,12,.,,O,
pl-353,2,1,Jest,,O,
pl-353,2,2,niezwykle,,O,
pl-353,2,3,uciążliwy,,O,
pl-353,2,4,także,,O,
pl-353,2,5,dla,,O,
pl-353,2,6,turystów,,O,
pl-353,2,7,",",,O,
pl-353,2,8,którzy,,O,
pl-353,2,9,wylatują,,O,
pl-353,2,10,z,,O,
pl-353,2,11,polskich,,O,
pl-353,2,12,lotnisk,,O,
pl-353,2,13,.,,O,
pl-353,3,1,Mamy,,O,
pl-353,3,2,listę,,O,
pl-353,3,3,odwołanych,,O,
pl-353,3,4,lotów,,O,
pl-353,3,5,.,,O,
pl-353,4,1,W,,O,
pl-353,4,2,maju,,O,
pl-353,4,3,Ryanair,Ryanair,B-ORG,ORG-Ryanair
pl-353,4,4,odwołał,,O,
pl-353,4,5,ponad,,O,
pl-353,4,6,1000,,O,
pl-353,4,7,lotów,,O,
pl-353,4,8,.,,O,
pl-353,5,1,Podobnie,,O,
pl-353,5,2,ma,,O,
pl-353,5,3,być,,O,
pl-353,5,4,w,,O,
pl-353,5,5,lipcu,,O,
pl-353,5,6,.,,O,
pl-353,6,1,Konflikt,,O,
pl-353,6,2,w,,O,
pl-353,6,3,tanich,,O,
pl-353,6,4,liniach,,O,
pl-353,6,5,Ryanair,Ryanair,B-ORG,ORG-Ryanair
pl-353,6,6,narasta,,O,
pl-353,6,7,.,,O,
pl-353,7,1,Odszkodowanie,,O,
pl-353,7,2,za,,O,
pl-353,7,3,lot,,O,
pl-353,7,4,należy,,O,
pl-353,7,5,się,,O,
pl-353,7,6,też,,O,
pl-353,7,7,podczas,,O,
pl-353,7,8,strajku,,O,
pl-353,7,9,.,,O,
pl-353,8,1,Strajk,,O,
pl-353,8,2,w,,O,
pl-353,8,3,Ryanair,Ryanair,B-ORG,ORG-Ryanair
pl-353,8,4,zaczął,,O,
pl-353,8,5,się,,O,
pl-353,8,6,12,,O,
pl-353,8,7,lipca,,O,
pl-353,8,8,2018,,O,
pl-353,8,9,w,,O,
pl-353,8,10,Irlandii,Irlandia,B-LOC,GPE-Ireland
pl-353,8,11,.,,O,
pl-353,9,1,W,,O,
pl-353,9,2,Belgii,Belgia,B-LOC,GPE-Belgium
pl-353,9,3,i,,O,
pl-353,9,4,w,,O,
pl-353,9,5,Portugalii,Portugalia,B-LOC,GPE-Portugal
pl-353,9,6,zacznie,,O,
pl-353,9,7,się,,O,
pl-353,9,8,25,,O,
pl-353,9,9,-,,O,
pl-353,9,10,26,,O,
pl-353,9,11,lipca,,O,
pl-353,9,12,.,,O,
pl-353,10,1,Nie,,O,
pl-353,10,2,wyruszy,,O,
pl-353,10,3,300,,O,
pl-353,10,4,samolotów,,O,
pl-353,10,5,.,,O,
pl-353,11,1,Odwołano,,O,
pl-353,11,2,ponad,,O,
pl-353,11,3,600,,O,
pl-353,11,4,lotów,,O,
pl-353,11,5,",",,O,
pl-353,11,6,w,,O,
pl-353,11,7,tym,,O,
pl-353,11,8,kilk,,O,
pl-353,11,9,.,,O,
pl-353,11,10,.,,O,
pl-353,11,11,.,,O,
