docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-147,0,1,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair
ru-147,0,2,из-за,,из-за,,ADP,O,
ru-147,0,3,забастовки,,забастовка,,NOUN,O,
ru-147,0,4,отменил,,отменить,,VERB,O,
ru-147,0,5,250,,250,,NUM,O,
ru-147,0,6,рейсов,,рейс,,NOUN,O,
ru-147,1,1,Забастовка,,забастовка,,NOUN,O,
ru-147,1,2,служащих,,служащий,,NOUN,O,
ru-147,1,3,крупнейшей,,крупный,,ADJ,O,
ru-147,1,4,лоукост-,,лоукост-,,NOUN,O,
ru-147,1,5,авиакомпании,,авиакомпания,,NOUN,O,
ru-147,1,6,в,,в,,ADP,O,
ru-147,1,7,мире,,мир,,NOUN,O,
ru-147,1,8,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair
ru-147,1,9,сегодня,,сегодня,,ADV,O,
ru-147,1,10,привела,,привести,,VERB,O,
ru-147,1,11,к,,к,,ADP,O,
ru-147,1,12,отмене,,отмена,,NOUN,O,
ru-147,1,13,около,,около,,ADP,O,
ru-147,1,14,250,,250,,NUM,O,
ru-147,1,15,рейсов,,рейс,,NOUN,O,
ru-147,1,16,и,,и,,CCONJ,O,
ru-147,1,17,задела,,задеть,,VERB,O,
ru-147,1,18,40,,40,,NUM,O,
ru-147,1,19,тыс,,тысяча,,NOUN,O,
ru-147,1,20,.,,.,,PUNCT,O,
ru-147,1,21,пассажиров,,пассажир,,NOUN,O,
ru-147,1,22,",",,",",,PUNCT,O,
ru-147,1,23,пишет,,писать,,VERB,O,
ru-147,1,24,«,,«,,PUNCT,O,
ru-147,2,1,Акция,,акция,,NOUN,O,
ru-147,2,2,проводится,,проводить,,VERB,O,
ru-147,2,3,в,,в,,ADP,O,
ru-147,2,4,Германии,Германия,Германия,,PROPN,B-LOC,GPE-Germany
ru-147,2,5,",",,",",,PUNCT,O,
ru-147,2,6,Бельгии,Бельгия,Бельгия,,PROPN,B-LOC,GPE-Belgium
ru-147,2,7,",",,",",,PUNCT,O,
ru-147,2,8,Нидерландах,Нидерланды,Нидерланды,,PROPN,B-LOC,GPE-Holland
ru-147,2,9,",",,",",,PUNCT,O,
ru-147,2,10,Италии,Италия,Италия,,PROPN,B-LOC,GPE-Italy
ru-147,2,11,",",,",",,PUNCT,O,
ru-147,2,12,Испании,Испания,Испания,,PROPN,B-LOC,GPE-Spain
ru-147,2,13,и,,и,,CCONJ,O,
ru-147,2,14,Португалии,Португалия,Португалия,,PROPN,B-LOC,GPE-Portugal
ru-147,2,15,",",,",",,PUNCT,O,
ru-147,2,16,пишет,,писать,,VERB,O,
ru-147,2,17,По,,по,,ADP,O,
ru-147,2,18,располагаемой,,располагать,,VERB,O,
ru-147,2,19,достоверной,,достоверный,,ADJ,O,
ru-147,2,20,информации,,информация,,NOUN,O,
ru-147,2,21,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair
ru-147,2,22,",",,",",,PUNCT,O,
ru-147,2,23,от,,от,,ADP,O,
ru-147,2,24,забастовки,,забастовка,,NOUN,O,
ru-147,2,25,пострадают,,страдать,,VERB,O,
ru-147,2,26,40,,40,,NUM,O,
ru-147,2,27,тыс.,,тысяча,,NOUN,O,
ru-147,2,28,пассажиров,,пассажир,,NOUN,O,
ru-147,2,29,.,,.,,PUNCT,O,
ru-147,3,1,Авиакомпания,,авиакомпания,,NOUN,O,
ru-147,3,2,заявляет,,заявлять,,VERB,O,
ru-147,3,3,",",,",",,PUNCT,O,
ru-147,3,4,что,,что,,SCONJ,O,
ru-147,3,5,соглашение,,соглашение,,NOUN,O,
ru-147,3,6,с,,с,,ADP,O,
ru-147,3,7,бортперсоналом,,бортперсонал,,NOUN,O,
ru-147,3,8,в,,в,,ADP,O,
ru-147,3,9,Ирландии,Ирландия,Ирландия,,PROPN,B-LOC,GPE-Ireland
ru-147,3,10,",",,",",,PUNCT,O,
ru-147,3,11,Великобритании,Великобритания,Великобритания,,PROPN,B-LOC,GPE-Great-Britain
ru-147,3,12,",",,",",,PUNCT,O,
ru-147,3,13,Германии,Германия,Германия,,PROPN,B-LOC,GPE-Germany
ru-147,3,14,и,,и,,CCONJ,O,
ru-147,3,15,Португалии,Португалия,Португалия,,PROPN,B-LOC,GPE-Portugal
ru-147,3,16,фактически,,фактически,,ADV,O,
ru-147,3,17,уже,,уже,,ADV,O,
ru-147,3,18,достигнуто,,достичь,,VERB,O,
ru-147,3,19,и,,и,,CCONJ,O,
ru-147,3,20,пригласило,,пригласить,,VERB,O,
ru-147,3,21,служащих,,служащий,,NOUN,O,
ru-147,3,22,из,,из,,ADP,O,
ru-147,3,23,остальных,,остальной,,ADJ,O,
ru-147,3,24,стран,,страна,,NOUN,O,
ru-147,3,25,к,,к,,ADP,O,
ru-147,3,26,продолжению,,продолжение,,NOUN,O,
ru-147,3,27,переговоров,,переговоры,,NOUN,O,
ru-147,3,28,по,,по,,ADP,O,
ru-147,3,29,поводу,,повод,,NOUN,O,
ru-147,3,30,заключения,,заключение,,NOUN,O,
ru-147,3,31,соответствующих,,соответствующий,,ADJ,O,
ru-147,3,32,контрактов,,контракт,,NOUN,O,
ru-147,3,33,.,,.,,PUNCT,O,
ru-147,4,1,Забастовки,,забастовка,,NOUN,O,
ru-147,4,2,пилотов,,пилот,,NOUN,O,
ru-147,4,3,и,,и,,CCONJ,O,
ru-147,4,4,бортпроводников,,бортпроводник,,NOUN,O,
ru-147,4,5,самой,,самый,,ADJ,O,
ru-147,4,6,прибыльной,,прибыльный,,ADJ,O,
ru-147,4,7,европейской,,европейский,,ADJ,O,
ru-147,4,8,авиакомпании,,авиакомпания,,NOUN,O,
ru-147,4,9,продолжаются,,продолжаться,,VERB,O,
ru-147,4,10,уже,,уже,,ADV,O,
ru-147,4,11,более,,более,,ADV,O,
ru-147,4,12,одного,,один,,NUM,O,
ru-147,4,13,года,,год,,NOUN,O,
ru-147,4,14,.,,.,,PUNCT,O,
ru-147,5,1,Бастующие,,бастовать,,VERB,O,
ru-147,5,2,месяцами,,месяц,,NOUN,O,
ru-147,5,3,требуют,,требовать,,VERB,O,
ru-147,5,4,от,,от,,ADP,O,
ru-147,5,5,авиакомпании,,авиакомпания,,NOUN,O,
ru-147,5,6,лучшей,,лучший,,ADJ,O,
ru-147,5,7,оплаты,,оплата,,NOUN,O,
ru-147,5,8,труда,,труд,,NOUN,O,
ru-147,5,9,и,,и,,CCONJ,O,
ru-147,5,10,улучшения,,улучшение,,NOUN,O,
ru-147,5,11,условий,,условие,,NOUN,O,
ru-147,5,12,работы,,работа,,NOUN,O,
ru-147,5,13,.,,.,,PUNCT,O,
ru-147,6,1,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair
ru-147,6,2,осуществляет,,осуществлять,,VERB,O,
ru-147,6,3,перелеты,,перелет,,NOUN,O,
ru-147,6,4,по,,по,,ADP,O,
ru-147,6,5,не,,не,,PART,O,
ru-147,6,6,менее,,менее,,ADV,O,
ru-147,6,7,чем,,чем,,SCONJ,O,
ru-147,6,8,"1,8",,"1,8",,NUM,O,
ru-147,6,9,тыс,,тысяча,,NOUN,O,
ru-147,6,10,.,,.,,PUNCT,O,
ru-147,6,11,маршрутов,,маршрут,,NOUN,O,
ru-147,6,12,в,,в,,ADP,O,
ru-147,6,13,215,,215,,NUM,O,
ru-147,6,14,аэропортах,,аэропорт,,NOUN,O,
ru-147,6,15,",",,",",,PUNCT,O,
ru-147,6,16,расположенных,,расположенный,,ADJ,O,
ru-147,6,17,в,,в,,ADP,O,
ru-147,6,18,37,,37,,NUM,O,
ru-147,6,19,государствах,,государство,,NOUN,O,
ru-147,6,20,.,,.,,PUNCT,O,
ru-147,7,1,Ежели,,ежели,,SCONJ,O,
ru-147,7,2,вы,,вы,,PRON,O,
ru-147,7,3,любите,,любить,,VERB,O,
ru-147,7,4,путешествовать,,путешествовать,,VERB,O,
ru-147,7,5,—,,—,,PUNCT,O,
ru-147,7,6,понимаете,,понимать,,VERB,O,
ru-147,7,7,",",,",",,PUNCT,O,
ru-147,7,8,что,,что,,SCONJ,O,
ru-147,7,9,без,,без,,ADP,O,
ru-147,7,10,кредитной,,кредитный,,ADJ,O,
ru-147,7,11,карты,,карта,,NOUN,O,
ru-147,7,12,за,,за,,ADP,O,
ru-147,7,13,границей,,граница,,NOUN,O,
ru-147,7,14,сложно,,сложный,,ADJ,O,
ru-147,7,15,.,,.,,PUNCT,O,
