docId,sentenceId,tokenId,text,lemma,ner,clID
ru-181,0,1,Авиановости,,O,
ru-181,0,2,:,,O,
ru-181,0,3,МАУ,МАУ,B-ORG,ORG-Ukraine-International-Airlines
ru-181,0,4,грозит,,O,
ru-181,0,5,судом,,O,
ru-181,0,6,из-за,,O,
ru-181,0,7,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ru-181,0,8,",",,O,
ru-181,0,9,а,,O,
ru-181,0,10,Lufthansa,Lufthansa,B-ORG,ORG-Lufthansa
ru-181,0,11,отменяет,,O,
ru-181,0,12,800,,O,
ru-181,0,13,рейсов,,O,
ru-181,0,14,(,,O,
ru-181,0,15,видео),,O,
ru-181,1,1,Авиановости,,O,
ru-181,1,2,:,,O,
ru-181,1,3,МАУ,МАУ,B-ORG,ORG-Ukraine-International-Airlines
ru-181,1,4,грозит,,O,
ru-181,1,5,судом,,O,
ru-181,1,6,из-за,,O,
ru-181,1,7,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ru-181,1,8,",",,O,
ru-181,1,9,а,,O,
ru-181,1,10,Lufthansa,Lufthansa,B-ORG,ORG-Lufthansa
ru-181,1,11,отменяет,,O,
ru-181,1,12,800,,O,
ru-181,1,13,рейсов,,O,
ru-181,2,1,В,,O,
ru-181,2,2,аэропортах,,O,
ru-181,2,3,Франкфурта,Франкфурт,B-LOC,GPE-Frankfurt-am-Main
ru-181,2,4,",",,O,
ru-181,2,5,Мюнхена,Мюнхен,B-LOC,GPE-München
ru-181,2,6,",",,O,
ru-181,2,7,Кельна,Кельн,B-LOC,GPE-Köln
ru-181,2,8,и,,O,
ru-181,2,9,Бремена,Бремен,B-LOC,GPE-Bremen
ru-181,2,10,бастуют,,O,
ru-181,2,11,",",,O,
ru-181,2,12,а,,O,
ru-181,2,13,у,,O,
ru-181,2,14,"""",,O,
ru-181,2,15,Борисполя,Борисполь,B-LOC,LOC-Boryspil-Airport-Kiev
ru-181,2,16,"""",,O,
ru-181,2,17,–,,O,
ru-181,2,18,другая,,O,
ru-181,2,19,проблема.,,O,
ru-181,3,1,Приход,,O,
ru-181,3,2,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ru-181,3,3,в,,O,
ru-181,3,4,Украину,Украина,B-LOC,GPE-Ukraine
ru-181,3,5,ознаменовался,,O,
ru-181,3,6,новым,,O,
ru-181,3,7,скандалом,,O,
ru-181,3,8,.,,O,
ru-181,4,1,1zoom.ru,,O,
ru-181,5,1,Международные,Международные,B-ORG,ORG-Ukraine-International-Airlines
ru-181,5,2,авиалинии,авиалинии,I-ORG,ORG-Ukraine-International-Airlines
ru-181,5,3,Украины,Украины,I-ORG,ORG-Ukraine-International-Airlines
ru-181,5,4,(,(,I-ORG,ORG-Ukraine-International-Airlines
ru-181,5,5,МАУ,МАУ,I-ORG,ORG-Ukraine-International-Airlines
ru-181,5,6,),),I-ORG,ORG-Ukraine-International-Airlines
ru-181,5,7,грозится,,O,
ru-181,5,8,судом,,O,
ru-181,5,9,из-за,,O,
ru-181,5,10,Как,,O,
ru-181,5,11,передает,,O,
ru-181,5,12,Reuters,Reuters,B-ORG,ORG-Reuters
ru-181,5,13,со,,O,
ru-181,5,14,ссылкой,,O,
ru-181,5,15,на,,O,
ru-181,5,16,заявление,,O,
ru-181,5,17,президента,,O,
ru-181,5,18,МАУ,МАУ,B-ORG,ORG-Ukraine-International-Airlines
ru-181,5,19,Юрия,Юрий,B-PER,PER-Yuri-Miroshnikov
ru-181,5,20,Мирошникова,Мирошников,I-PER,PER-Yuri-Miroshnikov
ru-181,5,21,",",,O,
ru-181,5,22,в,,O,
ru-181,5,23,суд,,O,
ru-181,5,24,МАУ,МАУ,B-ORG,ORG-Ukraine-International-Airlines
ru-181,5,25,пойдет,,O,
ru-181,5,26,",",,O,
ru-181,5,27,если,,O,
ru-181,5,28,жалобы,,O,
ru-181,5,29,авиакомпании,,O,
ru-181,5,30,на,,O,
ru-181,5,31,слоты,,O,
ru-181,5,32,международного,,O,
ru-181,5,33,аэропорта,,O,
ru-181,5,34,"""",,O,
ru-181,5,35,Борисполь,Борисполь,B-LOC,LOC-Boryspil-Airport-Kiev
ru-181,5,36,"""",,O,
ru-181,5,37,не,,O,
ru-181,5,38,будут,,O,
ru-181,5,39,рассмотрены,,O,
ru-181,5,40,.,,O,
ru-181,6,1,По,,O,
ru-181,6,2,его,,O,
ru-181,6,3,словам,,O,
ru-181,6,4,",",,O,
ru-181,6,5,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ru-181,6,6,начал,,O,
ru-181,6,7,продавать,,O,
ru-181,6,8,билеты,,O,
ru-181,6,9,на,,O,
ru-181,6,10,рейсы,,O,
ru-181,6,11,в,,O,
ru-181,6,12,"""",,O,
ru-181,6,13,Борисполь,Борисполь,B-LOC,LOC-Boryspil-Airport-Kiev
ru-181,6,14,"""",,O,
ru-181,6,15,",",,O,
ru-181,6,16,не,,O,
ru-181,6,17,согласовав,,O,
ru-181,6,18,предварительно,,O,
ru-181,6,19,расписание,,O,
ru-181,6,20,.,,O,
ru-181,7,1,"""",,O,
ru-181,7,2,Слоты,,O,
ru-181,7,3,",",,O,
ru-181,7,4,которые,,O,
ru-181,7,5,они,,O,
ru-181,7,6,намерены,,O,
ru-181,7,7,получить,,O,
ru-181,7,8,",",,O,
ru-181,7,9,все,,O,
