docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-52,0,1,Nemčija,Nemčija,Nemčija,Npfsn,PROPN,B-LOC,GPE-Germany
sl-52,0,2,razpravlja,,razpravljati,Vmpr3s,VERB,O,
sl-52,0,3,:,,:,Z,PUNCT,O,
sl-52,0,4,Adijo,,adijo,I,INTJ,O,
sl-52,0,5,",",,",",Z,PUNCT,O,
sl-52,0,6,nizkocenovci,,nizkocenovec,Ncmpn,NOUN,O,
sl-52,0,7,v,,v,Sl,ADP,O,
sl-52,0,8,EU,EU,EU,Npfsl,PROPN,B-ORG,ORG-European-Union
sl-52,1,1,Družba,,družba,Ncfsn,NOUN,O,
sl-52,1,2,Ryanair,Ryanair,Ryanair,Npmsn,PROPN,B-ORG,ORG-Ryanair
sl-52,1,3,pred,,pred,Si,ADP,O,
sl-52,1,4,kratkim,,kratek,Agpmsi,ADJ,O,
sl-52,1,5,označena,,označen,Appfsn,ADJ,O,
sl-52,1,6,za,,za,Sa,ADP,O,
sl-52,1,7,enega,,en,Mlpmsa,NUM,O,
sl-52,1,8,izmed,,izmed,Sg,ADP,O,
sl-52,1,9,10,,10,Mdc,NUM,O,
sl-52,1,10,najhujših,,hud,Agsmpg,ADJ,O,
sl-52,1,11,onesnaževalcev,,onesnaževalec,Ncmpg,NOUN,O,
sl-52,1,12,.,,.,Z,PUNCT,O,
sl-52,2,1,REUTERS,REUTERS,Reuters,Npmsn,PROPN,B-ORG,ORG-Reuters
sl-52,3,1,V,,v,Sl,ADP,O,
sl-52,3,2,Nemčiji,Nemčija,Nemčija,Npfsl,PROPN,B-LOC,GPE-Germany
sl-52,3,3,potekajo,,potekati,Vmpr3p,VERB,O,
sl-52,3,4,razprave,,razprava,Ncfpn,NOUN,O,
sl-52,3,5,o,,o,Sl,ADP,O,
sl-52,3,6,tem,,ta,Pd-nsl,DET,O,
sl-52,3,7,",",,",",Z,PUNCT,O,
sl-52,3,8,da,,da,Cs,SCONJ,O,
sl-52,3,9,bi,,biti,Va-c,AUX,O,
sl-52,3,10,dodatno,,dodatno,Rgp,ADV,O,
sl-52,3,11,obdavčili,,obdavčiti,Vmep-pm,VERB,O,
sl-52,3,12,poceni,,poceni,Agpmpa,ADJ,O,
sl-52,3,13,evropske,,evropski,Agpmpa,ADJ,O,
sl-52,3,14,lete,,let,Ncmpa,NOUN,O,
sl-52,3,15,",",,",",Z,PUNCT,O,
sl-52,3,16,katerih,,kateri,Pq-mpg,DET,O,
sl-52,3,17,cena,,cena,Ncfsn,NOUN,O,
sl-52,3,18,ne,,ne,Q,PART,O,
sl-52,3,19,presega,,presegati,Vmpr3s,VERB,O,
sl-52,3,20,50,,50,Mdc,NUM,O,
sl-52,3,21,evrov,,evro,Ncmpg,NOUN,O,
sl-52,3,22,.,,.,Z,PUNCT,O,
sl-52,4,1,Na,,na,Sa,ADP,O,
sl-52,4,2,predlog,,predlog,Ncmsan,NOUN,O,
sl-52,4,3,nemške,,nemški,Agpfsg,ADJ,O,
sl-52,4,4,stranke,,stranka,Ncfsg,NOUN,O,
sl-52,4,5,krščanskih,Krščanski,krščanski,Agpmpg,ADJ,B-ORG,ORG-Christlich-Demokratische-Union
sl-52,4,6,demokratov,demokrati,demokrat,Ncmpg,NOUN,I-ORG,ORG-Christlich-Demokratische-Union
sl-52,4,7,(,,(,Z,PUNCT,O,
sl-52,4,8,CDU,CDU,CDU,Npfsn,PROPN,B-ORG,ORG-Christlich-Demokratische-Union
sl-52,4,9,),,),Z,PUNCT,O,
sl-52,4,10,v,,v,Sl,ADP,O,
sl-52,4,11,Nemčiji,Nemčija,Nemčija,Npfsl,PROPN,B-LOC,GPE-Germany
sl-52,4,12,v,,v,Sl,ADP,O,
sl-52,4,13,parlamentu,,parlament,Ncmsl,NOUN,O,
sl-52,4,14,razpravljajo,,razpravljati,Vmpr3p,VERB,O,
sl-52,4,15,",",,",",Z,PUNCT,O,
sl-52,4,16,kako,,kako,Rgp,ADV,O,
sl-52,4,17,naj,,naj,Q,PART,O,
sl-52,4,18,obdavčijo,,obdavčiti,Vmer3p,VERB,O,
sl-52,4,19,ponudnike,,ponudnik,Ncmpa,NOUN,O,
sl-52,4,20,nizkocenovnih,,nizkocenoven,Agpmpg,ADJ,O,
sl-52,4,21,letov,,let,Ncmpg,NOUN,O,
sl-52,4,22,za,,za,Sa,ADP,O,
sl-52,4,23,lete,,let,Ncmpa,NOUN,O,
sl-52,4,24,na,,na,Sa,ADP,O,
sl-52,4,25,kratke,,kratek,Agpfpa,ADJ,O,
sl-52,4,26,razdalije,,razdalija,Ncfpa,NOUN,O,
sl-52,4,27,.,,.,Z,PUNCT,O,
sl-52,5,1,Alexander,Alexander,Alexander,Npmsn,PROPN,B-PER,PER-Alexander-Dobrindt
sl-52,5,2,Dobrindt,Dobrindt,Dobrindt,Npmsn,PROPN,I-PER,PER-Alexander-Dobrindt
sl-52,5,3,je,,biti,Va-r3s-n,AUX,O,
sl-52,5,4,kot,,kot,Cs,SCONJ,O,
sl-52,5,5,predsednik,,predsednik,Ncmsn,NOUN,O,
sl-52,5,6,CDU,CDU,CDU,Npfsg,PROPN,B-ORG,ORG-Christlich-Demokratische-Union
sl-52,5,7,namreč,,namreč,Cc,CCONJ,O,
sl-52,5,8,prepričan,,prepričan,Appmsnn,ADJ,O,
sl-52,5,9,",",,",",Z,PUNCT,O,
sl-52,5,10,da,,da,Cs,SCONJ,O,
sl-52,5,11,si,,se,Px---d--y,PRON,O,
sl-52,5,12,ti,,ta,Pd-mpn,DET,O,
sl-52,5,13,zaslužijo,,zaslužiti,Vmer3p,VERB,O,
sl-52,5,14,nekakšno,,nekakšen,Pi-fsa,DET,O,
sl-52,5,15,kazensko,,kazenski,Agpfsa,ADJ,O,
sl-52,5,16,tarifo,,tarifa,Ncfsa,NOUN,O,
sl-52,5,17,.,,.,Z,PUNCT,O,
sl-52,6,1,»,,»,Z,PUNCT,O,
sl-52,6,2,Gre,,iti,Vmbr3s,VERB,O,
sl-52,6,3,za,,za,Sa,ADP,O,
sl-52,6,4,zaščito,,zaščita,Ncfsa,NOUN,O,
sl-52,6,5,okolja,,okolje,Ncnsg,NOUN,O,
sl-52,6,6,",",,",",Z,PUNCT,O,
sl-52,6,7,«,,«,Z,PUNCT,O,
sl-52,6,8,razloži,,razložiti,Vmer3s,VERB,O,
sl-52,6,9,za,,za,Sa,ADP,O,
sl-52,6,10,časopis,,časopis,Ncmsan,NOUN,O,
sl-52,6,11,Bild,Bild,Bild,Npmsn,PROPN,B-ORG,ORG-Bild
sl-52,6,12,.,,.,Z,PUNCT,O,
sl-52,7,1,»,,»,Z,PUNCT,O,
sl-52,7,2,Letalske,,letalski,Agpfpn,ADJ,O,
sl-52,7,3,karte,,karta,Ncfpn,NOUN,O,
sl-52,7,4,",",,",",Z,PUNCT,O,
sl-52,7,5,ki,,ki,Cs,SCONJ,O,
sl-52,7,6,stanejo,,stati,Vmpr3p,VERB,O,
sl-52,7,7,devet,,devet,Mlc-pa,NUM,O,
sl-52,7,8,evrov,,evro,Ncmpg,NOUN,O,
sl-52,7,9,",",,",",Z,PUNCT,O,
sl-52,7,10,niso,,biti,Va-r3p-y,AUX,O,
sl-52,7,11,dobre,,dober,Agpfpn,ADJ,O,
sl-52,7,12,ne,,ne,Q,PART,O,
