docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
uk-170,0,1,Розпочався,,розпочатися,Vmeis-sm,VERB,O,
uk-170,0,2,найбільший,,найбільший,Afcmsnf,ADJ,O,
uk-170,0,3,страйк,,страйк,Ncmsnn,NOUN,O,
uk-170,0,4,пілотів,,пілот,Ncmpgn,NOUN,O,
uk-170,0,5,у,,у,Spsl,ADP,O,
uk-170,0,6,історії,,історія,Ncfsln,NOUN,O,
uk-170,0,7,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-170,1,1,Пілоти,,пілота,Ncmpnn,NOUN,O,
uk-170,1,2,ірландської,,ірландський,Ao-fsgf,ADJ,O,
uk-170,1,3,бюджетної,,бюджетний,Ao-fsgf,ADJ,O,
uk-170,1,4,авіакомпанії,,авіакомпанія,Ncfsgn,NOUN,O,
uk-170,1,5,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-170,1,6,сьогодні,,сьогодні,R,ADV,O,
uk-170,1,7,",",,",",U,PUNCT,O,
uk-170,1,8,10,,10,Mlonsg,ADJ,O,
uk-170,1,9,серпня,,серпень,Ncmsgn,NOUN,O,
uk-170,1,10,",",,",",U,PUNCT,O,
uk-170,1,11,розпочали,,розпочати,Vmeis-p,VERB,O,
uk-170,1,12,наймасштабніший,,наймасштабніший,Afcmsafn,ADJ,O,
uk-170,1,13,страйк,,страйк,Ncmsan,NOUN,O,
uk-170,1,14,в,,в,Spsl,ADP,O,
uk-170,1,15,історії,,історія,Ncfsln,NOUN,O,
uk-170,1,16,перевізника,,перевізник,Ncmsgy,NOUN,O,
uk-170,1,17,.,,.,U,PUNCT,O,
uk-170,2,1,За,,за,Spsi,ADP,O,
uk-170,2,2,повідомленням,,повідомлення,Ncnsin,NOUN,O,
uk-170,2,3,речника,,речник,Ncmsgy,NOUN,O,
uk-170,2,4,німецької,,німецький,Ao-fsgf,ADJ,O,
uk-170,2,5,профспілки,,профспілка,Ncfsgn,NOUN,O,
uk-170,2,6,пілотів,,пілот,Ncmpgn,NOUN,O,
uk-170,2,7,Vereinigung,Vereinigung,Vereinigung,X,X,B-ORG,ORG-Vereinigung-Cockpit
uk-170,2,8,Cockpit,Cockpit,Cockpit,X,X,I-ORG,ORG-Vereinigung-Cockpit
uk-170,2,9,",",,",",U,PUNCT,O,
uk-170,2,10,страйк,,страйк,Ncmsnn,NOUN,O,
uk-170,2,11,у,,у,Spsl,ADP,O,
uk-170,2,12,Німеччині,Німеччина,Німеччина,Npfsln,PROPN,B-LOC,GPE-Germany
uk-170,2,13,стартував,,стартувати,Vmeis-sm,VERB,O,
uk-170,2,14,о,,о,Spsl,ADP,O,
uk-170,2,15,3,,3,Mlofsl,ADJ,O,
uk-170,2,16,:,,:,U,PUNCT,O,
uk-170,2,17,01,,01,Mlc-n,NUM,O,
uk-170,2,18,і,,і,Ccs,CCONJ,O,
uk-170,2,19,триватиме,,тривати,Vmpif3s,VERB,O,
uk-170,2,20,до,,до,Spsg,ADP,O,
uk-170,2,21,2,,2,Mlcfsg,NUM,O,
uk-170,2,22,:,,:,U,PUNCT,O,
uk-170,2,23,59,,59,Mlc-n,NUM,O,
uk-170,2,24,суботи,,субота,Ncfsgn,NOUN,O,
uk-170,2,25,",",,",",U,PUNCT,O,
uk-170,2,26,11,,11,Mlonsg,ADJ,O,
uk-170,2,27,серпня,,серпень,Ncmsgn,NOUN,O,
uk-170,2,28,",",,",",U,PUNCT,O,
uk-170,2,29,передає,,передавати,Vmpip3s,VERB,O,
uk-170,3,1,з,,з,Spsi,ADP,O,
uk-170,3,2,посиланням,,посилання,Ncnsin,NOUN,O,
uk-170,3,3,на,,на,Spsa,ADP,O,
uk-170,3,4,агентство,,агентство,Ncnsan,NOUN,O,
uk-170,3,5,AFP,AFP,AFP,X,X,B-ORG,ORG-AFP-Agence-France-Press
uk-170,3,6,.,,.,U,PUNCT,O,
uk-170,4,1,DW,DW,DW,Y,NOUN,B-ORG,ORG-Deutsche-Welle
uk-170,4,2,Ірландський,,Ірландський,Npmsny,PROPN,O,
uk-170,4,3,лоукостер,,Лоукостер,Npmsny,PROPN,O,
uk-170,4,4,скасував,,скасувати,Vmeis-sm,VERB,O,
uk-170,4,5,250,,250,Mlc-a,NUM,O,
uk-170,4,6,рейсів,,рейс,Ncmpgn,NOUN,O,
uk-170,4,7,до,,до,Spsg,ADP,O,
