docId,sentenceId,tokenId,text,lemma,ner,clID
uk-204,0,1,Ryanair,Ryanair,B-ORG,ORG-Ryanair
uk-204,0,2,скасував,,O,
uk-204,0,3,150,,O,
uk-204,0,4,рейсів,,O,
uk-204,0,5,через,,O,
uk-204,0,6,страйк,,O,
uk-204,0,7,у,,O,
uk-204,0,8,Німеччині,Німеччина,B-LOC,GPE-Germany
uk-204,1,1,Cтрайк,,O,
uk-204,1,2,пілотів,,O,
uk-204,1,3,та,,O,
uk-204,1,4,бортпровідників,,O,
uk-204,1,5,у,,O,
uk-204,1,6,Німеччині,Німеччина,B-LOC,GPE-Germany
uk-204,1,7,може,,O,
uk-204,1,8,призвести,,O,
uk-204,1,9,до,,O,
uk-204,1,10,звільнень,,O,
uk-204,1,11,працівників,,O,
uk-204,1,12,авіаперевізника,,O,
uk-204,1,13,у,,O,
uk-204,1,14,цій,,O,
uk-204,1,15,країні,,O,
uk-204,1,16,.,,O,
uk-204,2,1,Про,,O,
uk-204,2,2,це,,O,
uk-204,3,1,DW,,O,
uk-204,3,2,.com,,O,
uk-204,3,3,.,,O,
uk-204,3,4,повідомляє,,O,
uk-204,3,5,Такою,,O,
uk-204,3,6,була,,O,
uk-204,3,7,відповідь,,O,
uk-204,3,8,ірландського,,O,
uk-204,3,9,лоукостера,,O,
uk-204,3,10,на,,O,
uk-204,3,11,24-годинний,,O,
uk-204,3,12,страйк,,O,
uk-204,3,13,",",,O,
uk-204,3,14,оголошений,,O,
uk-204,3,15,на,,O,
uk-204,3,16,середу,,O,
uk-204,3,17,",",,O,
uk-204,3,18,12,,O,
uk-204,3,19,вересня,,O,
uk-204,3,20,",",,O,
uk-204,3,21,німецькою,,O,
uk-204,3,22,профспілкою,,O,
uk-204,3,23,пілотів,,O,
uk-204,3,24,Vereinigung,Vereinigung,B-ORG,ORG-Vereinigung-Cockpit
uk-204,3,25,Cockpit,Cockpit,I-ORG,ORG-Vereinigung-Cockpit
uk-204,3,26,та,,O,
uk-204,3,27,німецькою,,O,
uk-204,3,28,профспілкою,,O,
uk-204,3,29,Verdi,Verdi,B-ORG,ORG-Ver.di-Trade-Union
uk-204,3,30,",",,O,
uk-204,3,31,що,,O,
uk-204,3,32,представляє,,O,
uk-204,3,33,бортпровідників,,O,
uk-204,3,34,компанії,,O,
uk-204,3,35,.,,O,
uk-204,4,1,Як,,O,
uk-204,4,2,йдеться,,O,
uk-204,4,3,у,,O,
uk-204,4,4,заяві,,O,
uk-204,4,5,Ryanair,Ryanair,B-ORG,ORG-Ryanair
uk-204,4,6,від,,O,
uk-204,4,7,вівторка,,O,
uk-204,4,8,",",,O,
uk-204,4,9,11,,O,
uk-204,4,10,вересня,,O,
uk-204,4,11,",",,O,
uk-204,4,12,такий,,O,
uk-204,4,13,раптово,,O,
uk-204,4,14,оголошений,,O,
uk-204,4,15,страйк,,O,
uk-204,4,16,завдає,,O,
uk-204,4,17,шкоди,,O,
uk-204,4,18,діяльності,,O,
uk-204,4,19,авіакомпанії,,O,
uk-204,4,20,у,,O,
uk-204,4,21,ФРН,ФРН,B-LOC,GPE-Germany
uk-204,4,22,та,,O,
uk-204,4,23,"""",,O,
uk-204,4,24,може,,O,
uk-204,4,25,призвести,,O,
uk-204,4,26,до,,O,
uk-204,4,27,скорочення,,O,
uk-204,4,28,кількості,,O,
uk-204,4,29,літаків,,O,
uk-204,4,30,та,,O,
uk-204,4,31,робочих,,O,
uk-204,4,32,місць,,O,
uk-204,4,33,на,,O,
uk-204,4,34,німецькому,,O,
uk-204,4,35,ринку,,O,
uk-204,4,36,взимку,,O,
uk-204,4,37,"""",,O,
uk-204,4,38,.,,O,
uk-204,5,1,Речник,,O,
uk-204,5,2,компанії,,O,
uk-204,5,3,заявив,,O,
uk-204,5,4,",",,O,
uk-204,5,5,що,,O,
uk-204,5,6,подібні,,O,
uk-204,5,7,страйки,,O,
uk-204,5,8,не,,O,
uk-204,5,9,мають,,O,
uk-204,5,10,виправдання,,O,
uk-204,5,11,після,,O,
uk-204,5,12,того,,O,
uk-204,5,13,",",,O,
uk-204,5,14,як,,O,
uk-204,5,15,авіаперевізник,,O,
uk-204,5,16,пішов,,O,
uk-204,5,17,назустріч,,O,
uk-204,5,18,своїм,,O,
uk-204,5,19,працівникам,,O,
uk-204,5,20,",",,O,
uk-204,5,21,погодившись,,O,
uk-204,5,22,зокрема,,O,
uk-204,5,23,підвищити,,O,
uk-204,5,24,оплату,,O,
uk-204,5,25,праці,,O,
uk-204,5,26,.,,O,
uk-204,6,1,Спочатку,,O,
uk-204,6,2,у,,O,
uk-204,6,3,компанії,,O,
uk-204,6,4,запевнили,,O,
uk-204,6,5,",",,O,
uk-204,6,6,що,,O,
uk-204,6,7,намагатимуться,,O,
uk-204,6,8,обійтись,,O,
uk-204,6,9,без,,O,
uk-204,6,10,скасування,,O,
uk-204,6,11,рейсів,,O,
uk-204,6,12,у,,O,
uk-204,6,13,середу,,O,
uk-204,6,14,",",,O,
uk-204,6,15,попри,,O,
uk-204,6,16,оголошений,,O,
uk-204,6,17,страйк,,O,
uk-204,6,18,.,,O,
uk-204,7,1,Проте,,O,
uk-204,7,2,згодом,,O,
uk-204,7,3,Ryanair,Ryanair,B-ORG,ORG-Ryanair
uk-204,7,4,оголосив,,O,
uk-204,7,5,про,,O,
uk-204,7,6,скасування,,O,
uk-204,7,7,150,,O,
uk-204,7,8,з,,O,
uk-204,7,9,400,,O,
uk-204,7,10,рейсів,,O,
uk-204,7,11,з,,O,
uk-204,7,12,та,,O,
uk-204,7,13,до,,O,
uk-204,7,14,аеропортів,,O,
uk-204,7,15,Німеччини,Німеччина,B-LOC,GPE-Germany
uk-204,7,16,у,,O,
uk-204,7,17,цей,,O,
uk-204,7,18,день,,O,
uk-204,7,19,.,,O,
uk-204,8,1,Як,,O,
uk-204,8,2,повідомив,,O,
uk-204,8,3,представник,,O,
uk-204,8,4,компанії,,O,
uk-204,8,5,",",,O,
uk-204,8,6,пасажирів,,O,
uk-204,8,7,",",,O,
uk-204,8,8,яких,,O,
uk-204,8,9,зачепить,,O,
uk-204,8,10,скасування,,O,
uk-204,8,11,",",,O,
uk-204,8,12,поінформують,,O,
uk-204,8,13,",",,O,
uk-204,8,14,й,,O,
uk-204,8,15,ті,,O,
uk-204,8,16,зможуть,,O,
uk-204,8,17,перебронювати,,O,
uk-204,8,18,квитки,,O,
uk-204,8,19,на,,O,
uk-204,8,20,інші,,O,
uk-204,8,21,рейси,,O,
uk-204,8,22,.,,O,
uk-204,9,1,У,,O,
uk-204,9,2,Німеччині,Німеччина,B-LOC,GPE-Germany
uk-204,9,3,у,,O,
uk-204,9,4,компанії,,O,
uk-204,9,5,Ryanair,Ryanair,B-ORG,ORG-Ryanair
uk-204,9,6,працевлаштовано,,O,
uk-204,9,7,близько,,O,
uk-204,9,8,400,,O,
uk-204,9,9,пілотів,,O,
uk-204,9,10,та,,O,
uk-204,9,11,1000,,O,
uk-204,9,12,бортпровідників,,O,
uk-204,9,13,.,,O,
uk-204,10,1,Згідно,,O,
uk-204,10,2,з,,O,
uk-204,10,3,інформацією,,O,
uk-204,10,4,профспілки,,O,
uk-204,10,5,Vereinigung,Vereinigung,B-ORG,ORG-Vereinigung-Cockpit
uk-204,10,6,Cockpit,Cockpit,I-ORG,ORG-Vereinigung-Cockpit
uk-204,10,7,",",,O,
uk-204,10,8,більшість,,O,
uk-204,10,9,з,,O,
uk-204,10,10,них,,O,
uk-204,10,11,братимуть,,O,
uk-204,10,12,участь,,O,
uk-204,10,13,у,,O,
uk-204,10,14,страйку,,O,
uk-204,10,15,в,,O,
uk-204,10,16,середу,,O,
uk-204,10,17,.,,O,
uk-204,11,1,Страйкарі,,O,
uk-204,11,2,вимагають,,O,
uk-204,11,3,від,,O,
uk-204,11,4,Ryanair,Ryanair,B-ORG,ORG-Ryanair
uk-204,11,5,підвищення,,O,
uk-204,11,6,оплати,,O,
uk-204,11,7,праці,,O,
uk-204,11,8,.,,O,
uk-204,12,1,Бортпровідники,,O,
uk-204,12,2,авіакомпанії,,O,
uk-204,12,3,",",,O,
uk-204,12,4,які,,O,
uk-204,12,5,працюють,,O,
uk-204,12,6,на,,O,
uk-204,12,7,повну,,O,
uk-204,12,8,ставку,,O,
uk-204,12,9,",",,O,
uk-204,12,10,отримують,,O,
uk-204,12,11,від,,O,
uk-204,12,12,800,,O,
uk-204,12,13,до,,O,
uk-204,12,14,1200,,O,
uk-204,12,15,євро,,O,
uk-204,12,16,щомісяця,,O,
uk-204,12,17,до,,O,
uk-204,12,18,сплати,,O,
uk-204,12,19,податків,,O,
uk-204,12,20,.,,O,
uk-204,13,1,З,,O,
uk-204,13,2,усіма,,O,
uk-204,13,3,доплатами,,O,
uk-204,13,4,та,,O,
uk-204,13,5,надбавками,,O,
uk-204,13,6,ця,,O,
uk-204,13,7,сума,,O,
uk-204,13,8,становить,,O,
uk-204,13,9,близько,,O,
uk-204,13,10,1800,,O,
uk-204,13,11,євро,,O,
uk-204,13,12,",",,O,
uk-204,13,13,а,,O,
uk-204,13,14,старший,,O,
uk-204,13,15,бортпровідник,,O,
uk-204,13,16,отримує,,O,
uk-204,13,17,близько,,O,
uk-204,13,18,2700,,O,
uk-204,13,19,євро,,O,
uk-204,13,20,на,,O,
uk-204,13,21,місяць,,O,
uk-204,13,22,.,,O,
uk-204,14,1,Нагадаємо,,O,
uk-204,14,2,",",,O,
uk-204,14,3,у,,O,
uk-204,14,4,липні,,O,
uk-204,14,5,ірландська,,O,
uk-204,14,6,авіакомпанія,,O,
uk-204,14,7,Ryanair,Ryanair,B-ORG,ORG-Ryanair
uk-204,14,8,скасувала,,O,
uk-204,14,9,до,,O,
uk-204,14,10,600,,O,
uk-204,14,11,рейсів,,O,
uk-204,14,12,через,,O,
uk-204,14,13,загрозу,,O,
uk-204,14,14,страйків,,O,
uk-204,14,15,бортпровідників,,O,
uk-204,14,16,у,,O,
uk-204,14,17,Бельгії,Бельгія,B-LOC,GPE-Belgium
uk-204,14,18,",",,O,
uk-204,14,19,Португалії,Португалія,B-LOC,GPE-Portugal
uk-204,14,20,та,,O,
uk-204,14,21,Іспанії,Іспанія,B-LOC,GPE-Spain
uk-204,14,22,.,,O,
