docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-39,0,1,Ekstremiści,,ekstremista,subst:pl:nom:m1,NOUN,O,
pl-39,0,2,islamscy,,islamski,adj:pl:nom:m1:pos,ADJ,O,
pl-39,0,3,grożą,,grozić,fin:pl:ter:imperf,VERB,O,
pl-39,0,4,samosądem,,samosąd,subst:sg:inst:m3,NOUN,O,
pl-39,0,5,Asii,Asia,Asia,subst:sg:gen:f,PROPN,B-PER,PER-Asia-Bibi
pl-39,0,6,Bibi,Bibi,Bibi,subst:sg:gen:f,PROPN,I-PER,PER-Asia-Bibi
pl-39,0,7,.,,.,interp,PUNCT,O,
pl-39,1,1,Jeśli,,jeśli,comp,SCONJ,O,
pl-39,1,2,wyjdzie,,wyjść,fin:sg:ter:perf,VERB,O,
pl-39,1,3,z,,z,prep:gen:nwok,ADP,O,
pl-39,1,4,więzienia,,więzienie,subst:sg:gen:n:ncol,NOUN,O,
pl-39,1,5,grozi,,grozić,fin:sg:ter:imperf,VERB,O,
pl-39,1,6,jej,,on,ppron3:sg:gen:f:ter:akc:npraep,PRON,O,
pl-39,1,7,śmierć,,śmierć,subst:sg:nom:f,NOUN,O,
pl-39,2,1,Asia,Asia,Asia,subst:sg:nom:f,PROPN,B-PER,PER-Asia-Bibi
pl-39,2,2,Bibi,Bibi,Bibi,subst:sg:nom:f,PROPN,I-PER,PER-Asia-Bibi
pl-39,2,3,",",,",",interp,PUNCT,O,
pl-39,2,4,pakistańska,,pakistański,adj:sg:nom:f:pos,ADJ,O,
pl-39,2,5,katoliczka,,katoliczka,subst:sg:nom:f,NOUN,O,
pl-39,2,6,",",,",",interp,PUNCT,O,
pl-39,2,7,skazana,,skazać,adj:sg:nom:f:pos,ADJ,O,
pl-39,2,8,8,,8,num:pl:acc:m3:rec,NUM,O,
pl-39,2,9,lat,,rok,subst:pl:gen:m3,NOUN,O,
pl-39,2,10,temu,,temu,prep:acc,ADP,O,
pl-39,2,11,na,,na,prep:acc,ADP,O,
pl-39,2,12,karę,,kara,subst:sg:acc:f,NOUN,O,
pl-39,2,13,śmierci,,śmierć,subst:sg:gen:f,NOUN,O,
pl-39,2,14,za,,za,prep:acc,ADP,O,
pl-39,2,15,rzekome,,rzekomy,adj:sg:acc:n:pos,ADJ,O,
pl-39,2,16,bluźnierstwo,,bluźnierstwo,subst:sg:acc:n:ncol,NOUN,O,
pl-39,2,17,przeciw,,przeciw,prep:dat,ADP,O,
pl-39,2,18,islamowi,,islam,subst:sg:dat:m3,NOUN,O,
pl-39,2,19,",",,",",interp,PUNCT,O,
pl-39,2,20,nawet,,nawet,part,PART,O,
pl-39,2,21,gdyby,,gdyby,comp,SCONJ,O,
pl-39,2,22,opuściła,,opuścić,praet:sg:f:perf,VERB,O,
pl-39,2,23,więzienie,,więzienie,subst:sg:acc:n:ncol,NOUN,O,
pl-39,2,24,",",,",",interp,PUNCT,O,
pl-39,2,25,może,,móc,fin:sg:ter:imperf,VERB,O,
pl-39,2,26,zostać,,zostać,inf:perf,AUX,O,
pl-39,2,27,zamordowana,,zamordować,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-39,2,28,.,,.,interp,PUNCT,O,
pl-39,3,1,Taką,,taki,adj:sg:acc:f:pos,DET,O,
pl-39,3,2,opinię,,opinia,subst:sg:acc:f,NOUN,O,
pl-39,3,3,wyraził,,wyrazić,praet:sg:m1:perf,VERB,O,
pl-39,3,4,Shaiq,Shaiq,Shaia,subst:sg:nom:m1,PROPN,B-PER,PER-Shaiq-Hussain
pl-39,3,5,Hussain,Hussain,Hussain,subst:sg:nom:m1,PROPN,I-PER,PER-Shaiq-Hussain
pl-39,3,6,",",,",",interp,PUNCT,O,
pl-39,3,7,pakistański,,pakistański,adj:sg:nom:m1:pos,ADJ,O,
pl-39,3,8,korespondent,,korespondent,subst:sg:nom:m1,NOUN,O,
pl-39,3,9,amerykańskiego,,amerykański,adj:sg:gen:m3:pos,ADJ,O,
pl-39,3,10,dziennika,,dziennik,subst:sg:gen:m3,NOUN,O,
pl-39,3,11,„,,„,interp,PUNCT,O,
pl-39,3,12,The,The,The,subst:sg:nom:m3,PROPN,B-PRO,PRO-Washington-Post
pl-39,3,13,Washington,Washington,Washington,subst:sg:nom:m3,PROPN,I-PRO,PRO-Washington-Post
pl-39,3,14,Post,Post,Post,subst:sg:nom:m3,PROPN,I-PRO,PRO-Washington-Post
pl-39,3,15,”,,”,interp,PUNCT,O,
pl-39,3,16,.,,.,interp,PUNCT,O,
pl-39,4,1,W,,w,prep:loc:nwok,ADP,O,
pl-39,4,2,swoim,,swój,adj:sg:loc:m3:pos,DET,O,
pl-39,4,3,artykule,,artykuł,subst:sg:loc:m3,NOUN,O,
pl-39,4,4,zwrócił,,zwrócić,praet:sg:m1:perf,VERB,O,
pl-39,4,5,on,,on,ppron3:sg:nom:m1:ter:akc:npraep,PRON,O,
pl-39,4,6,uwagę,,uwaga,subst:sg:acc:f,NOUN,O,
pl-39,4,7,na,,na,prep:acc,ADP,O,
pl-39,4,8,dalszą,,daleki,adj:sg:acc:f:com,ADJ,O,
pl-39,4,9,radykalizację,,radykalizacja,subst:sg:acc:f,NOUN,O,
pl-39,4,10,islamistów,,islamista,subst:pl:gen:m1,NOUN,O,
pl-39,4,11,w,,w,prep:loc:nwok,ADP,O,
pl-39,4,12,tym,,ten,adj:sg:loc:m3:pos,DET,O,
pl-39,4,13,kraju,,kraj,subst:sg:loc:m3,NOUN,O,
pl-39,4,14,",",,",",interp,PUNCT,O,
pl-39,4,15,którzy,,który,adj:pl:nom:m1:pos,DET,O,
pl-39,4,16,m.in,,między innymi,brev:pun,X,O,
pl-39,4,17,.,,.,interp,PUNCT,O,
pl-39,4,18,ogłosili,,ogłosić,praet:pl:m1:perf,VERB,O,
pl-39,4,19,ostatnio,,ostatnio,adv:pos,ADV,O,
pl-39,4,20,nowe,,nowy,adj:pl:acc:f:pos,ADJ,O,
