docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-20xx-17,0,1,Jest,,być,fin:sg:ter:imperf,AUX,O,
pl-20xx-17,0,2,szansa,,szansa,subst:sg:nom:f,NOUN,O,
pl-20xx-17,0,3,na,,na,prep:acc,ADP,O,
pl-20xx-17,0,4,uniewinnienie,,uniewinnić,ger:sg:acc:n:perf:aff,NOUN,O,
pl-20xx-17,0,5,Asi,Asia,Asia,subst:sg:gen:f,PROPN,B-PER,PER-Asia-Bibi
pl-20xx-17,0,6,Bibi,Bibi,Bibi,subst:sg:gen:f,PROPN,I-PER,PER-Asia-Bibi
pl-20xx-17,1,1,"""",,"""",interp,PUNCT,O,
pl-20xx-17,1,2,Jest,,być,fin:sg:ter:imperf,AUX,O,
pl-20xx-17,1,3,szansa,,szansa,subst:sg:nom:f,NOUN,O,
pl-20xx-17,1,4,na,,na,prep:acc,ADP,O,
pl-20xx-17,1,5,uniewinnienie,,uniewinnić,ger:sg:acc:n:perf:aff,NOUN,O,
pl-20xx-17,1,6,"""",,"""",interp,PUNCT,O,
pl-20xx-17,1,7,-,,-,interp,PUNCT,O,
pl-20xx-17,1,8,uważa,,uważać,fin:sg:ter:imperf,VERB,O,
pl-20xx-17,1,9,dyrektorka,,dyrektorka,subst:sg:nom:f,NOUN,O,
pl-20xx-17,1,10,polskiej,,polski,adj:sg:gen:f:pos,ADJ,O,
pl-20xx-17,1,11,sekcji,,sekcja,subst:sg:gen:f,NOUN,O,
pl-20xx-17,1,12,Amnesty,Amnesty,Amnesty,subst:sg:gen:f,PROPN,B-ORG,ORG-Amnesty-International
pl-20xx-17,1,13,International,International,International,subst:sg:nom:f,PROPN,I-ORG,ORG-Amnesty-International
pl-20xx-17,1,14,Draginja,Draginja,Draginja,subst:sg:nom:f,PROPN,B-PER,PER-Draginja-Nadazdin
pl-20xx-17,1,15,Nadażdin,Nadażdin,Nadażdin,subst:sg:nom:f,PROPN,I-PER,PER-Draginja-Nadazdin
pl-20xx-17,1,16,.,,.,interp,PUNCT,O,
pl-20xx-17,2,1,Do,,do,prep:gen,ADP,O,
pl-20xx-17,2,2,zdarzenia,,zdarzenie,subst:sg:gen:n:ncol,NOUN,O,
pl-20xx-17,2,3,",",,",",interp,PUNCT,O,
pl-20xx-17,2,4,które,,który,adj:pl:acc:n:pos,DET,O,
pl-20xx-17,2,5,zakwalifikowano,,zakwalifikować,imps:perf,VERB,O,
pl-20xx-17,2,6,jako,,jako,comp,SCONJ,O,
pl-20xx-17,2,7,bluźnierstwo,,bluźnierstwo,subst:sg:acc:n:ncol,NOUN,O,
pl-20xx-17,2,8,",",,",",interp,PUNCT,O,
pl-20xx-17,2,9,doszło,,dojść,praet:sg:n:perf,VERB,O,
pl-20xx-17,2,10,w,,w,prep:loc:nwok,ADP,O,
pl-20xx-17,2,11,roku,,rok,subst:sg:loc:m3,NOUN,O,
pl-20xx-17,2,12,2009,,2009,adj:sg:loc:m3:pos,ADJ,O,
pl-20xx-17,2,13,",",,",",interp,PUNCT,O,
pl-20xx-17,2,14,a,,a,conj,CCONJ,O,
pl-20xx-17,2,15,procesy,,proces,subst:pl:nom:m3,NOUN,O,
pl-20xx-17,2,16,ciągnęły,,ciągnąć,praet:pl:m3:imperf,VERB,O,
pl-20xx-17,2,17,się,,się,part,PRON,O,
pl-20xx-17,2,18,przez,,przez,prep:acc:nwok,ADP,O,
pl-20xx-17,2,19,kolejne,,kolejny,adj:pl:acc:m3:pos,ADJ,O,
pl-20xx-17,2,20,lata,,rok,subst:pl:acc:m3,NOUN,O,
pl-20xx-17,2,21,",",,",",interp,PUNCT,O,
pl-20xx-17,2,22,zwracając,,zwracać,pcon:imperf,VERB,O,
pl-20xx-17,2,23,uwagę,,uwaga,subst:sg:acc:f,NOUN,O,
pl-20xx-17,2,24,światowej,,światowy,adj:sg:gen:f:pos,ADJ,O,
pl-20xx-17,2,25,opinii,,opinia,subst:sg:gen:f,NOUN,O,
pl-20xx-17,2,26,publicznej,,publiczny,adj:sg:gen:f:pos,ADJ,O,
pl-20xx-17,2,27,.,,.,interp,PUNCT,O,
pl-20xx-17,3,1,Nadażdin,Nadażdin,nadażdiny,subst:sg:nom:f,NOUN,B-PER,PER-Draginja-Nadazdin
pl-20xx-17,3,2,jest,,być,fin:sg:ter:imperf,VERB,O,
pl-20xx-17,3,3,zdania,,zdanie,subst:sg:gen:n:ncol,NOUN,O,
pl-20xx-17,3,4,",",,",",interp,PUNCT,O,
pl-20xx-17,3,5,że,,że,comp,SCONJ,O,
pl-20xx-17,3,6,władze,,władza,subst:pl:nom:f,NOUN,O,
pl-20xx-17,3,7,Pakistanu,Pakistan,Pakistan,subst:sg:gen:m3,PROPN,B-LOC,GPE-Pakistan
pl-20xx-17,3,8,nie,,nie,part,PART,O,
pl-20xx-17,3,9,mogą,,móc,fin:pl:ter:imperf,VERB,O,
pl-20xx-17,3,10,dopuścić,,dopuścić,inf:perf,VERB,O,
pl-20xx-17,3,11,już,,już,part,PART,O,
pl-20xx-17,3,12,do,,do,prep:gen,ADP,O,
pl-20xx-17,3,13,sytuacji,,sytuacja,subst:sg:gen:f,NOUN,O,
pl-20xx-17,3,14,",",,",",interp,PUNCT,O,
pl-20xx-17,3,15,że,,że,comp,SCONJ,O,
pl-20xx-17,3,16,kolejny,,kolejny,adj:sg:nom:m3:pos,ADJ,O,
pl-20xx-17,3,17,proces,,proces,subst:sg:nom:m3,NOUN,O,
pl-20xx-17,3,18,będzie,,być,bedzie:sg:ter:imperf,AUX,O,
pl-20xx-17,3,19,znowu,,znowu,part,PART,O,
pl-20xx-17,3,20,pozostawiać,,pozostawiać,inf:imperf,VERB,O,
pl-20xx-17,3,21,wiele,,wiele,num:pl:acc:n:rec,DET,O,
pl-20xx-17,3,22,do,,do,prep:gen,ADP,O,
pl-20xx-17,3,23,życzenia,,życzenie,subst:sg:gen:n:ncol,NOUN,O,
pl-20xx-17,3,24,i,,i,conj,CCONJ,O,
pl-20xx-17,3,25,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-20xx-17,3,26,spora,,spory,adj:sg:nom:f:pos,ADJ,O,
pl-20xx-17,3,27,szansa,,szansa,subst:sg:nom:f,NOUN,O,
pl-20xx-17,3,28,na,,na,prep:acc,ADP,O,
