bg-128
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
Естония	Естония	LOC	GPE-Estonia
Източна Европа	Източна Европа	LOC	LOC-Eastern-Europe
Кале	Кале	LOC	GPE-Calais
Лондон	Лондон	LOC	GPE-London
Мали	Мали	LOC	GPE-Mali
НАТО	НАТО	ORG	ORG-NATO
Париж	Париж	LOC	GPE-Paris
Сандхърст	Сандхърст	ORG	ORG-Royal-Military-Academy-Sandhurst
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Франция	Франция	LOC	GPE-France
Чинук	Чинук	PRO	PRO-Chinook
