bg-1362
The Independent	The Independent	PRO	PRO-The-Independent
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Грийнинг	Грийнинг	PER	PER-Justine-Greening
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Джъстин Грийнинг	Джъстин Грийнинг	PER	PER-Justine-Greening
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
Камарата на представителите	Камара на представителите	ORG	ORG-House-of-Commons
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Фокус	Фокус	ORG	ORG-Focus-News-Agency
