bg-1832
Vesti.bg	Vesti.bg	PRO	PRO-Vesti.bg
Барние	Барние	PER	PER-Michel-Barnier
Боряна Манолова	Боряна Манолова	PER	PER-Boryana-Manolova
Брекзит	Брекзит	EVT	EVT-Brexit
България	България	LOC	GPE-Bulgaria
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Ева Майдел	Ева Майдел	PER	PER-Eva-Maydell
Европейското международно движение	Европейско международно движение	ORG	ORG-European-Movement-International
Майдел	Майдел	PER	PER-Eva-Maydell
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Подгответе се за Брекзит - последствия за европейския бизнес	Подгответе се за Брекзит - последствия за европейския бизнес	EVT	EVT-Prepare-for-Brexit-Implications-for-European-Business
София	София	LOC	GPE-Sofia
Управителния съвет на КРИБ	Управителен съвет на КРИБ	ORG	ORG-KRIB-BG-Management-Board
британците	британци	PER	GPE-Great-Britain
българи	българи	PER	GPE-Bulgaria
