bg-48
Bild	Bild	PRO	PRO-Bild
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Даунинг стрийт	Даунинг стрийт	LOC	LOC-Downing-Street
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
ЕС	ЕС	ORG	ORG-European-Union
Европа	Европа	LOC	LOC-Europe
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Жан-Клод Юнкер	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
Интерфакс	Интерфакс	ORG	ORG-Interfax
Камарата на общините	Камара на общините	ORG	ORG-House-of-Commons
Канада	Канада	LOC	GPE-Canada
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Норвегия	Норвегия	LOC	GPE-Norway
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Фокус	Фокус	ORG	ORG-Focus-News-Agency
