bg-967
Ар Ти И	Ар Ти И	PRO	PRO-RTE-Ireland
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Брекзита	Брекзит	EVT	EVT-Brexit
Варадкар	Варадкар	PER	PER-Leo-Varadkar
Великобритания	Великобритания	LOC	GPE-Great-Britain
ДПА	ДПА	ORG	ORG-DPA
Дъблин	Дъблин	LOC	GPE-Dublin
ЕК	ЕК	ORG	ORG-European-Commission
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Жан-Клод Юнкер	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
Ирландия	Ирландия	LOC	GPE-Ireland
Ковини	Ковини	PER	PER-Simon-Coveney
Лио Варадкар	Лио Варадкар	PER	PER-Leo-Varadkar
Лондон	Лондон	LOC	GPE-London
Мери Лу Макдоналд	Мери Лу Макдоналд	PER	PER-Mary-Lou-McDonald
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Ройтерс	Ройтерс	ORG	ORG-Reuters
Саймън Ковини	Саймън Ковини	PER	PER-Simon-Coveney
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Шин Фейн	Шин Фейн	ORG	ORG-Sinn-Fein
Юнкер	Юнкер	PER	PER-Jean-Claude-Juncker
