pl-1681
Daily Express	Daily Express	PRO	PRO-Daily-Express
Izba Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izbie Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izbie Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Izby Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Jakub Krupa	Jakub Krupa	PER	PER-Jakub-Krupa
Londynu	Londyn	LOC	GPE-London
PAP	PAP	ORG	ORG-PAP-Polish-Press-Agency
Partii Konserwatywnej	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Theresy May	Theresa May	PER	PER-Theresa-May
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Unią Europejską	Unia Europejska	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
brexicie	Brexit	EVT	EVT-Brexit
brexitu	Brexit	EVT	EVT-Brexit
