pl-26
 Brexitu	Brexit	EVT	EVT-Brexit
Brukseli	Bruksela	LOC	GPE-Brussles
Fransem Timmermansem	Frans Timmermans	PER	PER-Frans-Timmermans
Jean-Claude'em Junckerem	Jean-Claude Juncker	PER	PER-Jean-Claude-Juncker
Juncker	Juncker	PER	PER-Jean-Claude-Juncker
Junckerem	Juncker	PER	PER-Jean-Claude-Juncker
KE	KE	ORG	ORG-European-Commission
Komisji Europejskiej	Komisja Europejska	ORG	ORG-European-Commission
Konrad Szymański	Konrad Szymański	PER	PER-Konrad-Szymański
Mateusz Morawiecki	Mateusz Morawiecki	PER	PER-Mateusz-Morawiecki
Mateusza Morawieckiego	Mateusz Morawiecki	PER	PER-Mateusz-Morawiecki
Morawiecki	Morawiecki	PER	PER-Mateusz-Morawiecki
Polski	Polska	LOC	GPE-Poland
RadioMaryja.pl	RadioMaryja.pl	PRO	PRO-Radio-Maryja
UE	UE	ORG	ORG-European-Union
