pl-465
Brexitu	Brexit	EVT	EVT-Brexit
David Davis	David Davis	PER	PER-David-Davis
Izba Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izbie Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Izbę Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Jeremy Corbyn	Jeremy Corbyn	PER	PER-Jeremy-Corbyn
Partia Konserwatywna	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Partii Pracy	Partia Pracy	ORG	ORG-Labour-Party-UK
Reutera	Reutera	ORG	ORG-Reuters
Theresy May	Theresa May	PER	PER-Theresa-May
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Ustawa o Wyjściu z Unii Europejskiej	Ustawa o Wyjściu z Unii Europejskiej	PRO	PRO-Brexit-withdrawal-agreement
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnoty	Wspólnota	ORG	ORG-European-Union
ustawę o wyjściu z UE	ustawę o wyjściu z UE	PRO	PRO-Brexit-withdrawal-agreement
