pl-542
Brexit	Brexit	EVT	EVT-Brexit
Chin	Chiny	LOC	GPE-China
ETO	ETO	ORG	ORG-ECA-European-Court-of-Auditors
Europejski Trybunał Obrachunkowy	Europejski Trybunał Obrachunkowy	ORG	ORG-ECA-European-Court-of-Auditors
Hiszpanii	Hiszpania	LOC	GPE-Spain
Komisji Europejskiej	Komisja Europejska	ORG	ORG-European-Commission
Polsce	Polska	LOC	GPE-Poland
Rumunii	Rumunia	LOC	GPE-Romania
UE	UE	ORG	ORG-European-Union
Unii	Unia	ORG	ORG-European-Union
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Włoszech	Włochy	LOC	GPE-Italy
