docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-422,0,1,Срещата,,среща,Ncfsd,NOUN,O,
bg-422,0,2,между,,между,R,ADP,O,
bg-422,0,3,Макрон,Макрон,макрон,Hmsi,PROPN,B-PER,PER-Emmanuel-Macron
bg-422,0,4,и,,и,Cp,CCONJ,O,
bg-422,0,5,Мей,Мей,мей,Hfsi,PROPN,B-PER,PER-Theresa-May
bg-422,0,6,-,,-,punct,PUNCT,O,
bg-422,0,7,нови,,нов,A-pi,ADJ,O,
bg-422,0,8,споразумения,,споразумение,Ncnpi,NOUN,O,
bg-422,0,9,",",,",",punct,PUNCT,O,
bg-422,0,10,но,,но,Cc,CCONJ,O,
bg-422,0,11,не,,не,Tn,PART,O,
bg-422,0,12,и,,и,Cp,CCONJ,O,
bg-422,0,13,отстъпки,,отстъпка,Ncfpi,NOUN,O,
bg-422,0,14,за,,за,R,ADP,O,
bg-422,0,15,Брекзит,Брекзит,брекзит,Npfsi,PROPN,B-EVT,EVT-Brexit
bg-422,1,1,Френският,,френски,Amsf,ADJ,O,
bg-422,1,2,президент,,президент,Ncmsi,NOUN,O,
bg-422,1,3,Еманюел,Еманюел,еманюел,Npmsi,PROPN,B-PER,PER-Emmanuel-Macron
bg-422,1,4,Макрон,Макрон,макрон,Hmsi,PROPN,I-PER,PER-Emmanuel-Macron
bg-422,1,5,отхвърли,,отхвърля,Vpptf-o3s,VERB,O,
bg-422,1,6,идеята,,идея,Ncfsd,NOUN,O,
bg-422,1,7,за,,за,R,ADP,O,
bg-422,1,8,специални,,специален,A-pi,ADJ,O,
bg-422,1,9,условия,,условие,Ncnpi,NOUN,O,
bg-422,1,10,за,,за,R,ADP,O,
bg-422,1,11,лондонското,Лондонско,лондонски,Ansd,ADJ,B-LOC,LOC-City-of-London
bg-422,2,1,Сити,Сити,сити,Npmsi,PROPN,I-LOC,LOC-City-of-London
bg-422,2,2,в,,в,R,ADP,O,
bg-422,2,3,споразумението,,споразумение,Ncnsd,NOUN,O,
bg-422,2,4,за,,за,R,ADP,O,
bg-422,2,5,Брекзит,Брекзит,брекзит,Npfsi,PROPN,B-EVT,EVT-Brexit
bg-422,2,6,.,,.,punct,PUNCT,O,
bg-422,3,1,Твърдото,,твърд,Ansd,ADJ,O,
bg-422,3,2,му,,мой,Psot--3--m,PRON,O,
bg-422,3,3,послание,,послание,Ncnsi,NOUN,O,
bg-422,3,4,гласеше,,глася,Vpitf-m3s,VERB,O,
bg-422,3,5,",",,",",punct,PUNCT,O,
bg-422,3,6,че,,че,Cs,SCONJ,O,
bg-422,3,7,Великобритания,Великобритания,великобритания,Npfsi,PROPN,B-LOC,GPE-Great-Britain
bg-422,3,8,няма,,нямам,Vnitf-r3s,VERB,O,
bg-422,3,9,да,,да,Tx,AUX,O,
bg-422,3,10,получи,,получа,Vpptf-r3s,VERB,O,
bg-422,3,11,пълен,,пълен,Amsi,ADJ,O,
bg-422,3,12,достъп,,достъп,Ncmsi,NOUN,O,
bg-422,3,13,до,,до,R,ADP,O,
bg-422,3,14,европейските,,европейски,A-pd,ADJ,O,
bg-422,3,15,пазари,,пазар,Ncmpi,NOUN,O,
bg-422,3,16,",",,",",punct,PUNCT,O,
bg-422,3,17,включително,,включително,Dd,ADV,O,
bg-422,3,18,финансовите,,финансов,A-pd,ADJ,O,
bg-422,3,19,",",,",",punct,PUNCT,O,
bg-422,3,20,ако,,ако,Cs,SCONJ,O,
bg-422,3,21,не,,не,Tn,PART,O,
bg-422,3,22,прави,,правя-(се),Vpitf-r3s,VERB,O,
bg-422,3,23,вноски,,вноска,Ncfpi,NOUN,O,
bg-422,3,24,в,,в,R,ADP,O,
bg-422,3,25,бюджета,,бюджет,Ncmsh,NOUN,O,
bg-422,3,26,на,,на,R,ADP,O,
bg-422,3,27,ЕС,ЕС,ес,Npmsi,PROPN,B-ORG,ORG-European-Union
bg-422,3,28,и,,и,Cp,CCONJ,O,
bg-422,3,29,не,,не,Tn,PART,O,
bg-422,3,30,приеме,,приема,Vpptf-o3s,VERB,O,
bg-422,3,31,всичките,,всички,Mo-pd,ADJ,O,
bg-422,3,32,му,,мой,Psot--3--m,PRON,O,
bg-422,3,33,правила,,правило,Ncnpi,NOUN,O,
bg-422,3,34,",",,",",punct,PUNCT,O,
bg-422,3,35,пише,,пиша,Vpitf-r3s,VERB,O,
bg-422,3,36,британският,,британски,Amsf,ADJ,O,
bg-422,3,37,в.,,в.,Ncmsi,NOUN,O,
bg-422,3,38,"""",,"""",punct,PUNCT,O,
bg-422,3,39,Гардиън,Гардиън,гардиън,Npmsi,PROPN,B-PRO,PRO-The-Guardian
bg-422,3,40,"""",,"""",punct,PUNCT,O,
bg-422,3,41,",",,",",punct,PUNCT,O,
bg-422,3,42,цитирайки,,цитирайкя-(се),Vpptz--2s,VERB,O,
bg-422,3,43,изявление,,изявление,Ncnsi,NOUN,O,
bg-422,3,44,на,,на,R,ADP,O,
bg-422,3,45,президента,,президент,Ncmsh,NOUN,O,
bg-422,3,46,на,,на,R,ADP,O,
bg-422,3,47,съвместна,,съвместен,Afsi,ADJ,O,
bg-422,3,48,пресконференция,,пресконференция,Ncfsi,NOUN,O,
bg-422,3,49,с,,с,R,ADP,O,
bg-422,3,50,британския,,британски,Amsh,ADJ,O,
bg-422,3,51,премиер,,премиер,Ncmsi,NOUN,O,
bg-422,3,52,Тереза,Тереза,тереза,Npfsi,PROPN,B-PER,PER-Theresa-May
bg-422,3,53,Мей,Мей,мей,Hfsi,PROPN,I-PER,PER-Theresa-May
bg-422,3,54,.,,.,punct,PUNCT,O,
bg-422,4,1,Срещата,,среща,Ncfsd,NOUN,O,
bg-422,4,2,на,,на,R,ADP,O,
bg-422,4,3,високо,,висок,Ansi,ADJ,O,
bg-422,4,4,равнище,,равнище,Ncnsi,NOUN,O,
bg-422,4,5,се,,се,Ppxta,PRON,O,
bg-422,4,6,състоя,,състоя-се,Vpiif-r3s,VERB,O,
bg-422,4,7,",",,",",punct,PUNCT,O,
bg-422,4,8,за,,за,R,ADP,O,
bg-422,4,9,да,,да,Tx,AUX,O,
bg-422,4,10,подчертае,,подчертая,Vpptf-r3s,VERB,O,
bg-422,4,11,близките,,близък,A-pd,ADJ,O,
bg-422,4,12,връзки,,връзка,Ncfpi,NOUN,O,
bg-422,4,13,между,,между,R,ADP,O,
bg-422,4,14,Лондон,Лондон,лондон,Npmsi,PROPN,B-LOC,GPE-London
bg-422,4,15,и,,и,Cp,CCONJ,O,
bg-422,4,16,Париж,Париж,париж,Npmsi,PROPN,B-LOC,GPE-Paris
bg-422,4,17,",",,",",punct,PUNCT,O,
bg-422,4,18,след,,след,R,ADP,O,
bg-422,4,19,като,,като,R,ADP,O,
bg-422,4,20,по-рано,,рано,Dt,ADV,O,
bg-422,4,21,беше,,съм,Vxitf-t3s,AUX,O,
bg-422,4,22,обявено,,обявя-(се),Vpptcv--sni,VERB,O,
bg-422,4,23,",",,",",punct,PUNCT,O,
bg-422,4,24,че,,че,Cs,SCONJ,O,
bg-422,4,25,Великобритания,Великобритания,великобритания,Npfsi,PROPN,B-LOC,GPE-Great-Britain
bg-422,4,26,ще,,ще,Tx,AUX,O,
bg-422,4,27,инвестира,,инвестирам,Vpptf-r3s,VERB,O,
bg-422,4,28,45,,45,Mc-pi,NUM,O,
bg-422,4,29,милиона,,милион,Ncmt,NOUN,O,
bg-422,4,30,паунда,,паунда,Ncmt,NOUN,O,
bg-422,4,31,в,,в,R,ADP,O,
bg-422,4,32,подобряване,,подобряване,Ncnsi,NOUN,O,
bg-422,4,33,на,,на,R,ADP,O,
bg-422,4,34,сигурността,,сигурност,Ncfsd,NOUN,O,
bg-422,4,35,на,,на,R,ADP,O,
bg-422,4,36,границата,,граница,Ncfsd,NOUN,O,
bg-422,4,37,в,,в,R,ADP,O,
bg-422,4,38,Кале,Кале,кале,Npnsi,PROPN,B-LOC,GPE-Calais
bg-422,4,39,.,,.,punct,PUNCT,O,
bg-422,5,1,Финансовите,,финансов,A-pd,ADJ,O,
bg-422,5,2,услуги,,услуга,Ncfpi,NOUN,O,
bg-422,5,3,са,,съм,Vxitf-r3p,AUX,O,
bg-422,5,4,един,,един,Mcmsi,NUM,O,
bg-422,5,5,от,,от,R,ADP,O,
bg-422,5,6,секторите,,сектор,Ncmpd,NOUN,O,
bg-422,5,7,",",,",",punct,PUNCT,O,
bg-422,5,8,в,,в,R,ADP,O,
bg-422,5,9,които,,който,Pre-op,PRON,O,
bg-422,5,10,Франция,Франция,франция,Npfsi,PROPN,B-LOC,GPE-France
bg-422,5,11,се,,се,Ppxta,PRON,O,
bg-422,5,12,надява,,надявам-се,Vpiif-r3s,VERB,O,
bg-422,5,13,да,,да,Tx,AUX,O,
bg-422,5,14,спечели,,спечеля,Vpptf-r3s,VERB,O,
bg-422,5,15,по-голям,,голям,Amsi,ADJ,O,
bg-422,5,16,дял,,дял,Ncmsi,NOUN,O,
bg-422,5,17,на,,на,R,ADP,O,
bg-422,5,18,пазара,,пазар,Ncmsh,NOUN,O,
bg-422,5,19,на,,на,R,ADP,O,
bg-422,5,20,ЕС,ЕС,ес,Npmsi,PROPN,B-ORG,ORG-European-Union
bg-422,5,21,след,,след,R,ADP,O,
bg-422,5,22,Брекзит,Брекзит,брекзит,Npfsi,PROPN,B-EVT,EVT-Brexit
bg-422,5,23,.,,.,punct,PUNCT,O,
bg-422,6,1,Предприятията,,предприятие,Ncnpd,NOUN,O,
bg-422,6,2,от,,от,R,ADP,O,
bg-422,6,3,лондонското,Лондонско,лондонски,Ansd,ADJ,B-LOC,LOC-City-of-London
bg-422,6,4,Сити,Сити,сити,Npnsi,PROPN,I-LOC,LOC-City-of-London
bg-422,6,5,са,,съм,Vxitf-r3p,AUX,O,
bg-422,6,6,притеснени,,притесня-(се),Vpptcv--p-i,VERB,O,
bg-422,6,7,от,,от,R,ADP,O,
bg-422,6,8,новите,,нов,A-pd,ADJ,O,
bg-422,6,9,бариери,,бариера,Ncfpi,NOUN,O,
bg-422,6,10,пред,,пред,R,ADP,O,
bg-422,6,11,търговията,,търговия,Ncfsd,NOUN,O,
bg-422,6,12,",",,",",punct,PUNCT,O,
bg-422,6,13,включително,,включително,Dd,ADV,O,
bg-422,6,14,загубата,,загуба,Ncfsd,NOUN,O,
bg-422,6,15,на,,на,R,ADP,O,
bg-422,6,16,правата,,право,Ncnpd,NOUN,O,
bg-422,6,17,им,,техен,Pszt--3,PRON,O,
bg-422,6,18,да,,да,Tx,AUX,O,
bg-422,6,19,работят,,работя,Vpitf-r3p,VERB,O,
bg-422,6,20,в,,в,R,ADP,O,
bg-422,6,21,цяла,,цял,Afsi,ADJ,O,
