docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-770,0,1,Stínový,,stínový,AAMS1----1A----,ADJ,O,
cs-770,0,2,ministr,,ministr,NNMS1-----A----,NOUN,O,
cs-770,0,3,vyzval,,vyzvat,VpYS---XR-AA---,VERB,O,
cs-770,0,4,k,,k,RR--3----------,ADP,O,
cs-770,0,5,novému,,nový,AANS3----1A----,ADJ,O,
cs-770,0,6,referendum,,referendum,NNNS3-----A----,NOUN,O,
cs-770,0,7,o,,o,RR--6----------,ADP,O,
cs-770,0,8,brexitu,brexit,brexit,NNIS6-----A----,NOUN,B-EVT,EVT-Brexit
cs-770,0,9,a,,a,J^-------------,CCONJ,O,
cs-770,0,10,‚dostal,,tdostal,NNIS4-----A----,NOUN,O,
cs-770,0,11,padáka‘,,padákat,NNMS2-----A----,NOUN,O,
cs-770,1,1,LONDÝN,LONDÝN,Londýn,NNIS1-----A----,PROPN,B-LOC,GPE-London
cs-770,1,2,Reuters,Reuters,Reuters,NNIS1-----A----,PROPN,B-ORG,ORG-Reuters
cs-770,2,1,Vůdce,,vůdce,NNMS1-----A----,NOUN,O,
cs-770,2,2,britských,,britský,AAMP2----1A----,ADJ,O,
cs-770,2,3,opozičních,,opoziční,AAMP2----1A----,ADJ,O,
cs-770,2,4,labouristů,labouristé,labourista,NNMP2-----A----,NOUN,B-PER,ORG-Labour-Party-UK
cs-770,2,5,Jeremy,Jeremy,Jeremy,NNMS1-----A----,PROPN,B-PER,PER-Jeremy-Corbyn
cs-770,2,6,Corbyn,Corbyn,Corbyn,NNMS1-----A----,PROPN,I-PER,PER-Jeremy-Corbyn
cs-770,2,7,v,,v,RR--4----------,ADP,O,
cs-770,2,8,pátek,,pátek,NNIS4-----A----,NOUN,O,
cs-770,2,9,vyloučil,,vyloučit,VpYS---XR-AA---,VERB,O,
cs-770,2,10,ze,,z,RV--2----------,ADP,O,
cs-770,2,11,stínové,,stínový,AAFS2----1A----,ADJ,O,
cs-770,2,12,vlády,,vláda,NNFS2-----A----,NOUN,O,
cs-770,2,13,jejího,,jeho,PSZS2FS3-------,DET,O,
cs-770,2,14,člena,,člen,NNMS4-----A----,NOUN,O,
cs-770,2,15,",",,",",Z:-------------,PUNCT,O,
cs-770,2,16,který,,který,P4YS1----------,DET,O,
cs-770,2,17,vyzval,,vyzvat,VpYS---XR-AA---,VERB,O,
cs-770,2,18,k,,k,RR--3----------,ADP,O,
cs-770,2,19,novému,,nový,AANS3----1A----,ADJ,O,
cs-770,2,20,referendu,,referendum,NNNS3-----A----,NOUN,O,
cs-770,2,21,o,,o,RR--6----------,ADP,O,
cs-770,2,22,odchodu,,odchod,NNIS6-----A----,NOUN,O,
cs-770,2,23,země,,země,NNFS2-----A----,NOUN,O,
cs-770,2,24,z,,z,RR--2----------,ADP,O,
cs-770,2,25,Evropské,Evropská,evropský,AAFS2----1A----,ADJ,B-ORG,ORG-European-Union
cs-770,2,26,unie,unie,unie,NNFS2-----A----,NOUN,I-ORG,ORG-European-Union
cs-770,2,27,.,,.,Z:-------------,PUNCT,O,
cs-770,3,1,Jde,,jít,VB-S---3P-AA---,VERB,O,
cs-770,3,2,o,,o,RR--4----------,ADP,O,
cs-770,3,3,Owena,Owen,Owena,NNMS4-----A----,PROPN,B-PER,PER-Owen-Smith
cs-770,3,4,Smithe,Smith,Smith,NNMS4-----A----,PROPN,I-PER,PER-Owen-Smith
cs-770,3,5,",",,",",Z:-------------,PUNCT,O,
cs-770,3,6,který,,který,P4YS1----------,DET,O,
cs-770,3,7,měl,,mít,VpYS---XR-AA---,VERB,O,
cs-770,3,8,v,,v,RR--6----------,ADP,O,
cs-770,3,9,týmu,,tým,NNIS6-----A----,NOUN,O,
cs-770,3,10,představujícím,,představující,AGIS6-----A----,ADJ,O,
cs-770,3,11,možný,,možný,AAIS4----1A----,ADJ,O,
cs-770,3,12,vládní,,vládní,AAIS4----1A----,ADJ,O,
cs-770,3,13,kabinet,,kabinet,NNIS4-----A----,NOUN,O,
cs-770,3,14,hlavní,,hlavní,AAFS2----1A----,ADJ,O,
cs-770,3,15,opoziční,,opoziční,AAFS2----1A----,ADJ,O,
cs-770,3,16,strany,,strana,NNFS2-----A----,NOUN,O,
cs-770,3,17,na,,na,RR--4----------,ADP,O,
cs-770,3,18,starost,,starost,NNFS4-----A----,NOUN,O,
cs-770,3,19,problematiku,,problematika,NNFS4-----A----,NOUN,O,
cs-770,3,20,Severního,Severní,severní,AANS2----1A----,ADJ,B-LOC,GPE-Northern-Ireland
cs-770,3,21,Irska,Irsko,Irsko,NNNS2-----A----,PROPN,I-LOC,GPE-Northern-Ireland
cs-770,3,22,.,,.,Z:-------------,PUNCT,O,
cs-770,4,1,Smith,Smith,Smith,NNMS1-----A----,PROPN,B-PER,PER-Owen-Smith
cs-770,4,2,byl,,být,VpYS---XR-AA---,AUX,O,
cs-770,4,3,ale,,ale,J^-------------,CCONJ,O,
cs-770,4,4,také,,také,Db-------------,ADV,O,
cs-770,4,5,v,,v,RR--6----------,ADP,O,
cs-770,4,6,roce,,rok,NNIS6-----A---1,NOUN,O,
cs-770,4,7,2016,,2016,C=-------------,NUM,O,
cs-770,4,8,Corbynovým,Corbyn,Corbynův,AUMS7M---------,ADJ,B-PER,PER-Jeremy-Corbyn
cs-770,4,9,vyzyvatelem,,vyzyvatel,NNMS7-----A----,NOUN,O,
cs-770,4,10,v,,v,RR--6----------,ADP,O,
cs-770,4,11,boji,,boj,NNIS6-----A----,NOUN,O,
cs-770,4,12,o,,o,RR--4----------,ADP,O,
cs-770,4,13,vedení,,vedení,NNNS4-----A----,NOUN,O,
cs-770,4,14,strany,,strana,NNFS2-----A----,NOUN,O,
cs-770,4,15,",",,",",Z:-------------,PUNCT,O,
cs-770,4,16,v,,v,RR--6----------,ADP,O,
cs-770,4,17,němž,,jenž,P9ZS6----------,PRON,O,
cs-770,4,18,Corbyn,Corbyn,Corbyn,NNMS1-----A----,PROPN,B-PER,PER-Jeremy-Corbyn
cs-770,4,19,předtím,,předtím,Db-------------,ADV,O,
cs-770,4,20,stál,,stát,VpYS---XR-AA---,VERB,O,
cs-770,4,21,teprve,,teprve,Db-------------,ADV,O,
cs-770,4,22,rok,,rok,NNIS4-----A----,NOUN,O,
cs-770,4,23,.,,.,Z:-------------,PUNCT,O,
cs-770,5,1,Na,,na,RR--6----------,ADP,O,
cs-770,5,2,twitteru,twitter,twitter,NNIS6-----A----,NOUN,B-PRO,PRO-Twitter
cs-770,5,3,si,,se,P7-X3----------,PRON,O,
cs-770,5,4,Smith,Smith,Smith,NNMS1-----A----,PROPN,B-PER,PER-Owen-Smith
cs-770,5,5,postěžoval,,postěžovat,VpYS---XR-AA---,VERB,O,
cs-770,5,6,",",,",",Z:-------------,PUNCT,O,
