docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-41,0,1,Frexit,Frexit,Frexit,subst:sg:nom:m3,PROPN,B-EVT,EVT-Frexit
pl-41,0,2,byłby,,być by,praet:sg:m3:imperf part,AUX AUX,O,
pl-41,0,4,możliwy,,możliwy,adj:sg:nom:m3:pos,ADJ,O,
pl-41,0,5,.,,.,interp,PUNCT,O,
pl-41,1,1,Zaskakujące,,zaskakiwać,pact:pl:nom:n:imperf:aff,ADJ,O,
pl-41,1,2,słowa,,słowo,subst:pl:nom:n:ncol,NOUN,O,
pl-41,1,3,Macrona,Macron,Macron,subst:sg:gen:m1,PROPN,B-PER,PER-Emmanuel-Macron
pl-41,1,4,o,,o,prep:loc,ADP,O,
pl-41,1,5,wyjściu,,wyjść,ger:sg:loc:n:perf:aff,NOUN,O,
pl-41,1,6,Francji,Francja,Francja,subst:sg:gen:f,PROPN,B-LOC,GPE-France
pl-41,1,7,z,,z,prep:gen:nwok,ADP,O,
pl-41,1,8,UE,UE,UE,subst:sg:gen:f,PROPN,B-ORG,ORG-European-Union
pl-41,2,1,Do,,do,prep:gen,ADP,O,
pl-41,2,2,kompletu,,komplet,subst:sg:gen:m3,NOUN,O,
pl-41,2,3,brakuje,,brakować,fin:sg:ter:imperf,VERB,O,
pl-41,2,4,deklaracji,,deklaracja,subst:pl:gen:f,NOUN,O,
pl-41,2,5,politycznych,,polityczny,adj:pl:gen:f:pos,ADJ,O,
pl-41,2,6,o,,o,prep:loc,ADP,O,
pl-41,2,7,wystepowaniu,,wystepować,ger:sg:loc:n:imperf:aff,NOUN,O,
pl-41,2,8,z,,z,prep:gen:nwok,ADP,O,
pl-41,2,9,UE,UE,UE,subst:sg:gen:f,PROPN,B-ORG,ORG-European-Union
pl-41,2,10,Niemcow,Niemcy,Niemiec,subst:sg:gen:n,PROPN,B-PER,GPE-Germany
pl-41,2,11,.,,.,interp,PUNCT,O,
pl-41,2,12,.,,.,interp,PUNCT,O,
pl-41,2,13,.,,.,interp,PUNCT,O,
pl-41,2,14,Ale,,ale,conj,CCONJ,O,
pl-41,2,15,bardziej,,bardzo,adv:com,ADV,O,
pl-41,2,16,prawdopodobna,,prawdopodobny,adj:sg:nom:f:pos,ADJ,O,
pl-41,2,17,wydaje,,wydawać,fin:sg:ter:imperf,VERB,O,
pl-41,2,18,sie,,się,part,PRON,O,
pl-41,2,19,interpretacja,,interpretacja,subst:sg:nom:f,NOUN,O,
pl-41,2,20,",",,",",interp,PUNCT,O,
pl-41,2,21,ze,,z,prep:inst:wok,ADP,O,
pl-41,2,22,Macron,Macron,Macron,subst:sg:inst:n,PROPN,B-PER,PER-Emmanuel-Macron
pl-41,2,23,zdankiem,,zdanek,subst:sg:inst:n:ncol,NOUN,O,
pl-41,2,24,o,,o,prep:loc,ADP,O,
pl-41,2,25,wystepowaniu,,wystepować,ger:sg:loc:n:imperf:aff,NOUN,O,
pl-41,2,26,Francji,Francja,Francja,subst:sg:gen:f,PROPN,B-LOC,GPE-France
pl-41,2,27,z,,z,prep:gen:nwok,ADP,O,
