docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-1112,0,1,Стала,,стать,,VERB,O,
ru-1112,0,2,известна,,известный,,ADJ,O,
ru-1112,0,3,причина,,причина,,NOUN,O,
ru-1112,0,4,отставки,,отставка,,NOUN,O,
ru-1112,0,5,Бориса,Борис,Борис,,PROPN,B-PER,PER-Boris-Johnson
ru-1112,0,6,Джонсона,Джонсон,Джонсон,,PROPN,I-PER,PER-Boris-Johnson
ru-1112,0,7,с,,с,,ADP,O,
ru-1112,0,8,поста,,пост,,NOUN,O,
ru-1112,0,9,главы,,глава,,NOUN,O,
ru-1112,0,10,МИД,МИД,МИД,,PROPN,B-ORG,ORG-Foreign-Office
ru-1112,1,1,Об,,о,,ADP,O,
ru-1112,1,2,отставке,,отставка,,NOUN,O,
ru-1112,1,3,Джонсона,Джонсон,Джонсон,,PROPN,B-PER,PER-Boris-Johnson
ru-1112,1,4,стало,,стать,,VERB,O,
ru-1112,1,5,известно,,известный,,ADJ,O,
ru-1112,1,6,за,,за,,ADP,O,
ru-1112,1,7,полчаса,,полчас,,NOUN,O,
ru-1112,1,8,до,,до,,ADP,O,
ru-1112,1,9,обращения,,обращение,,NOUN,O,
ru-1112,1,10,премьера,,премьер,,NOUN,O,
ru-1112,1,11,Терезы,Тереза,Тереза,,PROPN,B-PER,PER-Theresa-May
ru-1112,1,12,Мэй,Мэй,Мэй,,PROPN,I-PER,PER-Theresa-May
ru-1112,1,13,к,,к,,ADP,O,
ru-1112,1,14,членам,,член,,NOUN,O,
ru-1112,1,15,парламента,,парламент,,NOUN,O,
ru-1112,1,16,о,,о,,ADP,O,
ru-1112,1,17,так,,так,,ADV,O,
ru-1112,1,18,называемом,,называть,,VERB,O,
ru-1112,1,19,мягком,,мягкий,,ADJ,O,
ru-1112,1,20,плане,,план,,NOUN,O,
ru-1112,1,21,выхода,,выход,,NOUN,O,
ru-1112,1,22,Британии,Британия,Британия,,PROPN,B-LOC,GPE-Great-Britain
ru-1112,1,23,из,,из,,ADP,O,
ru-1112,1,24,ЕС,ЕС,ЕС,,PROPN,B-ORG,ORG-European-Union
ru-1112,1,25,",",,",",,PUNCT,O,
ru-1112,1,26,которым,,который,,PRON,O,
ru-1112,1,27,многие,,много,,NUM,O,
ru-1112,1,28,остались,,остаться,,VERB,O,
ru-1112,1,29,недовольны,,недовольный,,ADJ,O,
ru-1112,1,30,",",,",",,PUNCT,O,
ru-1112,1,31,передает,,передавать,,VERB,O,
ru-1112,1,32,BBC,BBC,БИ-БИ-СИ,,PROPN,B-ORG,ORG-BBC-Ltd
ru-1112,1,33,.,,.,,PUNCT,O,
ru-1112,1,34,Правительство,Правительство,Правительство,,PROPN,B-ORG,ORG-the-UK-Government
ru-1112,1,35,Великобритании,Великобритании,Великобритания,,PROPN,I-ORG,ORG-the-UK-Government
