docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-102,0,1,Mayeva,May,Mayev,Aspfsn,ADJ,B-PER,PER-Theresa-May
sl-102,0,2,želi,,želeti,Vmpr3s,VERB,O,
sl-102,0,3,zagotoviti,,zagotoviti,Vmen,VERB,O,
sl-102,0,4,brexit,brexit,brexit,Ncmsan,NOUN,B-EVT,EVT-Brexit
sl-102,0,5,do,,do,Sg,ADP,O,
sl-102,0,6,22.,,22.,Mdo,NUM,O,
sl-102,0,7,maja,,maj,Ncmsg,NOUN,O,
sl-102,0,8,",",,",",Z,PUNCT,O,
sl-102,0,9,torej,,torej,Cc,CCONJ,O,
sl-102,0,10,do,,do,Sg,ADP,O,
sl-102,0,11,evropskih,,evropski,Agpfpg,ADJ,O,
sl-102,0,12,volitev,,volitev,Ncfpg,NOUN,O,
sl-102,1,1,Britanska,,britanski,Agpfsn,ADJ,O,
sl-102,1,2,premierka,,premierka,Ncfsn,NOUN,O,
sl-102,1,3,Theresa,Theresa,Theresa,Npfsn,PROPN,B-PER,PER-Theresa-May
sl-102,1,4,May,May,May,Npfsn,PROPN,I-PER,PER-Theresa-May
sl-102,1,5,je,,biti,Va-r3s-n,AUX,O,
sl-102,1,6,danes,,danes,Rgp,ADV,O,
sl-102,1,7,ob,,ob,Sl,ADP,O,
sl-102,1,8,prihodu,,prihod,Ncmsl,NOUN,O,
sl-102,1,9,na,,na,Sa,ADP,O,
sl-102,1,10,posebni,,poseben,Agpmsay,ADJ,O,
sl-102,1,11,vrh,,vrh,Ncmsan,NOUN,O,
sl-102,1,12,EU,EU,EU,Npfsg,PROPN,B-ORG,ORG-European-Union
sl-102,1,13,o,,o,Sl,ADP,O,
sl-102,1,14,brexitu,brexit,brexit,Ncmsl,NOUN,B-EVT,EVT-Brexit
sl-102,1,15,izpostavila,,izpostaviti,Vmep-sf,VERB,O,
sl-102,1,16,namero,,namera,Ncfsa,NOUN,O,
sl-102,1,17,",",,",",Z,PUNCT,O,
sl-102,1,18,da,,da,Cs,SCONJ,O,
sl-102,1,19,zagotovi,,zagotoviti,Vmer3s,VERB,O,
sl-102,1,20,izstop,,izstop,Ncmsan,NOUN,O,
sl-102,1,21,Združenega,Združeno,združen,Appnsg,ADJ,B-LOC,GPE-Great-Britain
sl-102,1,22,kraljestva,kraljestvo,kraljestvo,Ncnsg,NOUN,I-LOC,GPE-Great-Britain
sl-102,1,23,iz,,iz,Sg,ADP,O,
sl-102,1,24,unije,,unija,Ncfsg,NOUN,O,
sl-102,1,25,do,,do,Sg,ADP,O,
sl-102,1,26,22.,,22.,Mdo,NUM,O,
