docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ua-1026,0,1,Наступні,,наступний,Ao--pns,ADJ,O,
ua-1026,0,2,сім,,сей,Ncfpnn,NOUN,O,
ua-1026,0,3,днів,,день,Ncmpgn,NOUN,O,
ua-1026,0,4,будуть,,бути,Vapif3p,AUX,O,
ua-1026,0,5,критичними,,критичний,Afp-pif,ADJ,O,
ua-1026,0,6,для,,для,Spsg,ADP,O,
ua-1026,0,7,Великобританії,Великобританія,Великобританія,Npfsgn,PROPN,B-LOC,GPE-Great-Britain
ua-1026,0,8,-,,-,U,PUNCT,O,
ua-1026,0,9,Мей,Мей,Мей,Npfsny,PROPN,B-PER,PER-Theresa-May
ua-1026,1,1,Наступні,,наступний,Ao--pnsn,ADJ,O,
ua-1026,1,2,сім,,сей,Ncfpnn,NOUN,O,
ua-1026,1,3,днів,,день,Ncmpgn,NOUN,O,
ua-1026,1,4,в,,в,Spsl,ADP,O,
ua-1026,1,5,процесі,,процес,Ncmsln,NOUN,O,
ua-1026,1,6,виходу,,вихід,Ncmsgn,NOUN,O,
ua-1026,1,7,Великобританії,Великобританія,Великобританія,Npfsgn,PROPN,B-LOC,GPE-Great-Britain
ua-1026,1,8,з,,з,Spsg,ADP,O,
ua-1026,1,9,Євросоюзу,Євросоюз,Євросоюз,Npmsgn,PROPN,B-LOC,ORG-European-Union
ua-1026,1,10,матимуть,,мати,Vmpif3p,VERB,O,
ua-1026,1,11,вирішальне,,вирішальний,Ao-nsas,ADJ,O,
ua-1026,1,12,значення,,значення,Ncnsan,NOUN,O,
ua-1026,1,13,для,,для,Spsg,ADP,O,
ua-1026,1,14,майбутнього,,майбутній,Ao-msgf,ADJ,O,
ua-1026,1,15,країни,,країна,Ncfsgn,NOUN,O,
ua-1026,1,16,",",,",",U,PUNCT,O,
ua-1026,1,17,заявила,,заявити,Vmeis-sf,VERB,O,
ua-1026,1,18,прем'єр,,прем’єра,Ncmsnn,NOUN,O,
ua-1026,1,19,-,,-,U,PUNCT,O,
