docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
57,0,1,Systém,,systém,NNIS1-----A----,NOUN,O,
57,0,2,na,,na,RR--4----------,ADP,O,
57,0,3,očkování,,očkování,NNNS4-----A----,NOUN,O,
57,0,4,musí,,muset,VB-S---3P-AA---,VERB,O,
57,0,5,generovat,,generovat,Vf--------A----,VERB,O,
57,0,6,zájemce,,zájemce,NNMP4-----A----,NOUN,O,
57,0,7,podle,,podle,RR--2----------,ADP,O,
57,0,8,kritérií,,kritérium,NNNP2-----A----,NOUN,O,
57,0,9,",",,",",Z:-------------,PUNCT,O,
57,0,10,žádá,,žádat,VB-S---3P-AA---,VERB,O,
57,0,11,hejtman,,hejtman,NNMS1-----A----,NOUN,O,
57,0,12,Kuba,,Kuba,NNMS1-----A----,PROPN,O,
57,1,1,.,,.,Z:-------------,PUNCT,O,
57,1,2,4,,4,C=-------------,NUM,O,
57,1,3,.,,.,Z:-------------,PUNCT,O,
57,1,4,ledna,,leden,NNIS2-----A----,NOUN,O,
57,1,5,2021,,2021,C=-------------,NUM,O,
57,1,6,",",,",",Z:-------------,PUNCT,O,
57,1,7,14,,14,C=-------------,NUM,O,
57,1,8,:,,:,Z:-------------,PUNCT,O,
57,1,9,33,,33,C=-------------,NUM,O,
57,1,10,Autor,,autor,NNMS1-----A----,NOUN,O,
57,1,11,:,,:,Z:-------------,PUNCT,O,
57,1,12,Euro,,Euro,NNIS1-----A----,PROPN,O,
57,2,1,Zprávy,,zpráva,NNFP1-----A----,NOUN,O,
57,2,2,.,,.,Z:-------------,PUNCT,O,
57,3,1,cz,,cz,NNFXX-----A---8,PROPN,O,
57,3,2,/,,/,Z:-------------,PUNCT,O,
57,3,3,ČTK,,ČTK,NNFXX-----A---8,PROPN,O,
57,3,4,.,,.,Z:-------------,PUNCT,O,
57,4,1,Systém,,systém,NNIS1-----A----,NOUN,O,
57,4,2,evidence,,evidence,NNFS2-----A----,NOUN,O,
57,4,3,zájemců,,zájemce,NNMP2-----A----,NOUN,O,
57,4,4,o,,o,RR--4----------,ADP,O,
57,4,5,očkování,,očkování,NNNS4-----A----,NOUN,O,
57,4,6,proti,,proti,RR--3----------,ADP,O,
57,4,7,koronaviru,,koronavira,NNIS3-----A----,NOUN,O,
57,4,8,musí,,muset,VB-S---3P-AA---,VERB,O,
57,4,9,řadit,,řadit,Vf--------A----,VERB,O,
57,4,10,uchazeče,,uchazeč,NNMP4-----A----,NOUN,O,
57,4,11,podle,,podle,RR--2----------,ADP,O,
57,4,12,kritérií,,kritérium,NNNP2-----A----,NOUN,O,
57,4,13,jako,,jako,"J,-------------",SCONJ,O,
57,4,14,věk,,věk,NNIS1-----A----,NOUN,O,
57,4,15,nebo,,nebo,J^-------------,CCONJ,O,
57,4,16,zdravotní,,zdravotní,AAIS1----1A----,ADJ,O,
57,4,17,stav,,stav,NNIS1-----A----,NOUN,O,
57,4,18,a,,a,J^-------------,CCONJ,O,
57,4,19,jejich,,jeho,PSXXXXP3-------,DET,O,
57,4,20,diagnóza,,diagnóza,NNFS1-----A----,NOUN,O,
57,4,21,.,,.,Z:-------------,PUNCT,O,
57,5,1,Jde,,jít,VB-S---3P-AA---,VERB,O,
57,5,2,o,,o,RR--4----------,ADP,O,
57,5,3,podobný,,podobný,AAIS4----1A----,ADJ,O,
57,5,4,model,,model,NNIS4-----A----,NOUN,O,
