docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
file18908681,0,1,Vědci,,vědec,NNMP1-----A----,NOUN,O,
file18908681,0,2,vyvinuli,,vyvinout,VpMP---XR-AA---,VERB,O,
file18908681,0,3,vakcínu,,vakcína,NNFS4-----A----,NOUN,O,
file18908681,0,4,na,,na,RR--4----------,ADP,O,
file18908681,0,5,koronavirus,,koronavirus,NNIS4-----A----,NOUN,O,
file18908681,0,6,",",,",",Z:-------------,PUNCT,O,
file18908681,0,7,potřebují,,potřebovat,VB-P---3P-AA---,VERB,O,
file18908681,0,8,ale,,ale,J^-------------,CCONJ,O,
file18908681,0,9,přes,,přes,RR--4----------,ADP,O,
file18908681,0,10,rok,,rok,NNIS4-----A----,NOUN,O,
file18908681,0,11,na,,na,RR--4----------,ADP,O,
file18908681,0,12,testování,,testování,NNNS4-----A----,NOUN,O,
file18908681,1,1,Přes,,přes,RR--4----------,ADP,O,
file18908681,1,2,sto,,sto,NNNS4-----A----,NOUN,O,
file18908681,1,3,obětí,,oběť,NNFP2-----A----,NOUN,O,
file18908681,1,4,už,,už,Db-------------,ADV,O,
file18908681,1,5,si,,se,P7-X3----------,PRON,O,
file18908681,1,6,vyžádal,,vyžádat,VpYS---XR-AA---,VERB,O,
file18908681,1,7,čínský,,čínský,AAIS1----1A----,ADJ,O,
file18908681,1,8,koronavirus,,koronavirus,NNIS1-----A----,NOUN,O,
file18908681,1,9,",",,",",Z:-------------,PUNCT,O,
file18908681,1,10,který,,který,P4YS1----------,DET,O,
file18908681,1,11,se,,se,P7-X4----------,PRON,O,
file18908681,1,12,z,,z,RR--2----------,ADP,O,
file18908681,1,13,Wu,,Wu,AAXXX----1A----,ADJ,O,
file18908681,1,14,-,,-,Z:-------------,PUNCT,O,
file18908681,1,15,chanu,,chan,NNIS2-----A----,PROPN,O,
file18908681,1,16,šíří,,šířit,VB-S---3P-AA---,VERB,O,
file18908681,1,17,do,,do,RR--2----------,ADP,O,
file18908681,1,18,celého,,celý,AAIS2----1A----,ADJ,O,
file18908681,1,19,světa,,svět,NNIS2-----A----,NOUN,O,
file18908681,1,20,.,,.,Z:-------------,PUNCT,O,
file18908681,2,1,Hongkongští,,hongkongský,AAMP1----1A----,ADJ,O,
file18908681,2,2,vědci,,vědec,NNMP1-----A----,NOUN,O,
file18908681,2,3,už,,už,Db-------------,ADV,O,
file18908681,2,4,vyvinuli,,vyvinout,VpMP---XR-AA---,VERB,O,
file18908681,2,5,vakcínu,,vakcína,NNFS4-----A----,NOUN,O,
file18908681,2,6,",",,",",Z:-------------,PUNCT,O,
file18908681,2,7,která,,který,P4FS1----------,DET,O,
file18908681,2,8,je,,být,VB-S---3P-AA---,AUX,O,
file18908681,2,9,však,,však,J^-------------,CCONJ,O,
file18908681,2,10,prozatím,,prozatím,Db-------------,ADV,O,
file18908681,2,11,nepoužitelná,,použitelný,AAFS1----1N----,ADJ,O,
file18908681,2,12,.,,.,Z:-------------,PUNCT,O,
file18908681,3,1,Podle,,podle,RR--2----------,ADP,O,
file18908681,3,2,profesora,,profesor,NNMS2-----A----,NOUN,O,
file18908681,3,3,z,,z,RR--2----------,ADP,O,
file18908681,3,4,tamější,,tamější,AAFS2----1A----,ADJ,O,
file18908681,3,5,univerzity,,univerzita,NNFS2-----A----,NOUN,O,
file18908681,3,6,Yuena,,Yuen,NNMS1-----A----,PROPN,O,
file18908681,3,7,Kwok,,Kwok,NNMS1-----A----,PROPN,O,
file18908681,3,8,-,,-,Z:-------------,PUNCT,O,
file18908681,3,9,yunga,,yunga,NNMS1-----A----,PROPN,O,
file18908681,3,10,zabere,,zabrat,VB-S---3P-AA---,VERB,O,
file18908681,3,11,testování,,testování,NNNS4-----A----,NOUN,O,
file18908681,3,12,na,,na,RR--6----------,ADP,O,
file18908681,3,13,zvířatech,,zvíře,NNNP6-----A----,NOUN,O,
file18908681,3,14,měsíce,,měsíc,NNIS2-----A----,NOUN,O,
file18908681,3,15,",",,",",Z:-------------,PUNCT,O,
file18908681,3,16,potom,,potom,Db-------------,ADV,O,
file18908681,3,17,přinejmenším,,přinejmenším,Db-------------,ADV,O,
file18908681,3,18,rok,,rok,NNIS4-----A----,NOUN,O,
file18908681,3,19,na,,na,RR--6----------,ADP,O,
file18908681,3,20,lidech,,člověk,NNMP6-----A----,NOUN,O,
file18908681,3,21,.,,.,Z:-------------,PUNCT,O,
file18908681,4,1,28,,28,C=-------------,NUM,O,
file18908681,4,2,.,,.,Z:-------------,PUNCT,O,
file18908681,4,3,1,,1,C=-------------,NUM,O,
file18908681,4,4,.,,.,Z:-------------,PUNCT,O,
