docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
144,0,1,Kilkaset,,kilkaset,num:pl:nom:f:rec,DET,O,
144,0,2,osób,,osoba,subst:pl:gen:f,NOUN,O,
144,0,3,na,,na,prep:loc,ADP,O,
144,0,4,plaży,,plaża,subst:sg:loc:f,NOUN,O,
144,0,5,",",,",",interp,PUNCT,O,
144,0,6,na,,na,prep:loc,ADP,O,
144,0,7,której,,który,adj:sg:loc:f:pos,DET,O,
144,0,8,Nowy,,nowy,adj:sg:nom:m3:pos,ADJ,O,
144,0,9,Rok,,rok,subst:sg:nom:m3,NOUN,O,
144,0,10,zwykle,,zwykle,adv:pos,ADV,O,
144,0,11,witają,,witać,fin:pl:ter:imperf,VERB,O,
144,0,12,miliony,,milion,subst:pl:acc:m3,NOUN,O,
144,1,1,Brazylia,,Brazylia,subst:sg:nom:f,PROPN,O,
144,1,2,",",,",",interp,PUNCT,O,
144,1,3,jedno,,jeden,adj:sg:nom:n:pos,ADJ,O,
144,1,4,z,,z,prep:gen:nwok,ADP,O,
144,1,5,najbardziej,,bardzo,adv:sup,ADV,O,
144,1,6,dotkniętych,,dotknąć,ppas:pl:gen:f:perf:aff,ADJ,O,
144,1,7,pandemią,,pandemia,subst:sg:inst:f,NOUN,O,
144,1,8,COVID,,covid,num:pl:gen:n:congr,NUM,O,
144,1,9,-,,-,interp,PUNCT,O,
144,1,10,19,,19,num:pl:gen:n:rec:ncol,NUM,O,
144,1,11,państw,,państwo,subst:pl:gen:n:ncol,NOUN,O,
144,1,12,na,,na,prep:loc,ADP,O,
144,1,13,świecie,,świat,subst:sg:loc:m3,NOUN,O,
144,1,14,",",,",",interp,PUNCT,O,
144,1,15,powitała,,powitać,praet:sg:f:perf,VERB,O,
144,1,16,2021,,2021,num:pl:acc:m3:rec,NUM,O,
144,1,17,rok,,rok,subst:sg:acc:m3,NOUN,O,
144,1,18,skromniej,,skromno,adv:com,ADV,O,
144,1,19,niż,,niż,comp,SCONJ,O,
144,1,20,zwykle,,zwykle,adv:pos,ADV,O,
144,1,21,.,,.,interp,PUNCT,O,
144,2,1,W,,w,prep:loc:nwok,ADP,O,
144,2,2,wielu,,wiele,num:pl:loc:m3:congr,DET,O,
144,2,3,szpitalach,,szpital,subst:pl:loc:m3,NOUN,O,
144,2,4,o,,o,prep:loc,ADP,O,
144,2,5,północy,,północ,subst:sg:loc:f,NOUN,O,
144,2,6,minutą,,minuta,subst:sg:inst:f,NOUN,O,
144,2,7,ciszy,,cisza,subst:sg:gen:f,NOUN,O,
144,2,8,uczczono,,uczczyć,imps:perf,VERB,O,
144,2,9,pamięć,,pamięć,subst:sg:acc:f,NOUN,O,
144,2,10,blisko,,blisko,adv:pos,ADV,O,
144,2,11,200,,200,num:pl:acc:m3:rec,NUM,O,
144,2,12,tysięcy,,tysiąc,subst:pl:gen:m3,NOUN,O,
144,2,13,ludzi,,człowiek,subst:pl:gen:m1,NOUN,O,
144,2,14,",",,",",interp,PUNCT,O,
144,2,15,którzy,,który,adj:pl:nom:m1:pos,DET,O,
144,2,16,przegrali,,przegrać,praet:pl:m1:perf,VERB,O,
144,2,17,walkę,,walka,subst:sg:acc:f,NOUN,O,
144,2,18,z,,z,prep:inst:nwok,ADP,O,
144,2,19,koronawirusem,,koronawirus,subst:sg:inst:m3,NOUN,O,
144,2,20,.,,.,interp,PUNCT,O,
144,3,1,W,,w,prep:loc:nwok,ADP,O,
144,3,2,Brazylii,,Brazylia,subst:sg:loc:f,PROPN,O,
144,3,3,obowiązywał,,obowiązywać,praet:sg:m3:imperf,VERB,O,
144,3,4,zakaz,,zakaz,subst:sg:nom:m3,NOUN,O,
144,3,5,organizowania,,organizować,ger:sg:gen:n:imperf:aff,NOUN,O,
144,3,6,masowych,,masowy,adj:pl:gen:f:pos,ADJ,O,
144,3,7,imprez,,impreza,subst:pl:gen:f,NOUN,O,
144,3,8,sylwestrowych,,sylwestrowy,adj:pl:gen:f:pos,ADJ,O,
144,3,9,",",,",",interp,PUNCT,O,
144,3,10,dlatego,,dlatego,adv,ADV,O,
144,3,11,Brazylijczycy,,Brazylijczyk,subst:pl:nom:m1,PROPN,O,
144,3,12,odpalali,,odpalać,praet:pl:m1:imperf,VERB,O,
144,3,13,fajerwerki,,fajerwerk,subst:pl:acc:m3,NOUN,O,
144,3,14,głównie,,głównie,adv:pos,ADV,O,
144,3,15,na,,na,prep:loc,ADP,O,
144,3,16,ulicach,,ulica,subst:pl:loc:f,NOUN,O,
144,3,17,i,,i,conj,CCONJ,O,
144,3,18,osiedlach,,osiedle,subst:pl:loc:n:ncol,NOUN,O,
144,3,19,w,,w,prep:loc:nwok,ADP,O,
144,3,20,pobliżu,,pobliże,subst:sg:loc:n:ncol,NOUN,O,
144,3,21,miejsca,,miejsce,subst:sg:gen:n:ncol,NOUN,O,
144,3,22,zamieszkania,,zamieszkanie,subst:sg:gen:n:ncol,NOUN,O,
144,3,23,.,,.,interp,PUNCT,O,
144,4,1,Kilkaset,,kilkaset,num:pl:nom:f:rec,DET,O,
144,4,2,osób,,osoba,subst:pl:gen:f,NOUN,O,
144,4,3,w,,w,prep:loc:nwok,ADP,O,
144,4,4,maseczkach,,maseczka,subst:pl:loc:f,NOUN,O,
144,4,5,pojawiło,,pojawić,praet:sg:n:perf,VERB,O,
144,4,6,się,,się,part,PRON,O,
144,4,7,na,,na,prep:acc,ADP,O,
