docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-78,0,1,Вакцинация,,вакцинация,,NOUN,O,
ru-78,0,2,от,,от,,ADP,O,
ru-78,0,3,коронавируса,,коронавирус,,NOUN,O,
ru-78,0,4,в,,в,,ADP,O,
ru-78,0,5,Мурманске,,Мурманск,,PROPN,O,
ru-78,0,6,:,,:,,PUNCT,O,
ru-78,1,1,Как,,как,,ADV,O,
ru-78,1,2,и,,и,,PART,O,
ru-78,1,3,где,,где,,ADV,O,
ru-78,1,4,записаться,,записаться,,VERB,O,
ru-78,1,5,на,,на,,ADP,O,
ru-78,1,6,прививку,,прививка,,NOUN,O,
ru-78,2,1,Специалисты,,специалист,,NOUN,O,
ru-78,2,2,рассказали,,рассказать,,VERB,O,
ru-78,2,3,",",,",",,PUNCT,O,
ru-78,2,4,как,,как,,ADV,O,
ru-78,2,5,и,,и,,PART,O,
ru-78,2,6,где,,где,,ADV,O,
ru-78,2,7,записаться,,записаться,,VERB,O,
ru-78,2,8,на,,на,,ADP,O,
ru-78,2,9,вакцинацию,,вакцинация,,NOUN,O,
ru-78,2,10,от,,от,,ADP,O,
ru-78,2,11,коронавируса,,коронавирус,,NOUN,O,
ru-78,2,12,в,,в,,ADP,O,
ru-78,2,13,Мурманской,,Мурманский,,PROPN,O,
ru-78,2,14,области,,область,,NOUN,O,
ru-78,3,1,Выбираешь,,выбирать,,VERB,O,
ru-78,3,2,удобную,,удобный,,ADJ,O,
ru-78,3,3,дату,,дата,,NOUN,O,
ru-78,3,4,и,,и,,CCONJ,O,
ru-78,3,5,время,,время,,NOUN,O,
ru-78,3,6,и,,и,,CCONJ,O,
ru-78,3,7,вперед,,вперед,,ADV,O,
ru-78,3,8,-,,-,,PUNCT,O,
ru-78,3,9,вакцинироваться,,вакцинироваться,,VERB,O,
ru-78,3,10,!,,!,,PUNCT,O,
ru-78,4,1,Фото,,фото,,NOUN,O,
ru-78,4,2,:,,:,,PUNCT,O,
ru-78,4,3,Мария,,Мария,,PROPN,O,
ru-78,4,4,ЛЕНЦ,,ЛЕНЦ,,PROPN,O,
ru-78,5,1,Коронавирус,,коронавирус,,NOUN,O,
ru-78,5,2,в,,в,,ADP,O,
ru-78,5,3,Мурманской,,Мурманский,,PROPN,O,
ru-78,5,4,области,,область,,NOUN,O,
ru-78,5,5,хоть,,хоть,,ADV,O,
ru-78,5,6,и,,и,,PART,O,
ru-78,5,7,пошел,,пойти,,VERB,O,
ru-78,5,8,на,,на,,ADP,O,
ru-78,5,9,спад,,спад,,NOUN,O,
ru-78,5,10,",",,",",,PUNCT,O,
ru-78,5,11,но,,но,,CCONJ,O,
ru-78,5,12,все,,все,,PART,O,
ru-78,5,13,еще,,еще,,ADV,O,
ru-78,5,14,силен,,сильный,,ADJ,O,
ru-78,5,15,.,,.,,PUNCT,O,
ru-78,6,1,А,,а,,CCONJ,O,
ru-78,6,2,лучшее,,лучший,,ADJ,O,
ru-78,6,3,противостояние,,противостояние,,NOUN,O,
ru-78,6,4,опасной,,опасный,,ADJ,O,
ru-78,6,5,инфекции,,инфекция,,NOUN,O,
ru-78,6,6,–,,–,,PUNCT,O,
ru-78,6,7,это,,это,,PRON,O,
ru-78,6,8,прививка,,прививка,,NOUN,O,
ru-78,6,9,.,,.,,PUNCT,O,
ru-78,7,1,С,,с,,ADP,O,
ru-78,7,2,18,,18,,NUM,O,
ru-78,7,3,января,,январь,,NOUN,O,
ru-78,7,4,в,,в,,ADP,O,
ru-78,7,5,регионе,,регион,,NOUN,O,
ru-78,7,6,идет,,идти,,VERB,O,
ru-78,7,7,вакцинация,,вакцинация,,NOUN,O,
ru-78,7,8,от,,от,,ADP,O,
ru-78,7,9,COVID,,COVID,,PROPN,O,
ru-78,7,10,-,,-,,PUNCT,O,
ru-78,7,11,19,,19,,NUM,O,
ru-78,7,12,препаратом,,препарат,,NOUN,O,
ru-78,7,13,«,,«,,PUNCT,O,
ru-78,7,14,Спутник,,Спутник,,PROPN,O,
ru-78,7,15,V,,V,,PROPN,O,
ru-78,7,16,»,,»,,PUNCT,O,
ru-78,7,17,.,,.,,PUNCT,O,
