docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-204,0,1,(,,(,Z,PUNCT,O,
sl-204,0,2,COVID-19,,covid-19,Mdc,NUM,O,
sl-204,0,3,IN,,in,Cc,CCONJ,O,
sl-204,0,4,GOSPODARSTVO,,gospodarstvo,Ncnsn,NOUN,O,
sl-204,0,5,),,),Z,PUNCT,O,
sl-204,0,6,Ko,,ko,Cs,SCONJ,O,
sl-204,0,7,ne,,ne,Q,PART,O,
sl-204,0,8,zadostuje,,zadostovati,Vmpr3s,VERB,O,
sl-204,0,9,več,,več,Q,PART,O,
sl-204,0,10,",",,",",Z,PUNCT,O,
sl-204,0,11,da,,da,Cs,SCONJ,O,
sl-204,0,12,"""",,"""",Z,PUNCT,O,
sl-204,0,13,storiš,,storiti,Vmer2s,VERB,O,
sl-204,0,14,vse,,ves,Pg-nsa,DET,O,
sl-204,0,15,",",,",",Z,PUNCT,O,
sl-204,0,16,kar,,kar,Pr-nsa,PRON,O,
sl-204,0,17,je,,biti,Va-r3s-n,VERB,O,
sl-204,0,18,treba,,treba,Rgp,ADV,O,
sl-204,0,19,"""",,"""",Z,PUNCT,O,
sl-204,1,1,Willem,,Willem,Npmsn,PROPN,O,
sl-204,1,2,H.,,H.,Y,X,O,
sl-204,1,3,Buiter,,Buiter,Npmsn,PROPN,O,
sl-204,1,4,",",,",",Z,PUNCT,O,
sl-204,1,5,gostujoči,,gostujoč,Appmsny,ADJ,O,
sl-204,1,6,profesor,,profesor,Ncmsn,NOUN,O,
sl-204,1,7,na,,na,Sl,ADP,O,
sl-204,1,8,Univerzi,,univerza,Ncfsl,NOUN,O,
sl-204,1,9,Columbia,,Columbia,Npmsn,PROPN,O,
sl-204,1,10,in,,in,Cc,CCONJ,O,
sl-204,1,11,nekdanji,,nekdanji,Agpmsny,ADJ,O,
sl-204,1,12,glavni,,glaven,Agpmsny,ADJ,O,
sl-204,1,13,ekonomist,,ekonomist,Ncmsn,NOUN,O,
sl-204,1,14,pri,,pri,Sl,ADP,O,
sl-204,1,15,banki,,banka,Ncfsl,NOUN,O,
sl-204,1,16,Citigroup,,Citigroup,Npmsn,PROPN,O,
sl-204,2,1,Pri,,pri,Sl,ADP,O,
sl-204,2,2,interpretiranju,,interpretiranje,Ncnsl,NOUN,O,
sl-204,2,3,novih,,nov,Agpmpg,ADJ,O,
sl-204,2,4,ukrepov,,ukrep,Ncmpg,NOUN,O,
sl-204,2,5,za,,za,Sa,ADP,O,
sl-204,2,6,omilitev,,omilitev,Ncfsa,NOUN,O,
sl-204,2,7,negativnih,,negativen,Agpfpg,ADJ,O,
sl-204,2,8,posledic,,posledica,Ncfpg,NOUN,O,
sl-204,2,9,pandemije,,pandemija,Ncfsg,NOUN,O,
sl-204,2,10,Covid-19,,covid-19,Mdc,NUM,O,
sl-204,2,11,",",,",",Z,PUNCT,O,
sl-204,2,12,ki,,ki,Cs,SCONJ,O,
sl-204,2,13,jih,,on,Pp3mpa--y,PRON,O,
sl-204,2,14,je,,biti,Va-r3s-n,AUX,O,
sl-204,2,15,minuli,,minul,Appmsay,ADJ,O,
sl-204,2,16,konec,,konec,Ncmsan,NOUN,O,
sl-204,2,17,tedna,,teden,Ncmsg,NOUN,O,
sl-204,2,18,razglasila,,razglasiti,Vmep-sf,VERB,O,
sl-204,2,19,ameriška,,ameriški,Agpfsn,ADJ,O,
sl-204,2,20,centralna,,centralen,Agpfsn,ADJ,O,
sl-204,2,21,banka,,banka,Ncfsn,NOUN,O,
sl-204,2,22,(,,(,Z,PUNCT,O,
sl-204,2,23,Zvezne,,zvezen,Agpfpn,ADJ,O,
sl-204,2,24,rezerve,,rezerva,Ncfpn,NOUN,O,
sl-204,2,25,",",,",",Z,PUNCT,O,
sl-204,2,26,Fed,,Fed,Npmsn,PROPN,O,
sl-204,2,27,),,),Z,PUNCT,O,
sl-204,2,28,",",,",",Z,PUNCT,O,
sl-204,2,29,je,,biti,Va-r3s-n,AUX,O,
sl-204,2,30,pomembno,,pomemben,Agpnsn,ADJ,O,
sl-204,2,31,",",,",",Z,PUNCT,O,
sl-204,2,32,da,,da,Cs,SCONJ,O,
sl-204,2,33,pobud,,pobuda,Ncfpg,NOUN,O,
sl-204,2,34,ne,,ne,Q,PART,O,
sl-204,2,35,zamešamo,,zamešati,Vmer1p,VERB,O,
sl-204,2,36,z,,z,Si,ADP,O,
sl-204,2,37,ukrepanjem,,ukrepanje,Ncnsi,NOUN,O,
sl-204,2,38,.,,.,Z,PUNCT,O,
sl-204,3,1,Najnovejša,,nov,Agsfsn,ADJ,O,
sl-204,3,2,odločitev,,odločitev,Ncfsn,NOUN,O,
sl-204,3,3,Fed,,Fed,Npmsn,PROPN,O,
sl-204,3,4,za,,za,Sa,ADP,O,
sl-204,3,5,zrahljanje,,zrahljanje,Ncnsa,NOUN,O,
sl-204,3,6,denarje,,denar,Ncmpa,NOUN,O,
sl-204,3,7,politike,,politika,Ncfsg,NOUN,O,
sl-204,3,8,je,,biti,Va-r3s-n,VERB,O,
sl-204,3,9,nedvomno,,nedvomno,Rgp,ADV,O,
sl-204,3,10,brez,,brez,Sg,ADP,O,
sl-204,3,11,primere,,primera,Ncfsg,NOUN,O,
sl-204,3,12,že,,že,Q,PART,O,
sl-204,3,13,zato,,zato,Rgp,ADV,O,
sl-204,3,14,",",,",",Z,PUNCT,O,
sl-204,3,15,ker,,ker,Cs,SCONJ,O,
sl-204,3,16,je,,biti,Va-r3s-n,AUX,O,
sl-204,3,17,bila,,biti,Va-p-sf,AUX,O,
sl-204,3,18,objavljena,,objavljen,Appfsn,ADJ,O,
sl-204,3,19,v,,v,Sa,ADP,O,
sl-204,3,20,nedeljo,,nedelja,Ncfsa,NOUN,O,
sl-204,3,21,popoldne,,popoldne,Rgp,ADV,O,
sl-204,3,22,.,,.,Z,PUNCT,O,
sl-204,4,1,Fed,,Fed,Npmsn,PROPN,O,
sl-204,4,2,je,,biti,Va-r3s-n,AUX,O,
sl-204,4,3,znižal,,znižati,Vmep-sm,VERB,O,
sl-204,4,4,svojo,,svoj,Px-fsa,DET,O,
sl-204,4,5,obrestno,,obresten,Agpfsa,ADJ,O,
sl-204,4,6,mero,,mera,Ncfsa,NOUN,O,
sl-204,4,7,za,,za,Sa,ADP,O,
sl-204,4,8,sto,,sto,Mlc-pa,NUM,O,
sl-204,4,9,baznih,,bazen,Agpfpg,ADJ,O,
sl-204,4,10,točk,,točka,Ncfpg,NOUN,O,
sl-204,4,11,(,,(,Z,PUNCT,O,
sl-204,4,12,v,,v,Sl,ADP,O,
sl-204,4,13,razponu,,razpon,Ncmsl,NOUN,O,
sl-204,4,14,0,,0,Mdc,NUM,O,
sl-204,4,15,–,,–,Z,PUNCT,O,
sl-204,4,16,"0,25",,"0,25",Mdc,NUM,O,
sl-204,4,17,odstotkov,,odstotek,Ncmpg,NOUN,O,
sl-204,4,18,),,),Z,PUNCT,O,
sl-204,4,19,",",,",",Z,PUNCT,O,
sl-204,4,20,kar,,kar,Pr-nsn,PRON,O,
sl-204,4,21,bo,,biti,Va-f3s-n,AUX,O,
sl-204,4,22,verjetno,,verjetno,Rgp,ADV,O,
sl-204,4,23,prineslo,,prinesti,Vmep-sn,VERB,O,
sl-204,4,24,smiselno,,smiseln,Agpnsa,ADJ,O,
sl-204,4,25,znižanje,,znižanje,Ncnsa,NOUN,O,
sl-204,4,26,marginalnih,,marginalen,Agpmpg,ADJ,O,
sl-204,4,27,stroškov,,strošek,Ncmpg,NOUN,O,
sl-204,4,28,bančnih,,bančen,Agpnpg,ADJ,O,
sl-204,4,29,posojil,,posojilo,Ncnpg,NOUN,O,
sl-204,4,30,podjetij,,podjetje,Ncnpg,NOUN,O,
sl-204,4,31,in,,in,Cc,CCONJ,O,
sl-204,4,32,gospodinjstev,,gospodinjstvo,Ncnpg,NOUN,O,
sl-204,4,33,.,,.,Z,PUNCT,O,
sl-204,5,1,Fed,,Fed,Npmsn,PROPN,O,
sl-204,5,2,je,,biti,Va-r3s-n,AUX,O,
sl-204,5,3,hkrati,,hkrati,Rgp,ADV,O,
sl-204,5,4,reaktiviral,,reaktivirati,Vmbp-sm,VERB,O,
sl-204,5,5,kvantitativno,,kvantitativen,Agpnsa,ADJ,O,
sl-204,5,6,sproščanje,,sproščanje,Ncnsa,NOUN,O,
sl-204,5,7,.,,.,Z,PUNCT,O,
sl-204,6,1,V,,v,Sl,ADP,O,
sl-204,6,2,prihodnjih,,prihodnji,Agpmpl,ADJ,O,
sl-204,6,3,mesecih,,mesec,Ncmpl,NOUN,O,
sl-204,6,4,bo,,biti,Va-f3s-n,AUX,O,
sl-204,6,5,za,,za,Sa,ADP,O,
sl-204,6,6,odkup,,odkup,Ncmsan,NOUN,O,
sl-204,6,7,državnih,,državen,Agpfpg,ADJ,O,
sl-204,6,8,obveznic,,obveznica,Ncfpg,NOUN,O,
sl-204,6,9,namenil,,nameniti,Vmep-sm,VERB,O,
sl-204,6,10,dodatnih,,dodaten,Agpfpg,ADJ,O,
sl-204,6,11,500,,500,Mdc,NUM,O,
sl-204,6,12,milijard,,milijarda,Ncfpg,NOUN,O,
sl-204,6,13,dolarjev,,dolar,Ncmpg,NOUN,O,
sl-204,6,14,",",,",",Z,PUNCT,O,
sl-204,6,15,za,,za,Sa,ADP,O,
sl-204,6,16,odkup,,odkup,Ncmsan,NOUN,O,
sl-204,6,17,hipotekarnih,,hipotekaren,Agpmpg,ADJ,O,
sl-204,6,18,vrednostnih,,vrednosten,Agpmpg,ADJ,O,
sl-204,6,19,papirjev,,papir,Ncmpg,NOUN,O,
sl-204,6,20,",",,",",Z,PUNCT,O,
sl-204,6,21,ki,,ki,Cs,SCONJ,O,
sl-204,6,22,so,,biti,Va-r3p-n,AUX,O,
sl-204,6,23,jih,,on,Pp3mpa--y,PRON,O,
sl-204,6,24,izdale,,izdati,Vmep-pf,VERB,O,
sl-204,6,25,tri,,trije,Mlcfpn,NUM,O,
sl-204,6,26,kvazivladne,,kvazivladen,Agpfpn,ADJ,O,
sl-204,6,27,agencije,,agencija,Ncfpn,NOUN,O,
sl-204,6,28,",",,",",Z,PUNCT,O,
sl-204,6,29,znane,,znan,Appfpn,ADJ,O,
sl-204,6,30,pod,,pod,Si,ADP,O,
sl-204,6,31,imeni,,ime,Ncnpi,NOUN,O,
sl-204,6,32,Ginnie,,Ginnie,Npfsn,PROPN,O,
sl-204,6,33,Mae,,Mae,Npfsn,PROPN,O,
sl-204,6,34,",",,",",Z,PUNCT,O,
sl-204,6,35,Fannie,,Fannie,Npfsn,PROPN,O,
sl-204,6,36,Mae,,Mae,Npfsn,PROPN,O,
sl-204,6,37,in,,in,Cc,CCONJ,O,
sl-204,6,38,Freddie,,Freddie,Npmsn,PROPN,O,
sl-204,6,39,Mac,,Mac,Npmsn,PROPN,O,
sl-204,6,40,",",,",",Z,PUNCT,O,
sl-204,6,41,pa,,pa,Cc,CCONJ,O,
sl-204,6,42,najmanj,,najmanj,Rgs,ADV,O,
sl-204,6,43,200,,200,Mdc,NUM,O,
sl-204,6,44,milijard,,milijarda,Ncfpg,NOUN,O,
sl-204,6,45,dolarjev,,dolar,Ncmpg,NOUN,O,
sl-204,6,46,.,,.,Z,PUNCT,O,
sl-204,7,1,Poleg,,poleg,Sg,ADP,O,
sl-204,7,2,tega,,ta,Pd-nsg,DET,O,
sl-204,7,3,bo,,biti,Va-f3s-n,AUX,O,
sl-204,7,4,reinvestiral,,reinvestirati,Vmbp-sm,VERB,O,
sl-204,7,5,vse,,ves,Pg-nsa,DET,O,
sl-204,7,6,v,,v,Sa,ADP,O,
sl-204,7,7,plačilo,,plačilo,Ncnsa,NOUN,O,
sl-204,7,8,dospele,,dospel,Appfsg,ADJ,O,
sl-204,7,9,glavnice,,glavnica,Ncfsg,NOUN,O,
sl-204,7,10,hipotekarnih,,hipotekaren,Agpmpg,ADJ,O,
sl-204,7,11,vrednostnih,,vrednosten,Agpmpg,ADJ,O,
sl-204,7,12,papirjev,,papir,Ncmpg,NOUN,O,
sl-204,7,13,teh,,ta,Pd-fpg,DET,O,
sl-204,7,14,agencij,,agencija,Ncfpg,NOUN,O,
sl-204,7,15,.,,.,Z,PUNCT,O,
sl-204,8,1,Ob,,ob,Sl,ADP,O,
sl-204,8,2,vseh,,ves,Pg-mpl,DET,O,
sl-204,8,3,teh,,ta,Pd-mpl,DET,O,
sl-204,8,4,ukrepih,,ukrep,Ncmpl,NOUN,O,
sl-204,8,5,je,,biti,Va-r3s-n,AUX,O,
sl-204,8,6,Fed,,Fed,Npmsn,PROPN,O,
sl-204,8,7,nedavno,,nedavno,Rgp,ADV,O,
sl-204,8,8,razširil,,razširiti,Vmep-sm,VERB,O,
sl-204,8,9,obseg,,obseg,Ncmsan,NOUN,O,
sl-204,8,10,svojih,,svoj,Px-mpg,DET,O,
sl-204,8,11,"""",,"""",Z,PUNCT,O,
sl-204,8,12,čez,,čez,Sa,ADP,O,
sl-204,8,13,noč,,noč,Ncfsa,NOUN,O,
sl-204,8,14,"""",,"""",Z,PUNCT,O,
sl-204,8,15,transakcij,,transakcija,Ncfpg,NOUN,O,
sl-204,8,16,ponovnega,,ponoven,Agpmsg,ADJ,O,
