docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
uk-10233,0,1,Moderna,,Moderna,X,X,O,
uk-10233,0,2,починає,,починати,Vmpip3s,VERB,O,
uk-10233,0,3,випробування,,випробування,Ncnsnn,NOUN,O,
uk-10233,0,4,вакцини,,вакцина,Ncfsgn,NOUN,O,
uk-10233,0,5,від,,від,Spsg,ADP,O,
uk-10233,0,6,COVID,,COVID,X,X,O,
uk-10233,0,7,-,,-,U,PUNCT,O,
uk-10233,0,8,19,,19,Mlc-n,NUM,O,
uk-10233,0,9,на,,на,Spsl,ADP,O,
uk-10233,0,10,підлітках,,підлітка,Ncfpln,NOUN,O,
uk-10233,1,1,Учасникам,,учасник,Ncmpdy,NOUN,O,
uk-10233,1,2,буде,,бути,Vapif3s,AUX,O,
uk-10233,1,3,зроблено,,зробити,Vmeo,VERB,O,
uk-10233,1,4,два,,два,Mlcnsa,NUM,O,
uk-10233,1,5,щеплення,,щеплення,Ncnpan,NOUN,O,
uk-10233,1,6,з,,з,Spsi,ADP,O,
uk-10233,1,7,інтервалом,,інтервал,Ncmsin,NOUN,O,
uk-10233,1,8,у,,у,Spsa,ADP,O,
uk-10233,1,9,28,,28,Mlc-a,NUM,O,
uk-10233,1,10,днів,,день,Ncmpgn,NOUN,O,
uk-10233,1,11,.,,.,U,PUNCT,O,
uk-10233,2,1,Американська,,американський,Ao-fsns,ADJ,O,
uk-10233,2,2,компанія,,компанія,Ncfsnn,NOUN,O,
uk-10233,2,3,Moderna,,Moderna,X,X,O,
uk-10233,2,4,Inc,,Inc,X,X,O,
uk-10233,2,5,.,,.,U,PUNCT,O,
uk-10233,2,6,заявила,,заявити,Vmeis-sf,VERB,O,
uk-10233,2,7,у,,у,Spsa,ADP,O,
uk-10233,2,8,четвер,,четвер,Ncmsan,NOUN,O,
uk-10233,2,9,",",,",",U,PUNCT,O,
uk-10233,2,10,10,,10,Mlonsg,ADJ,O,
uk-10233,2,11,грудня,,грудень,Ncmsgn,NOUN,O,
uk-10233,2,12,",",,",",U,PUNCT,O,
uk-10233,2,13,що,,що,Css,SCONJ,O,
uk-10233,2,14,перші,,перший,Mlo-pn,ADJ,O,
uk-10233,2,15,учасники,,учасник,Ncmpny,NOUN,O,
uk-10233,2,16,випробування,,випробування,Ncnsgn,NOUN,O,
uk-10233,2,17,розробленої,,розроблений,Ap-fsgf-ep,ADJ,O,
uk-10233,2,18,нею,,вона,Pp-3f-sin,PRON,O,
uk-10233,2,19,вакцини,,вакцина,Ncfpgn,NOUN,O,
uk-10233,2,20,від,,від,Spsg,ADP,O,
uk-10233,2,21,коронавірусу,,коронавірус,Ncmsgy,NOUN,O,
uk-10233,2,22,підліткового,,підлітковий,Ao-msgf,ADJ,O,
uk-10233,2,23,віку,,вік,Ncmsgn,NOUN,O,
uk-10233,2,24,отримали,,отримати,Vmeis-p,VERB,O,
uk-10233,2,25,щеплення,,щеплення,Ncnsan,NOUN,O,
uk-10233,2,26,.,,.,U,PUNCT,O,
uk-10233,3,1,Про,,про,Spsa,ADP,O,
uk-10233,3,2,це,,це,Pd--nnsan,PRON,O,
uk-10233,3,3,повідомляється,,повідомлятися,Vmpip3s,VERB,O,
uk-10233,3,4,у,,у,Spsl,ADP,O,
uk-10233,3,5,пресрелізі,,пресреліз,Ncfsln,NOUN,O,
uk-10233,3,6,компанії,,компанія,Ncfsgn,NOUN,O,
uk-10233,3,7,.,,.,U,PUNCT,O,
uk-10233,4,1,«,,«,U,PUNCT,O,
uk-10233,4,2,Ми,,ми,Pp-1-ypnn,PRON,O,
uk-10233,4,3,раді,,радий,R,ADV,O,
uk-10233,4,4,розпочати,,розпочати,Vmen,VERB,O,
uk-10233,4,5,це,,цей,Pd--n-saa,DET,O,
uk-10233,4,6,дослідження,,дослідження,Ncnsan,NOUN,O,
uk-10233,4,7,фази,,фаза,Ncfsgn,NOUN,O,
uk-10233,4,8,2,,2,Mlc-sn,NUM,O,
uk-10233,4,9,/,,/,U,PUNCT,O,
uk-10233,4,10,3,,3,Mlc-n,NUM,O,
uk-10233,4,11,mRNA,,mRNA,X,X,O,
uk-10233,4,12,-,,-,U,PUNCT,O,
uk-10233,4,13,1273,,1273,Mlc-n,NUM,O,
uk-10233,4,14,(,,(,U,PUNCT,O,
uk-10233,4,15,назва,,назва,Ncfsnn,NOUN,O,
uk-10233,4,16,вакцини,,вакцина,Ncfsgn,NOUN,O,
uk-10233,4,17,–,,–,U,PUNCT,O,
uk-10233,4,18,ред,,ред.,Y,NOUN,O,
uk-10233,4,19,.,,.,U,PUNCT,O,
uk-10233,4,20,),,),U,PUNCT,O,
uk-10233,4,21,у,,у,Spsg,ADP,O,
uk-10233,4,22,здорових,,здоровий,Afp-pgf,ADJ,O,
uk-10233,4,23,підлітків,,підліток,Ncmpgy,NOUN,O,
uk-10233,4,24,у,,у,Spsl,ADP,O,
uk-10233,4,25,США,,США,Np-pln,PROPN,O,
uk-10233,4,26,.,,.,U,PUNCT,O,
uk-10233,5,1,Наша,,наш,Pps1f-sna,DET,O,
uk-10233,5,2,мета,,мета,Ncfsnn,NOUN,O,
uk-10233,5,3,–,,–,U,PUNCT,O,
uk-10233,5,4,зібрати,,зібрати,Vmen,VERB,O,
uk-10233,5,5,дані,,дані,Ap--pasn,NOUN,O,
uk-10233,5,6,навесні,,навесні,R,ADV,O,
uk-10233,5,7,2021,,2021,Mlomsg,ADJ,O,
uk-10233,5,8,року,,рік,Ncmsgn,NOUN,O,
uk-10233,5,9,",",,",",U,PUNCT,O,
uk-10233,5,10,які,,який,Pr----pna,DET,O,
uk-10233,5,11,сприятимуть,,сприяти,Vmpif3p,VERB,O,
uk-10233,5,12,використанню,,використання,Ncnsdn,NOUN,O,
uk-10233,5,13,м,,м,Y,NOUN,O,
uk-10233,5,14,РНК,,РНК,Y,NOUN,O,
uk-10233,5,15,-,,-,U,PUNCT,O,
uk-10233,5,16,1273,,1273,Mlc-n,NUM,O,
uk-10233,5,17,підлітками,,підлітка,Ncmpin,NOUN,O,
uk-10233,5,18,до,,до,Spsg,ADP,O,
uk-10233,5,19,початку,,початок,Ncmsgn,NOUN,O,
uk-10233,5,20,навчального,,навчальний,Ao-msgf,ADJ,O,
uk-10233,5,21,року,,рік,Ncmsgn,NOUN,O,
uk-10233,5,22,у,,у,Spsl,ADP,O,
uk-10233,5,23,2021,,2021,Mlomsl,ADJ,O,
uk-10233,5,24,році,,рік,Ncmsln,NOUN,O,
uk-10233,5,25,»,,»,U,PUNCT,O,
uk-10233,5,26,",",,",",U,PUNCT,O,
uk-10233,5,27,-,,-,U,PUNCT,O,
uk-10233,5,28,заявив,,заявити,Vmeis-sm,VERB,O,
uk-10233,5,29,головний,,головний,Afpmsnf,ADJ,O,
uk-10233,5,30,виконавчий,,виконавчий,Ao-msnf,ADJ,O,
uk-10233,5,31,директор,,директор,Ncmsny,NOUN,O,
uk-10233,5,32,Стефан,,Стефан,Npmsny,PROPN,O,
uk-10233,5,33,Бансель,,Бансель,Npmsny,PROPN,O,
uk-10233,5,34,.,,.,U,PUNCT,O,
uk-10233,6,1,Дослідження,,дослідження,Ncnsnn,NOUN,O,
uk-10233,6,2,проводиться,,проводитися,Vmpip3s,VERB,O,
uk-10233,6,3,у,,у,Spsl,ADP,O,
uk-10233,6,4,співпраці,,співпраця,Ncfsln,NOUN,O,
uk-10233,6,5,з,,з,Spsi,ADP,O,
uk-10233,6,6,Управлінням,,управління,Ncnsin,NOUN,O,
uk-10233,6,7,перспективних,,перспективний,Ao--pgf,ADJ,O,
uk-10233,6,8,біомедичних,,біомедичний,Ao--pgf,ADJ,O,
uk-10233,6,9,досліджень,,дослідження,Ncnpgn,NOUN,O,
uk-10233,6,10,і,,і,Ccs,CCONJ,O,
uk-10233,6,11,розробок,,розробок,Ncfpgn,NOUN,O,
uk-10233,6,12,Міністерства,,міністерство,Ncnsgn,NOUN,O,
uk-10233,6,13,охорони,,охорона,Ncfsgn,NOUN,O,
uk-10233,6,14,здоров'я,,здоров’я,Ncnsgn,NOUN,O,
uk-10233,6,15,і,,і,Ccs,CCONJ,O,
uk-10233,6,16,соціальних,,соціальний,Afp-pgf,ADJ,O,
uk-10233,6,17,служб,,служба,Ncfpgn,NOUN,O,
uk-10233,6,18,США,,США,Np-pgn,PROPN,O,
uk-10233,6,19,(,,(,U,PUNCT,O,
uk-10233,6,20,BARDA,,BARDA,X,X,O,
uk-10233,6,21,),,),U,PUNCT,O,
uk-10233,6,22,.,,.,U,PUNCT,O,
uk-10233,7,1,Компанія,,компанія,Ncfsnn,NOUN,O,
uk-10233,7,2,має,,мати,Vmpip3s,VERB,O,
uk-10233,7,3,намір,,намір,Ncmsan,NOUN,O,
uk-10233,7,4,залучити,,залучити,Vmen,VERB,O,
uk-10233,7,5,до,,до,Spsg,ADP,O,
uk-10233,7,6,дослідження,,дослідження,Ncnsgn,NOUN,O,
uk-10233,7,7,3,,3,Mlc-g,NUM,O,
uk-10233,7,8,тисячі,,тисяча,Ncfpgn,NOUN,O,
uk-10233,7,9,підлітків,,підліток,Ncmpgy,NOUN,O,
uk-10233,7,10,у,,у,Spsl,ADP,O,
uk-10233,7,11,США,,США,Np-pln,PROPN,O,
uk-10233,7,12,віком,,вік,Ncmsin,NOUN,O,
uk-10233,7,13,від,,від,Spsg,ADP,O,
uk-10233,7,14,12,,12,Mlc-g,NUM,O,
uk-10233,7,15,до,,до,Spsg,ADP,O,
uk-10233,7,16,18,,18,Mlc-g,NUM,O,
uk-10233,7,17,років,,рік,Ncmpgn,NOUN,O,
uk-10233,7,18,.,,.,U,PUNCT,O,
uk-10233,8,1,Учасникам,,учасник,Ncmpdy,NOUN,O,
uk-10233,8,2,буде,,бути,Vapif3s,AUX,O,
uk-10233,8,3,зроблено,,зробити,Vmeo,VERB,O,
uk-10233,8,4,два,,два,Mlcnsa,NUM,O,
uk-10233,8,5,щеплення,,щеплення,Ncnpan,NOUN,O,
uk-10233,8,6,з,,з,Spsi,ADP,O,
uk-10233,8,7,інтервалом,,інтервал,Ncmsin,NOUN,O,
uk-10233,8,8,у,,у,Spsa,ADP,O,
uk-10233,8,9,28,,28,Mlc-a,NUM,O,
uk-10233,8,10,днів,,день,Ncmpgn,NOUN,O,
uk-10233,8,11,.,,.,U,PUNCT,O,
uk-10233,9,1,Як,,як,Pr------r,ADV,O,
uk-10233,9,2,повідомлялося,,повідомлятися,Vmpis-sn,VERB,O,
uk-10233,9,3,",",,",",U,PUNCT,O,
uk-10233,9,4,генсек,,генсек,Ncmsny,NOUN,O,
uk-10233,9,5,ООН,,ООН,Y,PROPN,O,
uk-10233,9,6,Антоніо,,Антоніо,Npmsny,PROPN,O,
