docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
94,0,1,Evropská,evropská,evropský,AAFS1----1A----,ADJ,B-ORG,1
94,0,2,komise,komise,komise,NNFS1-----A----,NOUN,I-ORG,1
94,0,3,navrhuje,,navrhovat,VB-S---3P-AA---,VERB,O,
94,0,4,elektronickou,,elektronický,AAFS4----1A----,ADJ,O,
94,0,5,registraci,,registrace,NNFS4-----A----,NOUN,O,
94,0,6,pro,,pro,RR--4----------,ADP,O,
94,0,7,cesty,,cesta,NNFP4-----A----,NOUN,O,
94,0,8,do,,do,RR--2----------,ADP,O,
94,0,9,EU,eu,EU,NNFXX-----A---8,PROPN,B-LOC,6
94,0,10,—,,—,Z:-------------,PUNCT,O,
94,0,11,ČT,čt,ČT,NNFXX-----A---8,PROPN,B-ORG,145
94,0,12,24,,24,C=-------------,NUM,O,
94,0,13,—,,—,Z:-------------,PUNCT,O,
94,0,14,Česká,česká,český,AAFS1----1A----,ADJ,B-ORG,145
94,0,15,televize,televize,televize,NNFS1-----A----,NOUN,I-ORG,145
94,1,1,Chystané,,chystaný,AANS1----1A----,ADJ,O,
94,1,2,opatření,,opatření,NNNS1-----A----,NOUN,O,
94,1,3,má,,mít,VB-S---3P-AA---,VERB,O,
94,1,4,pomoci,,pomoci,Vf--------A----,VERB,O,
94,1,5,ověřovat,,ověřovat,Vf--------A----,VERB,O,
94,1,6,",",,",",Z:-------------,PUNCT,O,
94,1,7,zda,,zda,"J,-------------",SCONJ,O,
94,1,8,daná,,daný,AAFS1----1A----,ADJ,O,
94,1,9,osoba,,osoba,NNFS1-----A----,NOUN,O,
94,1,10,představuje,,představovat,VB-S---3P-AA---,VERB,O,
94,1,11,bezpečnostní,,bezpečnostní,AANS4----1A----,ADJ,O,
94,1,12,nebo,,nebo,J^-------------,CCONJ,O,
94,1,13,zdravotní,,zdravotní,AANS4----1A----,ADJ,O,
94,1,14,riziko,,riziko,NNNS4-----A----,NOUN,O,
94,1,15,ještě,,ještě,Db-------------,ADV,O,
94,1,16,předtím,,předtím,Db-------------,ADV,O,
94,1,17,",",,",",Z:-------------,PUNCT,O,
94,1,18,než,,než,"J,-------------",SCONJ,O,
94,1,19,do,,do,RR--2----------,ADP,O,
94,1,20,některé,,některý,PZFS2----------,DET,O,
94,1,21,ze,,z,RV--2----------,ADP,O,
94,1,22,zemí,,země,NNFP2-----A----,NOUN,O,
94,1,23,Unie,,unie,NNFS2-----A----,NOUN,O,
94,1,24,přijede,,přijet,VB-S---3P-AA---,VERB,O,
94,1,25,.,,.,Z:-------------,PUNCT,O,
94,2,1,„,,televiný,AAIS1----1A----,ADJ,O,
94,2,2,Systém,,systém,NNIS1-----A----,NOUN,O,
94,2,3,uzavře,,uzavřít,VB-S---3P-AA---,VERB,O,
94,2,4,nynější,,nynější,AAFS4----1A----,ADJ,O,
94,2,5,informační,,informační,AAFS4----1A----,ADJ,O,
94,2,6,mezeru,,mezera,NNFS4-----A----,NOUN,O,
94,2,7,.,,.,Z:-------------,PUNCT,O,
94,3,1,Umožní,,umožnit,VB-S---3P-AA---,VERB,O,
94,3,2,porovnání,,porovnání,NNNS4-----A----,NOUN,O,
94,3,3,žádostí,,žádost,NNFP2-----A----,NOUN,O,
94,3,4,ze,,z,RV--2----------,ADP,O,
94,3,5,zemí,,země,NNFP2-----A----,NOUN,O,
94,3,6,s,,s,RR--7----------,ADP,O,
94,3,7,bezvízovým,,bezvízový,AAIS7----1A----,ADJ,O,
94,3,8,stykem,,styk,NNIS7-----A----,NOUN,O,
94,3,9,s,,s,RR--7----------,ADP,O,
94,3,10,našimi,,můj,PSXP7-P1-------,DET,O,
94,3,11,dalšími,,další,AAIP7----1A----,ADJ,O,
94,3,12,systémy,,systém,NNIP7-----A----,NOUN,O,
94,3,13,",",,",",Z:-------------,PUNCT,O,
94,3,14,“,,“,Z:-------------,PUNCT,O,
94,3,15,uvedl,,uvést,VpYS---XR-AA---,VERB,O,
94,3,16,místopředseda,,místopředseda,NNMS1-----A----,NOUN,O,
94,3,17,Evropské,evropská,evropský,AAFS2----1A----,ADJ,B-ORG,1
94,3,18,komise,komise,komise,NNFS2-----A----,NOUN,I-ORG,1
94,3,19,Frans,frans,Frans,NNMS1-----A----,PROPN,B-PER,146
94,3,20,Timmermans,timmermans,Timmermans,NNMS1-----A----,PROPN,I-PER,146
94,3,21,",",,",",Z:-------------,PUNCT,O,
94,3,22,podle,,podle,RR--2----------,ADP,O,
94,3,23,kterého,,který,P4ZS2----------,DET,O,
94,3,24,bude,,být,VB-S---3F-AA---,AUX,O,
94,3,25,systém,,systém,NNIS1-----A----,NOUN,O,
94,3,26,„rychlý,,„rychlý,AAIS1----1A----,ADJ,O,
94,3,27,",",,",",Z:-------------,PUNCT,O,
94,3,28,levný,,levný,AAIS1----1A----,ADJ,O,
94,3,29,a,,a,J^-------------,CCONJ,O,
94,3,30,efektivní“,,efektivní,AAIS1----1A----,ADJ,O,
94,3,31,.,,.,Z:-------------,PUNCT,O,
94,4,1,Jeho,,jeho,PSXXXZS3-------,DET,O,
94,4,2,zavedení,,zavedení,NNNS1-----A----,NOUN,O,
94,4,3,nicméně,,nicméně,J^-------------,CCONJ,O,
94,4,4,vyjde,,vyjít,VB-S---3P-AA---,VERB,O,
94,4,5,na,,na,RR--4----------,ADP,O,
94,4,6,212,,212,C=-------------,NUM,O,
94,4,7,milionů,,milión,NNIP2-----A----,NOUN,O,
94,4,8,eur,,eur,NNFXX-----A----,NOUN,O,
94,4,9,(,,(,Z:-------------,PUNCT,O,
94,4,10,asi,,asi,TT-------------,PART,O,
94,4,11,5,,5,C=-------------,NUM,O,
94,4,12,",",,",",Z:-------------,PUNCT,O,
94,4,13,7,,7,C=-------------,NUM,O,
94,4,14,miliardy,,miliarda,NNFS2-----A----,NOUN,O,
94,4,15,korun,,koruna,NNFP2-----A----,NOUN,O,
94,4,16,),,),Z:-------------,PUNCT,O,
94,4,17,",",,",",Z:-------------,PUNCT,O,
94,4,18,roční,,roční,AAIS1----1A----,ADJ,O,
94,4,19,provoz,,provoz,NNIS1-----A----,NOUN,O,
94,4,20,by,,být,Vc-------------,AUX,O,
94,4,21,naopak,,naopak,Db-------------,ADV,O,
94,4,22,měl,,mít,VpYS---XR-AA---,VERB,O,
94,4,23,přinést,,přinést,Vf--------A----,VERB,O,
94,4,24,85,,85,C=-------------,NUM,O,
94,4,25,milionů,,milión,NNIP2-----A----,NOUN,O,
94,4,26,eur,,eur,NNFXX-----A----,NOUN,O,
94,4,27,(,,(,Z:-------------,PUNCT,O,
94,4,28,asi,,asi,TT-------------,PART,O,
94,4,29,2,,2,C=-------------,NUM,O,
94,4,30,",",,",",Z:-------------,PUNCT,O,
94,4,31,3,,3,C=-------------,NUM,O,
94,4,32,miliardy,,miliarda,NNFS2-----A----,NOUN,O,
94,4,33,korun,,koruna,NNFP2-----A----,NOUN,O,
94,4,34,),,),Z:-------------,PUNCT,O,
94,4,35,",",,",",Z:-------------,PUNCT,O,
94,4,36,které,,který,P4FP1----------,DET,O,
94,4,37,by,,být,Vc-------------,AUX,O,
94,4,38,šly,,jít,VpTP---XR-AA---,VERB,O,
94,4,39,do,,do,RR--2----------,ADP,O,
94,4,40,unijního,,unijní,AAIS2----1A----,ADJ,O,
94,4,41,rozpočtu,,rozpočet,NNIS2-----A----,NOUN,O,
94,4,42,.,,.,Z:-------------,PUNCT,O,
94,5,1,Registrovat,,registrovat,Vf--------A----,VERB,O,
94,5,2,se,,se,P7-X4----------,PRON,O,
94,5,3,budou,,být,VB-P---3F-AA---,AUX,O,
94,5,4,muset,,muset,Vf--------A----,VERB,O,
94,5,5,mj,,mj,Db------------8,ADV,O,
94,5,6,.,,.,Z:-------------,PUNCT,O,
94,5,7,obyvatelé,,obyvatel,NNMP1-----A----,NOUN,O,
94,5,8,Spojených,spojené,spojený,AAIP2----1A----,ADJ,B-LOC,11
94,5,9,států,státy,stát,NNIP2-----A----,NOUN,I-LOC,11
94,5,10,",",,",",Z:-------------,PUNCT,O,
94,5,11,Japonska,japonsko,Japonsko,NNNS2-----A----,PROPN,B-LOC,147
94,5,12,nebo,,nebo,J^-------------,CCONJ,O,
94,5,13,Izraele,izrael,Izrael,NNIS2-----A----,PROPN,B-LOC,148
94,5,14,",",,",",Z:-------------,PUNCT,O,
94,5,15,v,,v,RR--6----------,ADP,O,
94,5,16,budoucnu,,budoucno,NNNS6-----A----,NOUN,O,
94,5,17,případně,,případně,Dg-------1A----,ADV,O,
94,5,18,i,,i,J^-------------,CCONJ,O,
94,5,19,Velké,velká,velký,AAFS2----1A----,ADJ,B-LOC,90
94,5,20,Británie,británie,Británie,NNFS2-----A----,PROPN,I-LOC,90
94,5,21,.,,.,Z:-------------,PUNCT,O,
94,6,1,V,,v,RR--6----------,ADP,O,
94,6,2,případě,,případ,NNIS6-----A----,NOUN,O,
94,6,3,bezvízového,,bezvízový,AAIS2----1A----,ADJ,O,
94,6,4,styku,,styk,NNIS2-----A----,NOUN,O,
94,6,5,by,,být,Vc-------------,AUX,O,
94,6,6,se,,se,P7-X4----------,PRON,O,
94,6,7,týkal,,týkat,VpYS---XR-AA---,VERB,O,
