docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
189,0,1,Europska,europska,europski,Agpfsny,ADJ,B-ORG,1
189,0,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
189,0,3,:,,:,Z,PUNCT,O,
189,0,4,:,,:,Z,PUNCT,O,
189,0,5,Informacijski,informacijski,informacijski,Agpmsny,ADJ,B-ORG,50446
189,0,6,centar,centar,centar,Ncmsn,NOUN,I-ORG,50446
189,0,7,Europe,europe,Europa,Npfsg,PROPN,I-ORG,50446
189,0,8,Direct,direct,direct,Xf,X,I-ORG,50446
189,0,9,-,-,-,Z,PUNCT,I-ORG,50446
189,0,10,Šibenik,šibenik,Šibenik,Npmsn,PROPN,I-ORG,50446
189,0,11,Europska,europska,europski,Agpfsny,ADJ,B-ORG,1
189,0,12,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
189,0,13,jedna,,jedan,Mlcfsn,NUM,O,
189,0,14,je,,biti,Var3s,AUX,O,
189,0,15,od,,od,Sg,ADP,O,
189,0,16,glavnih,,glavni,Agpfpgy,ADJ,O,
189,0,17,institucija,,institucija,Ncfpg,NOUN,O,
189,0,18,Europske,europska,europski,Agpfsgy,ADJ,B-LOC,6
189,0,19,unije,unija,unija,Ncfsg,NOUN,I-LOC,6
189,0,20,.,,.,Z,PUNCT,O,
189,1,1,Ona,,on,Pp3fsn,PRON,O,
189,1,2,zastupa,,zastupati,Vmr3s,VERB,O,
189,1,3,i,,i,Cc,CCONJ,O,
189,1,4,podupire,,podupirati,Vmr3s,VERB,O,
189,1,5,interese,,interes,Ncmpa,NOUN,O,
189,1,6,EU-a,eu,EU,Npmsg,PROPN,B-LOC,6
189,1,7,kao,,kao,Cs,SCONJ,O,
189,1,8,cjeline,,cjelina,Ncfsg,NOUN,O,
189,1,9,.,,.,Z,PUNCT,O,
189,2,1,Sastavlja,,sastavljati,Vmr3s,VERB,O,
189,2,2,prijedloge,,prijedlog,Ncmpa,NOUN,O,
189,2,3,za,,za,Sa,ADP,O,
189,2,4,nove,,nov,Agpmpay,ADJ,O,
189,2,5,europske,,europski,Agpmpay,ADJ,O,
189,2,6,propise,,propis,Ncmpa,NOUN,O,
189,2,7,.,,.,Z,PUNCT,O,
189,3,1,Upravlja,,upravljati,Vmr3s,VERB,O,
189,3,2,svakodnevnom,,svakodnevan,Agpfsiy,ADJ,O,
189,3,3,provedbom,,provedba,Ncfsi,NOUN,O,
189,3,4,politika,,politika,Ncfpg,NOUN,O,
189,3,5,EU-a,eu,EU,Npmsg,PROPN,B-LOC,6
189,3,6,i,,i,Cc,CCONJ,O,
189,3,7,troenjem,,troenje,Ncmsi,NOUN,O,
189,3,8,sredstava,,sredstvo,Ncnpg,NOUN,O,
189,3,9,EU-a,eu,EU,Npmsg,PROPN,B-LOC,6
189,3,10,.,,.,Z,PUNCT,O,
189,4,1,Sastav,,sastav,Ncmsn,NOUN,O,
189,4,2,.,,.,Z,PUNCT,O,
189,4,3,",",,",",Z,PUNCT,O,
189,4,4,po,,po,Sa,ADP,O,
189,4,5,jedan,,jedan,Mlcmsan,NUM,O,
189,4,6,iz,,iz,Sg,ADP,O,
189,4,7,svake,,svaki,Pi-fsg,DET,O,
189,4,8,zemlje,,zemlja,Ncfsg,NOUN,O,
189,4,9,EU-a,eu,EU,Npmsg,PROPN,B-LOC,6
189,4,10,",",,",",Z,PUNCT,O,
189,4,11,čini,,činiti,Vmr3s,VERB,O,
189,4,12,političko,,politički,Agpnsny,ADJ,O,
189,4,13,vodstvo,,vodstvo,Ncnsa,NOUN,O,
189,4,14,Komisije,komisija,komisija,Ncfsg,NOUN,B-ORG,1
189,4,15,.,,.,Z,PUNCT,O,
189,5,1,Mandat,,mandat,Ncmsn,NOUN,O,
189,5,2,povjerenika,,povjerenik,Ncmsg,NOUN,O,
189,5,3,traje,,trajati,Vmr3s,VERB,O,
189,5,4,pet,,pet,Mlc,NUM,O,
189,5,5,godina,,godina,Ncfpg,NOUN,O,
189,5,6,.,,.,Z,PUNCT,O,
189,6,1,Predsjednik,,predsjednik,Ncmsn,NOUN,O,
189,6,2,svakomu,,svaki,Pi-msd,DET,O,
189,6,3,povjereniku,,povjerenik,Ncmsd,NOUN,O,
189,6,4,dodjeljuje,,dodjeljivati,Vmr3s,VERB,O,
189,6,5,nadležnost,,nadležnost,Ncfsa,NOUN,O,
189,6,6,za,,za,Sa,ADP,O,
189,6,7,određena,,određen,Agpnpay,ADJ,O,
189,6,8,područja,,područje,Ncnpa,NOUN,O,
189,6,9,politike,,politika,Ncfsg,NOUN,O,
189,6,10,.,,.,Z,PUNCT,O,
189,7,1,Predsjednik,,predsjednik,Ncmsn,NOUN,O,
189,7,2,Europske,europska,europski,Agpfsgy,ADJ,B-ORG,1
189,7,3,komisije,komisija,komisija,Ncfsg,NOUN,I-ORG,1
189,7,4,trenutno,,trenutno,Rgp,ADV,O,
189,7,5,je,,biti,Var3s,AUX,O,
189,7,6,Jean-Claude,jean-claude,Jean-Claude,Npmsn,PROPN,B-PER,48
189,7,7,Juncker,juncker,Juncker,Npmsn,PROPN,I-PER,48
189,7,8,.,,.,Z,PUNCT,O,
189,8,1,Predsjednika,,predsjednik,Ncmsay,NOUN,O,
189,8,2,kandidira,,kandidirati,Vmr3s,VERB,O,
189,8,3,Europsko,europsko,europski,Agpnsny,ADJ,B-ORG,50304
189,8,4,vijeće,vijeće,vijeće,Ncnsa,NOUN,I-ORG,50304
189,8,5,.,,.,Z,PUNCT,O,
189,9,1,Vijeće,vijeće,vijeće,Ncnsn,NOUN,B-ORG,50304
189,9,2,izabire,,izabirati,Vmr3s,VERB,O,
189,9,3,i,,i,Cc,CCONJ,O,
189,9,4,ostale,,ostali,Agpmpay,ADJ,O,
189,9,5,povjerenike,,povjerenik,Ncmpa,NOUN,O,
189,9,6,u,,u,Sl,ADP,O,
