docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
70,0,1,dpa,dpa,dpa,subst:sg:nom:f,PROPN,B-ORG,20500
70,0,2,:,,:,interp,PUNCT,O,
70,0,3,Komisja,komisja,komisja,subst:sg:nom:f,NOUN,B-ORG,1
70,0,4,Europejska,europejska,europejski,adj:sg:nom:f:pos,ADJ,I-ORG,1
70,0,5,nie,,nie,part,PART,O,
70,0,6,uważa,,uważać,fin:sg:ter:imperf,VERB,O,
70,0,7,",",,",",interp,PUNCT,O,
70,0,8,żeby,,żeby,comp,SCONJ,O,
70,0,9,CETA,ceta,CETA,subst:sg:nom:f,PROPN,B-MISC,20302
70,0,10,była,,być,praet:sg:f:imperf,AUX,O,
70,0,11,skończona,,skończyć,adj:sg:nom:f:pos,ADJ,O,
70,0,12,|,,|,interp,PUNCT,O,
70,0,13,Puls,puls,puls,subst:sg:nom:m3,NOUN,B-ORG,20501
70,0,14,Biznesu,biznesu,biznes,subst:sg:gen:m3,NOUN,I-ORG,20501
70,0,15,Notowania,,notować,subst:sg:gen:n:ncol,NOUN,O,
70,0,16,euro,,euro,subst:sg:gen:n:ncol,NOUN,O,
70,1,1,W,,w,prep:loc:nwok,ADP,O,
70,1,2,KE,ke,KE,subst:sg:loc:m3,PROPN,B-ORG,1
70,1,3,nie,,nie,part,PART,O,
70,1,4,uważa,,uważać,fin:sg:ter:imperf,VERB,O,
70,1,5,się,,się,part,PRON,O,
70,1,6,",",,",",interp,PUNCT,O,
70,1,7,że,,że,comp,SCONJ,O,
70,1,8,wstrzymanie,,wstrzymać,ger:sg:nom:n:perf:aff,NOUN,O,
70,1,9,rozmów,,rozmowa,subst:pl:gen:f,NOUN,O,
70,1,10,nt,,na temat,brev:pun,X,O,
70,1,11,.,,.,interp,PUNCT,O,
70,1,12,CETA,ceta,CETA,subst:sg:nom:f,PROPN,B-MISC,20302
70,1,13,z,,z,prep:inst:nwok,ADP,O,
70,1,14,belgijską,,belgijski,adj:sg:inst:f:pos,ADJ,O,
70,1,15,Walonią,walonia,Walonia,subst:sg:inst:f,PROPN,B-LOC,20502
70,1,16,kładzie,,kłaść,fin:sg:ter:imperf,VERB,O,
70,1,17,kres,,kres,subst:sg:acc:m3,NOUN,O,
