docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
454,0,1,Optiku,,optik,SSfs4,NOUN,O,
454,0,2,pre,,pre,Eu4,ADP,O,
454,0,3,školy,,škola,SSfp4,NOUN,O,
454,0,4,preveruje,,preverovať,VKesc+,VERB,O,
454,0,5,Európska,európska,európsky,AAfs1x:r,ADJ,B-ORG,1
454,0,6,komisia,komisia,komisie,SSfs1,NOUN,I-ORG,1
454,0,7,.,,.,Z,PUNCT,O,
454,1,1,Hrozí,,hroziť,VKesc+,VERB,O,
454,1,2,vracanie,,vracanie,SSns1,NOUN,O,
454,1,3,eurofondov,,eurofond,SSip2,NOUN,O,
454,1,4,|,,|,Z,PUNCT,O,
454,1,5,Živé,živé,živý,AAns1x,ADJ,B-ORG,304
454,1,6,.,.,.,Z,PUNCT,I-ORG,304
454,1,7,sk,sk,sk,W,PROPN,I-ORG,304
454,2,1,Európska,európska,európsky,AAfs1x,ADJ,B-ORG,1
454,2,2,komisia,komisia,komisie,SSfs1,NOUN,I-ORG,1
454,2,3,(,,(,Z,PUNCT,O,
454,2,4,EK,ek,ek,W,PROPN,B-ORG,1
454,2,5,),,),Z,PUNCT,O,
454,2,6,preveruje,,preverovať,VKesc+,VERB,O,
454,2,7,štátnu,,štátny,AAfs4x,ADJ,O,
454,2,8,pomoc,,pomoc,SSfs4,NOUN,O,
454,2,9,a,,a,O,CCONJ,O,
454,2,10,verejné,,verejný,AAns4x,ADJ,O,
454,2,11,obstarávanie,,obstarávanie,SSns4,NOUN,O,
454,2,12,okolo,,okolo,Eu2,ADP,O,
454,2,13,projektu,,projekt,SSis2,NOUN,O,
454,2,14,Digitálne,digitálne,digitálny,AAns4x,ADJ,B-MISC,305
454,2,15,učivo,učivo,učivo,SSns4,NOUN,I-MISC,305
454,2,16,na,na,na,Eu4,ADP,I-MISC,305
454,2,17,dosah,dosah,dosah,SSis4,NOUN,I-MISC,305
454,2,18,",",,",",Z,PUNCT,O,
454,2,19,v,,v,Eu6,ADP,O,
454,2,20,rámci,,rámec,SSis6,NOUN,O,
454,2,21,ktorého,,ktorý,PAns2,DET,O,
454,2,22,ministerstvo,ministerstvo,ministerstvo,SSns1,NOUN,B-ORG,272
454,2,23,školstva,školstva,školstvo,SSns2,NOUN,I-ORG,272
454,2,24,a,,a,O,CCONJ,O,
454,2,25,úrad,úrad,úrad,SSis1,NOUN,B-ORG,282
454,2,26,vlády,vlády,vláda,SSfs2,NOUN,I-ORG,282
454,2,27,zavádzali,,zavádzať,VLepci+,VERB,O,
454,2,28,optický,,optický,AAis4x,ADJ,O,
454,2,29,internet,,internet,SSis4,NOUN,O,
454,2,30,do,,do,Eu2,ADP,O,
454,2,31,vyše,,vyše,NUns2,NUM,O,
454,2,32,200,,200,0,NUM,O,
454,2,33,škôl,,škola,SSfp2,NOUN,O,
454,2,34,.,,.,Z,PUNCT,O,
454,3,1,Počítal,,počítať,VLescm+,VERB,O,
454,3,2,s,,s,Eu7,ADP,O,
454,3,3,rozpočtom,,rozpočet,SSis7,NOUN,O,
454,3,4,"29,4",,"29,4",Eu4,ADP,O,
454,3,5,milióna,,milión,NUis4,NUM,O,
454,3,6,eur,,eur,W,PROPN,O,
454,3,7,vrátane,,vrátane,Eu2,ADP,O,
454,3,8,DPH,,dph,W,PROPN,O,
454,3,9,.,,.,Z,PUNCT,O,
454,4,1,Informáciu,,informácia,SSfs4,NOUN,O,
454,4,2,priniesol,,priniesť,VLdscm+,VERB,O,
454,4,3,server,,server,SSis1,NOUN,O,
454,4,4,e,,e,W,PROPN,O,
454,4,5,Trend,etrend,trend,SSis1,NOUN,B-ORG,306
454,4,6,.,.,.,Z,PUNCT,I-ORG,306
454,4,7,sk,sk,sk,W,PROPN,I-ORG,306
454,4,8,",",,",",Z,PUNCT,O,
454,4,9,ktorý,,ktorý,PAis1,DET,O,
454,4,10,získal,,získať,VLdsci+,VERB,O,
454,4,11,prezentáciu,,prezentácia,SSfs4,NOUN,O,
454,4,12,zo,,z,Ev2,ADP,O,
454,4,13,zasadnutia,,zasadnutie,SSns2,NOUN,O,
454,4,14,monitorovacieho,,monitorovací,AAis2x,ADJ,O,
454,4,15,výboru,,výbora,SSis2,NOUN,O,
454,4,16,ministerstva,ministerstvo,ministerstvo,SSns2,NOUN,B-ORG,307
454,4,17,dopravy,dopravy,doprava,SSfs2,NOUN,I-ORG,307
454,4,18,",",,",",Z,PUNCT,O,
454,4,19,ktoré,,ktorý,PAns1,DET,O,
454,4,20,je,,byť,VKesc+,AUX,O,
454,4,21,riadiacim,,riadiaci,Gkis7x,ADJ,O,
454,4,22,orgánom,,orgán,SSis7,NOUN,O,
454,4,23,nového,,nový,AAis2x,ADJ,O,
454,4,24,operačného,,operačný,AAis2x,ADJ,O,
454,4,25,programu,,program,SSis2,NOUN,O,
454,4,26,Integrovaná,integrovaná,integrovaný,Gtfs1x,ADJ,B-MISC,308
454,4,27,infraštruktúra,infraštruktúra,infraštruktúra,SSfs1,NOUN,I-MISC,308
454,4,28,.,,.,Z,PUNCT,O,
454,5,1,Prebiehanie,,prebiehanie,SSns1,NOUN,O,
454,5,2,auditu,,audita,SSis2,NOUN,O,
454,5,3,potvrdila,,potvrdiť,VLdscf+,VERB,O,
454,5,4,i,,i,T,PART,O,
454,5,5,vedúca,,vedúci,SSfs1,NOUN,O,
454,5,6,tlačového,,tlačový,AAns2x,ADJ,O,
454,5,7,oddelenia,,oddelenie,SSns2,NOUN,O,
454,5,8,zastúpenia,,zastúpenie,SSns2,NOUN,O,
454,5,9,EK,ek,ek,W,PROPN,B-ORG,1
454,5,10,na,,na,Eu6,ADP,O,
454,5,11,Slovensku,slovensko,slovensko,SSns6:r,PROPN,B-LOC,125
454,5,12,.,,.,Z,PUNCT,O,
454,6,1,Možno,,možno,T,PART,O,
454,6,2,štvrtina,,štvrtina,SSfs1,NOUN,O,
454,6,3,",",,",",Z,PUNCT,O,
454,6,4,všetko,,všetok,PFns1,DET,O,
454,6,5,aj,,aj,T,PART,O,
454,6,6,nič,,nič,PFns4,PRON,O,
454,6,7,.,,.,Z,PUNCT,O,
454,7,1,Európski,,európsky,AAmp1x,ADJ,O,
454,7,2,úradníci,,úradník,SSmp1,NOUN,O,
454,7,3,ešte,,ešte,T,PART,O,
454,7,4,v,,v,Eu6,ADP,O,
454,7,5,auguste,,augusta,SSis6,NOUN,O,
454,7,6,zaslali,,zaslať,VLdpcm+,VERB,O,
454,7,7,na,,na,Eu4,ADP,O,
454,7,8,Slovensko,slovensko,slovensko,SSns4:r,PROPN,B-LOC,125
454,7,9,„,,„,Z,PUNCT,O,
454,7,10,varovný,,varovný,AAis4x,ADJ,O,
454,7,11,list,,list,SSis4,NOUN,O,
454,7,12,“,,“,Z,PUNCT,O,
454,7,13,.,,.,Z,PUNCT,O,
454,8,1,Rezort,,rezort,SSis1,NOUN,O,
454,8,2,dopravy,,doprava,SSfs2,NOUN,O,
454,8,3,potom,,potom,Dx,ADV,O,
454,8,4,požiadal,,požiadať,VLdsci+,VERB,O,
454,8,5,prijímateľov,,prijímateľ,SSmp4,NOUN,O,
454,8,6,eurofondov,,eurofond,SSip2,NOUN,O,
454,8,7,o,,o,Eu4,ADP,O,
454,8,8,reakciu,,reakcia,SSfs4,NOUN,O,
454,8,9,.,,.,Z,PUNCT,O,
454,9,1,Prijímateľom,,prijímateľ,SSms7,NOUN,O,
454,9,2,a,,a,O,CCONJ,O,
454,9,3,kompetenčne,,kompetenčne,Dx,ADV,O,
454,9,4,príslušnou,,príslušný,AAfs7x,ADJ,O,
454,9,5,inštitúciou,,inštitúcia,SSfs7,NOUN,O,
454,9,6,bolo,,byť,VLescn+,AUX,O,
454,9,7,ministerstvo,ministerstvo,ministerstvo,SSns1,NOUN,B-ORG,272
454,9,8,školstva,školstva,školstvo,SSns2,NOUN,I-ORG,272
454,9,9,.,,.,Z,PUNCT,O,
454,10,1,Úrad,úrad,úrad,SSis1,NOUN,B-ORG,282
