docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
386,0,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1.0
386,0,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1.0
386,0,3,bi,,biti,Va-c,AUX,O,
386,0,4,roaming,,roaming,Ncmsan,NOUN,O,
386,0,5,odpravila,,odpraviti,Vmep-sf,VERB,O,
386,0,6,za,,za,Sa,ADP,O,
386,0,7,tri,,trije,Mlcmpa,NUM,O,
386,0,8,mesece,,mesec,Ncmpa,NOUN,O,
386,0,9,na,,na,Sa,ADP,O,
386,0,10,leto,,leto,Ncnsa,NOUN,O,
386,0,11,–,,–,Z,PUNCT,O,
386,0,12,Tehnozvezdje,tehnozvezdje,tehnozvezdje,Ncnsn,NOUN,B-ORG,40154.0
386,1,1,Že,,že,Q,PART,O,
386,1,2,ko,,ko,Cs,SCONJ,O,
386,1,3,je,,biti,Va-r3s-n,AUX,O,
386,1,4,evropski,evropski,evropski,Agpmsny,ADJ,B-ORG,14.0
386,1,5,parlament,parlament,parlament,Ncmsn,NOUN,I-ORG,14.0
386,1,6,pred,,pred,Si,ADP,O,
386,1,7,slabim,,slab,Agpnsi,ADJ,O,
386,1,8,letom,,leto,Ncnsi,NOUN,O,
386,1,9,sprejel,,sprejeti,Vmep-sm,VERB,O,
386,1,10,uredbo,,uredba,Ncfsa,NOUN,O,
386,1,11,o,,o,Sl,ADP,O,
386,1,12,enotnem,,enoten,Agpmsl,ADJ,O,
386,1,13,telekomunikacijskem,,telekomunikacijski,Agpmsl,ADJ,O,
386,1,14,trgu,,trg,Ncmsl,NOUN,O,
386,1,15,",",,",",Z,PUNCT,O,
386,1,16,ki,,ki,Cs,SCONJ,O,
386,1,17,naj,,naj,Q,PART,O,
386,1,18,bi,,biti,Va-c,AUX,O,
386,1,19,dokončno,,dokončno,Rgp,ADV,O,
386,1,20,ukinila,,ukiniti,Vmep-sf,VERB,O,
386,1,21,roaming,,roaming,Ncmsan,NOUN,O,
386,1,22,",",,",",Z,PUNCT,O,
386,1,23,smo,,biti,Va-r1p-n,AUX,O,
386,1,24,svarili,,svariti,Vmpp-pm,VERB,O,
386,1,25,",",,",",Z,PUNCT,O,
386,1,26,da,,da,Cs,SCONJ,O,
386,1,27,ni,,biti,Va-r3s-y,AUX,O,
386,1,28,vse,,ves,Pg-nsn,DET,O,
386,1,29,tako,,tako,Rgp,ADV,O,
386,1,30,lepo,,lep,Agpnsn,ADJ,O,
386,1,31,",",,",",Z,PUNCT,O,
386,1,32,kot,,kot,Cs,SCONJ,O,
386,1,33,izgleda,,izgledati,Vmpr3s,VERB,O,
386,1,34,.,,.,Z,PUNCT,O,
386,2,1,Jasno,,jasen,Agpnsn,ADJ,O,
386,2,2,je,,biti,Va-r3s-n,AUX,O,
386,2,3,bilo,,biti,Va-p-sn,AUX,O,
386,2,4,",",,",",Z,PUNCT,O,
386,2,5,da,,da,Cs,SCONJ,O,
386,2,6,popolne,,popoln,Agpfsg,ADJ,O,
