sl-65
2. svetovni vojni	2. svetovna vojna	EVT	EVT-World-War-II
Afganistan	Afganistan	LOC	GPE-Afghanistan
Amerika	Amerika	LOC	GPE-USA
Balkanu	Balkan	LOC	LOC-Balkans
Baltiku	Baltik	LOC	LOC-Baltic-Sea
Cavusoglu	Cavusoglu	PER	PER-Mevlut-Cavusoglu
Donalda Trumpa	Donald Trump	PER	PER-Donald-Trump
Evrope	Evropa	LOC	LOC-Europe
Evropi	Evropa	LOC	LOC-Europe
F-35	F-35	PRO	PRO-Lockheed-Martin-F-35-Lightning-II
Heiko Maas	Heiko Maas	PER	PER-Heiko-Maas
Kanada	Kanada	LOC	GPE-Canada
Kay Bailey Hutchinson	Kay Bailey Hutchison	PER	PER-Kay-Bailey-Hutchison
Krim	Krim	LOC	GPE-Crimea
Krima	Krim	LOC	GPE-Crimea
Maas	Maas	PER	PER-Heiko-Maas
Mevlut Cavusoglu	Mevlut Cavusoglu	PER	PER-Mevlut-Cavusoglu
Mike Pence	Mike Pence	PER	PER-Mike-Pence
Mike Pompeo	Mike Pompeo	PER	PER-Mike-Pompeo
Miro Cerar	Miro Cerar	PER	PER-Miro-Cerar
Nata	Nato	ORG	ORG-NATO
Nato	Nato	ORG	ORG-NATO
Natu	Nato	ORG	ORG-NATO
Nemčija	Nemčija	LOC	GPE-Germany
Nemčiji	Nemčija	LOC	GPE-Germany
Nemčijo	Nemčija	LOC	GPE-Germany
Pence	Pence	PER	PER-Mike-Pence
Pompea	Pompeo	PER	PER-Mike-Pompeo
Pompeo	Pompeo	PER	PER-Mike-Pompeo
Rusija	Rusija	LOC	GPE-Russia
Rusije	Rusija	LOC	GPE-Russia
Rusiji	Rusija	LOC	GPE-Russia
Rusijo	Rusija	LOC	GPE-Russia
S-400	S-400	PRO	PRO-S-400-Triumf
Severne Makedonije	Severna Makedonija	LOC	GPE-Northern-Macedonia
Severni tok 2	Severni tok 2	PRO	PRO-Nord-Stream-2
Sirije	Sirija	LOC	GPE-Syria
Siriji	Sirija	LOC	GPE-Syria
State Departmentu	State Department	ORG	ORG-Department-of-State-USA
Turčija	Turčija	LOC	GPE-Turkey
Turčiji	Turčija	LOC	GPE-Turkey
Turčijo	Turčija	LOC	GPE-Turkey
Ulmu	Ulm	LOC	GPE-Ulm
Washingtonu	Washington	LOC	GPE-WashingtonDC
ZDA	ZDA	LOC	GPE-USA
Zahoda	Zahod	LOC	LOC-West
severno-atlantski pogodbi	severno-atlantska pogodba	PRO	PRO-North-Atlantic-Treaty
Črnem morju	Črno morje	LOC	LOC-Black-Sea
