docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-109,0,1,Nord,Nord,Nord,NNIS1-----A----,PROPN,B-PRO,PRO-Nord-Stream-2
cs-109,0,2,Stream,Stream,Stream,NNIS1-----A----,PROPN,I-PRO,PRO-Nord-Stream-2
cs-109,0,3,2,2,2,C=-------------,NUM,I-PRO,PRO-Nord-Stream-2
cs-109,0,4,:,,:,Z:-------------,PUNCT,O,
cs-109,0,5,Co,,co,PQ--4----------,PRON,O,
cs-109,0,6,komu,,kdo,PKM-3----------,PRON,O,
cs-109,0,7,přinese,,přinést,VB-S---3P-AA---,VERB,O,
cs-109,0,8,v,,v,RR--6----------,ADP,O,
cs-109,0,9,časech,,čas,NNIP6-----A----,NOUN,O,
cs-109,0,10,krize,,krize,NNFS2-----A----,NOUN,O,
cs-109,0,11,mezi,,mezi,RR--7----------,ADP,O,
cs-109,0,12,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-109,0,13,a,,a,J^-------------,CCONJ,O,
cs-109,0,14,Ruskem,Rusko,Rusko,NNNS7-----A----,PROPN,B-LOC,GPE-Russia
cs-109,0,15,stavba,,stavba,NNFS1-----A----,NOUN,O,
cs-109,0,16,plynovodu,,plynovod,NNIS2-----A----,NOUN,O,
cs-109,0,17,pod,,pod,RR--7----------,ADP,O,
cs-109,0,18,Baltem,Balt,Balt,NNIS7-----A----,PROPN,B-LOC,LOC-Baltic-Sea
cs-109,0,19,?,,?,Z:-------------,PUNCT,O,
cs-109,1,1,Klíčové,,klíčový,AAFP1----1A----,ADJ,O,
cs-109,1,2,země,,země,NNFP1-----A----,NOUN,O,
cs-109,1,3,a,,a,J^-------------,CCONJ,O,
cs-109,1,4,Nord,Nord,Nord,NNIS1-----A----,PROPN,B-PRO,PRO-Nord-Stream-2
cs-109,1,5,Stream,Stream,Stream,NNIS1-----A----,PROPN,I-PRO,PRO-Nord-Stream-2
cs-109,1,6,2,2,2,C=-------------,NUM,I-PRO,PRO-Nord-Stream-2
cs-109,1,7,Německo,Německo,Německo,NNNS1-----A----,PROPN,B-LOC,GPE-Germany
cs-109,1,8,.,,.,Z:-------------,PUNCT,O,
cs-109,2,1,Berlín,Berlín,Berlín,NNIS1-----A----,PROPN,B-LOC,GPE-Berlin
