docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-616,0,1,Amerykanie,Amerykanie,Amerykanin,subst:pl:nom:m1,PROPN,B-PER,GPE-USA
pl-616,0,2,na,,na,prep:loc,ADP,O,
pl-616,0,3,konferencji,,konferencja,subst:sg:loc:f,NOUN,O,
pl-616,0,4,w,,w,prep:loc:nwok,ADP,O,
pl-616,0,5,Brukseli,Bruksela,Bruksela,subst:sg:loc:f,PROPN,B-LOC,GPE-Brussles
pl-616,0,6,:,,:,interp,PUNCT,O,
pl-616,0,7,Nord,Nord,Nord,subst:sg:nom:m3,PROPN,B-PRO,PRO-Nord-Stream-2
pl-616,0,8,Stream,Stream,Stream,subst:sg:nom:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-616,0,9,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-616,0,10,to,,to,pred,AUX,O,
pl-616,0,11,broń,,broń,subst:sg:nom:f,NOUN,O,
pl-616,0,12,polityczna,,polityczny,adj:sg:nom:f:pos,ADJ,O,
pl-616,1,1,–,,–,interp,PUNCT,O,
pl-616,1,2,Nord,Nord,Nord,subst:sg:nom:m3,PROPN,B-PRO,PRO-Nord-Stream-2
pl-616,1,3,Stream,Stream,Stream,subst:sg:nom:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-616,1,4,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-616,1,5,nie,,nie,part,PART,O,
pl-616,1,6,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-616,1,7,tylko,,tylko,part,PART,O,
pl-616,1,8,przedsięwzięciem,,przedsięwzięcie,subst:sg:inst:n:ncol,NOUN,O,
pl-616,1,9,komercyjnym,,komercyjny,adj:sg:inst:n:pos,ADJ,O,
pl-616,1,10,;,,;,interp,PUNCT,O,
pl-616,1,11,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-616,1,12,kolejnym,,kolejny,adj:sg:inst:m3:pos,ADJ,O,
pl-616,1,13,przykładem,,przykład,subst:sg:inst:m3,NOUN,O,
pl-616,1,14,wykorzystywania,,wykorzystywać,ger:sg:gen:n:imperf:aff,NOUN,O,
pl-616,1,15,przez,,przez,prep:acc:nwok,ADP,O,
pl-616,1,16,Rosję,Rosja,Rosja,subst:sg:acc:f,PROPN,B-LOC,GPE-Russia
pl-616,1,17,surowców,,surowiec,subst:pl:gen:m3,NOUN,O,
pl-616,1,18,energetycznych,,energetyczny,adj:pl:gen:m3:pos,ADJ,O,
pl-616,1,19,jako,,jako,comp,SCONJ,O,
pl-616,1,20,broni,,broń,subst:sg:gen:f,NOUN,O,
pl-616,1,21,politycznej,,polityczny,adj:sg:gen:f:pos,ADJ,O,
pl-616,1,22,.,,.,interp,PUNCT,O,
pl-616,2,1,Zgadzamy,,zgadzać,fin:pl:pri:imperf,VERB,O,
pl-616,2,2,się,,się,part,PRON,O,
pl-616,2,3,z,,z,prep:inst:nwok,ADP,O,
pl-616,2,4,wieloma,,wiele,num:pl:inst:m1:congr,DET,O,
pl-616,2,5,z,,z,prep:gen:nwok,ADP,O,
pl-616,2,6,naszych,,nasz,adj:pl:gen:m1:pos,DET,O,
pl-616,2,7,europejskich,,europejski,adj:pl:gen:m1:pos,ADJ,O,
pl-616,2,8,partnerów,,partner,subst:pl:gen:m1,NOUN,O,
pl-616,2,9,",",,",",interp,PUNCT,O,
pl-616,2,10,że,,że,comp,SCONJ,O,
pl-616,2,11,Nord,Nord,Nord,subst:sg:nom:m3,PROPN,B-PRO,PRO-Nord-Stream-2
pl-616,2,12,Stream,Stream,Stream,subst:sg:nom:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-616,2,13,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-616,2,14,zredukowałby,,zredukować by,praet:sg:m3:perf part,VERB AUX,O,
pl-616,2,16,możliwości,,możliwość,subst:pl:acc:f,NOUN,O,
pl-616,2,17,dywersyfikacji,,dywersyfikacja,subst:sg:gen:f,NOUN,O,
pl-616,2,18,źródeł,,źródło,subst:pl:gen:n:ncol,NOUN,O,
pl-616,2,19,energii,,energia,subst:sg:gen:f,NOUN,O,
pl-616,2,20,–,,–,interp,PUNCT,O,
pl-616,2,21,oświadczyła,,oświadczyć,praet:sg:f:perf,VERB,O,
pl-616,2,22,Oudkirk,Oudkirk,Oudkirk,subst:sg:nom:f,PROPN,B-PER,PER-Sandra-Oudkirk
pl-616,2,23,podczas,,podczas,prep:gen,ADP,O,
pl-616,2,24,konferencji,,konferencja,subst:sg:gen:f,NOUN,O,
pl-616,2,25,„,,„,interp,PUNCT,O,
pl-616,2,26,Gospodarka,,gospodarka,subst:sg:nom:f,NOUN,O,
pl-616,2,27,a,,a,conj,CCONJ,O,
pl-616,2,28,geopolityka,,geopolityka,subst:sg:nom:f,NOUN,O,
pl-616,2,29,.,,.,interp,PUNCT,O,
pl-616,3,1,Nord,Nord,Nord,subst:sg:nom:m3,PROPN,B-PRO,PRO-Nord-Stream-2
pl-616,3,2,Stream,Stream,Stream,subst:sg:nom:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-616,3,3,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-616,3,4,",",,",",interp,PUNCT,O,
pl-616,3,5,Ukraina,Ukraina,Ukraina,subst:sg:nom:f,PROPN,B-LOC,GPE-Ukraine
pl-616,3,6,i,,i,conj,CCONJ,O,
pl-616,3,7,bezpieczeństwo,,bezpieczeństwo,subst:sg:nom:n:ncol,NOUN,O,
pl-616,3,8,energetyczne,,energetyczny,adj:sg:nom:n:pos,ADJ,O,
pl-616,3,9,Europy,Europa,Europa,subst:sg:gen:f,PROPN,B-LOC,LOC-Europe
pl-616,3,10,”,,”,interp,PUNCT,O,
pl-616,3,11,zorganizowanej,,zorganizować,ppas:sg:gen:f:perf:aff,ADJ,O,
pl-616,3,12,przez,,przez,prep:acc:nwok,ADP,O,
pl-616,3,13,Misję,Misja,misja,subst:sg:acc:f,NOUN,B-ORG,ORG-US-Mission
pl-616,3,14,Stanów,Stanów,Stany,subst:pl:gen:n:pt,PROPN,I-ORG,ORG-US-Mission
pl-616,3,15,Zjednoczonych,Zjednoczonych,Zjednoczone,adj:pl:gen:n:pos,ADJ,I-ORG,ORG-US-Mission
