docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-30,0,1,Польша,Польша,Польша,,PROPN,B-LOC,GPE-Poland
ru-30,0,2,:,,:,,PUNCT,O,
ru-30,0,3,мы,,мы,,PRON,O,
ru-30,0,4,будем,,быть,,AUX,O,
ru-30,0,5,блокировать,,блокировать,,VERB,O,
ru-30,0,6,"""",,"""",,PUNCT,O,
ru-30,0,7,Северный,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-30,0,8,поток,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-30,0,9,-,-,-,,PUNCT,I-PRO,PRO-Nord-Stream-2
ru-30,0,10,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-30,0,11,"""",,"""",,PUNCT,O,
ru-30,1,1,Польша,Польша,Польша,,PROPN,B-LOC,GPE-Poland
ru-30,1,2,будет,,быть,,AUX,O,
ru-30,1,3,продолжать,,продолжать,,VERB,O,
ru-30,1,4,попытки,,попытка,,NOUN,O,
ru-30,1,5,заблокировать,,блокировать,,VERB,O,
ru-30,1,6,строительство,,строительство,,NOUN,O,
ru-30,1,7,газопровода,,газопровод,,NOUN,O,
ru-30,1,8,"""",,"""",,PUNCT,O,
ru-30,1,9,Северный,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-30,1,10,поток,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-30,1,11,-,-,-,,PUNCT,I-PRO,PRO-Nord-Stream-2
ru-30,1,12,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-30,1,13,"""",,"""",,PUNCT,O,
ru-30,1,14,.,,.,,PUNCT,O,
ru-30,2,1,С,,с,,ADP,O,
ru-30,2,2,данным,,данные,,NOUN,O,
ru-30,2,3,заявлением,,заявление,,NOUN,O,
ru-30,2,4,выступил,,выступить,,VERB,O,
ru-30,2,5,министр,,министр,,NOUN,O,
ru-30,2,6,иностранных,,иностранный,,ADJ,O,
ru-30,2,7,дел,,дело,,NOUN,O,
ru-30,2,8,страны,,страна,,NOUN,O,
ru-30,2,9,Яцек,Яцек,Яцек,,PROPN,B-PER,PER-Jacek-Czaputowicz
ru-30,2,10,Чапутович,Чапутович,Чапутович,,PROPN,I-PER,PER-Jacek-Czaputowicz
ru-30,2,11,",",,",",,PUNCT,O,
ru-30,2,12,передает,,передавать,,VERB,O,
ru-30,2,13,ONLINE.UA,ONLINE.UA,ONLINE.UA,,PROPN,B-ORG,ORG-ONLINE.UA
ru-30,2,14,со,,с,,ADP,O,
ru-30,2,15,ссылкой,,ссылка,,NOUN,O,
ru-30,2,16,на,,на,,ADP,O,
ru-30,2,17,"""",,"""",,PUNCT,O,
ru-30,2,18,Польское,Польское,польский,,ADJ,B-ORG,PRO-PolishRadio
ru-30,2,19,радио,радио,радио,,NOUN,I-ORG,PRO-PolishRadio
ru-30,2,20,"""",,"""",,PUNCT,O,
ru-30,2,21,.,,.,,PUNCT,O,
ru-30,3,1,Стоит,,стоить,,VERB,O,
ru-30,3,2,отметить,,отметить,,VERB,O,
ru-30,3,3,",",,",",,PUNCT,O,
ru-30,3,4,что,,что,,SCONJ,O,
ru-30,3,5,именно,,именно,,PART,O,
ru-30,3,6,эта,,этот,,DET,O,
ru-30,3,7,тема,,тема,,NOUN,O,
ru-30,3,8,стала,,стать,,VERB,O,
ru-30,3,9,ведущей,,вести,,VERB,O,
ru-30,3,10,в,,в,,ADP,O,
ru-30,3,11,ходе,,ход,,NOUN,O,
ru-30,3,12,безопасности,,безопасность,,NOUN,O,
ru-30,3,13,форума,,форум,,NOUN,O,
ru-30,3,14,в,,в,,ADP,O,
ru-30,3,15,Варшаве,,Варшава,,PROPN,O,
ru-30,3,16,(,,(,,PUNCT,O,
ru-30,3,17,Warsaw,Warsaw,Warsaw,,PROPN,B-EVT,EVT-World-Economic-Forum-Davos
ru-30,3,18,Security,Security,Security,,PROPN,I-EVT,EVT-World-Economic-Forum-Davos
ru-30,3,19,Forum,Forum,Forum,,PROPN,I-EVT,EVT-World-Economic-Forum-Davos
ru-30,3,20,2018,2018,2018,,NUM,I-EVT,EVT-World-Economic-Forum-Davos
ru-30,3,21,),,),,PUNCT,O,
ru-30,3,22,.,,.,,PUNCT,O,
ru-30,4,1,Чапутович,Чапутович,Чапутович,,PROPN,B-PER,PER-Jacek-Czaputowicz
ru-30,4,2,отметил,,отметить,,VERB,O,
ru-30,4,3,",",,",",,PUNCT,O,
ru-30,4,4,что,,что,,SCONJ,O,
ru-30,4,5,газопровод,,газопровод,,NOUN,O,
ru-30,4,6,",",,",",,PUNCT,O,
ru-30,4,7,строительство,,строительство,,NOUN,O,
ru-30,4,8,которого,,который,,PRON,O,
ru-30,4,9,продолжается,,продолжаться,,VERB,O,
ru-30,4,10,и,,и,,CCONJ,O,
ru-30,4,11,каким,,какой,,DET,O,
ru-30,4,12,намерены,,намерен,,ADJ,O,
ru-30,4,13,транспортировать,,транспортировать,,VERB,O,
ru-30,4,14,российский,,российский,,ADJ,O,
ru-30,4,15,газ,,газ,,NOUN,O,
ru-30,4,16,в,,в,,ADP,O,
ru-30,4,17,Германию,Германия,Германия,,PROPN,B-LOC,GPE-Germany
ru-30,4,18,",",,",",,PUNCT,O,
ru-30,4,19,угрожает,,угрожать,,VERB,O,
ru-30,4,20,энергетической,,энергетический,,ADJ,O,
ru-30,4,21,безопасности,,безопасность,,NOUN,O,
ru-30,4,22,в,,в,,ADP,O,
ru-30,4,23,Европе,Европа,Европа,,PROPN,B-LOC,LOC-Europe
ru-30,4,24,.,,.,,PUNCT,O,
ru-30,5,1,По,,по,,ADP,O,
ru-30,5,2,мнению,,мнение,,NOUN,O,
ru-30,5,3,польского,,польский,,ADJ,O,
ru-30,5,4,политика,,политика,,NOUN,O,
ru-30,5,5,",",,",",,PUNCT,O,
ru-30,5,6,проект,,проект,,NOUN,O,
ru-30,5,7,может,,мочь,,VERB,O,
ru-30,5,8,стать,,стать,,VERB,O,
ru-30,5,9,политическим,,политический,,ADJ,O,
ru-30,5,10,инструментом,,инструмент,,NOUN,O,
ru-30,5,11,в,,в,,ADP,O,
ru-30,5,12,руках,,рука,,NOUN,O,
ru-30,5,13,России,Россия,Россия,,PROPN,B-LOC,GPE-Russia
ru-30,5,14,.,,.,,PUNCT,O,
ru-30,6,1,"""",,"""",,PUNCT,O,
ru-30,6,2,Сам,,сам,,ADJ,O,
ru-30,6,3,газ,,газ,,NOUN,O,
ru-30,6,4,—,,—,,PUNCT,O,
ru-30,6,5,это,,это,,PRON,O,
ru-30,6,6,энергетическое,,энергетический,,ADJ,O,
ru-30,6,7,сырье,,сырье,,NOUN,O,
ru-30,6,8,и,,и,,CCONJ,O,
ru-30,6,9,можно,,можно,,ADV,O,
ru-30,6,10,поставками,,поставка,,NOUN,O,
ru-30,6,11,или,,или,,CCONJ,O,
ru-30,6,12,остановкой,,остановка,,NOUN,O,
ru-30,6,13,транспортировки,,транспортировка,,NOUN,O,
ru-30,6,14,топлива,,топливо,,NOUN,O,
ru-30,6,15,оказывать,,оказывать,,VERB,O,
ru-30,6,16,давление,,давление,,NOUN,O,
ru-30,6,17,на,,на,,ADP,O,
ru-30,6,18,другие,,другой,,ADJ,O,
ru-30,6,19,государства,,государство,,NOUN,O,
ru-30,6,20,",",,",",,PUNCT,O,
ru-30,6,21,как,,как,,SCONJ,O,
ru-30,6,22,это,,это,,PRON,O,
ru-30,6,23,было,,быть,,AUX,O,
