docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-5,0,1,Rusija,Rusija,Rusija,Npfsn,PROPN,B-LOC,GPE-Russia
sl-5,0,2,in,,in,Cc,CCONJ,O,
sl-5,0,3,Ukrajina,Ukrajina,Ukrajina,Npfsn,PROPN,B-LOC,GPE-Ukraine
sl-5,0,4,nadaljujeta,,nadaljevati,Vmpr3d,VERB,O,
sl-5,0,5,plinski,,plinski,Agpmsay,ADJ,O,
sl-5,0,6,poker,,poker,Ncmsan,NOUN,O,
sl-5,1,1,Predstavništvo,Predstavništvo,predstavništvo,Ncnsn,NOUN,B-ORG,ORG-Representation-of-the-European-Commission-in-Germany
sl-5,1,2,evropske,evropske,evropski,Agpfsg,ADJ,I-ORG,ORG-Representation-of-the-European-Commission-in-Germany
sl-5,1,3,komisije,komisije,komisija,Ncfsg,NOUN,I-ORG,ORG-Representation-of-the-European-Commission-in-Germany
sl-5,1,4,v,v,v,Sl,ADP,I-ORG,ORG-Representation-of-the-European-Commission-in-Germany
sl-5,1,5,Berlinu,Berlinu,Berlin,Npmsl,PROPN,I-ORG,ORG-Representation-of-the-European-Commission-in-Germany
sl-5,1,6,je,,biti,Va-r3s-n,AUX,O,
sl-5,1,7,včeraj,,včeraj,Rgp,ADV,O,
sl-5,1,8,za,,za,Sa,ADP,O,
sl-5,1,9,nekaj,,nekaj,Rgp,DET,O,
sl-5,1,10,ur,,ura,Ncfpg,NOUN,O,
sl-5,1,11,postalo,,postati,Vmep-sn,VERB,O,
sl-5,1,12,središče,,središče,Ncnsn,NOUN,O,
sl-5,1,13,energetskega,,energetski,Agpnsg,ADJ,O,
sl-5,1,14,geopolitičnega,,geopolitičen,Agpnsg,ADJ,O,
sl-5,1,15,merjenja,,merjenje,Ncnsg,NOUN,O,
sl-5,1,16,moči,,moč,Ncfsg,NOUN,O,
sl-5,1,17,med,,med,Si,ADP,O,
sl-5,1,18,Rusijo,Rusija,Rusija,Npfsi,PROPN,B-LOC,GPE-Russia
sl-5,1,19,",",,",",Z,PUNCT,O,
sl-5,1,20,Ukrajino,Ukrajina,Ukrajina,Npfsi,PROPN,B-LOC,GPE-Ukraine
sl-5,1,21,",",,",",Z,PUNCT,O,
sl-5,1,22,Evropsko,Evropska,evropski,Agpfsi,ADJ,B-ORG,ORG-European-Union
sl-5,1,23,unijo,unija,unija,Ncfsi,NOUN,I-ORG,ORG-European-Union
sl-5,1,24,in,,in,Cc,CCONJ,O,
sl-5,1,25,tudi,,tudi,Q,PART,O,
sl-5,1,26,ZDA,ZDA,ZDA,Npfpi,PROPN,B-LOC,GPE-USA
sl-5,1,27,",",,",",Z,PUNCT,O,
sl-5,1,28,pa,,pa,Cc,CCONJ,O,
sl-5,1,29,čeprav,,čeprav,Cs,SCONJ,O,
sl-5,1,30,predstavniki,,predstavnik,Ncmpn,NOUN,O,
sl-5,1,31,slednje,,slednji,Agpfsg,ADJ,O,
sl-5,1,32,države,,država,Ncfsg,NOUN,O,
sl-5,1,33,sploh,,sploh,Q,PART,O,
sl-5,1,34,niso,,biti,Va-r3p-y,AUX,O,
sl-5,1,35,bili,,biti,Va-p-pm,AUX,O,
sl-5,1,36,prisotni,,prisoten,Agpmpn,ADJ,O,
sl-5,1,37,.,,.,Z,PUNCT,O,
sl-5,2,1,Za,,za,Sa,ADP,O,
sl-5,2,2,mizo,,miza,Ncfsa,NOUN,O,
sl-5,2,3,v,,v,Sl,ADP,O,
sl-5,2,4,diplomatskem,,diplomatski,Agpnsl,ADJ,O,
sl-5,2,5,predstavništvu,,predstavništvo,Ncnsl,NOUN,O,
sl-5,2,6,so,,biti,Va-r3p-n,AUX,O,
sl-5,2,7,sedli,,sesti,Vmep-pm,VERB,O,
sl-5,2,8,štirje,,štirje,Mlcmpn,NUM,O,
sl-5,2,9,možje,,mož,Ncmpn,NOUN,O,
sl-5,2,10,",",,",",Z,PUNCT,O,
sl-5,2,11,ki,,ki,Cs,SCONJ,O,
sl-5,2,12,naj,,naj,Q,PART,O,
sl-5,2,13,bi,,biti,Va-c,AUX,O,
sl-5,2,14,v,,v,Sl,ADP,O,
sl-5,2,15,prihodnjih,,prihodnji,Agpmpl,ADJ,O,
sl-5,2,16,mesecih,,mesec,Ncmpl,NOUN,O,
sl-5,2,17,razrešili,,razrešiti,Vmep-pm,VERB,O,
sl-5,2,18,drugi,,drug,Mlpmsay,ADJ,O,
sl-5,2,19,največji,,velik,Agsmsay,ADJ,O,
sl-5,2,20,spor,,spor,Ncmsan,NOUN,O,
sl-5,2,21,med,,med,Si,ADP,O,
sl-5,2,22,sosedama,,soseda,Ncfdi,NOUN,O,
sl-5,2,23,",",,",",Z,PUNCT,O,
sl-5,2,24,po,,po,Sl,ADP,O,
sl-5,2,25,pomembnosti,,pomembnost,Ncfsl,NOUN,O,
sl-5,2,26,takoj,,takoj,Rgp,ADV,O,
sl-5,2,27,za,,za,Si,ADP,O,
sl-5,2,28,rusko,ruska,ruski,Agpfsa,ADJ,B-EVT,EVT-Annexation-of-Crimea
sl-5,2,29,pripojitvijo,pripojitev,pripojitev,Ncfsi,NOUN,I-EVT,EVT-Annexation-of-Crimea
sl-5,2,30,Krima,Krima,Krim,Npmsg,PROPN,I-EVT,EVT-Annexation-of-Crimea
sl-5,2,31,.,,.,Z,PUNCT,O,
sl-5,3,1,Ukrajinski,Ukrajina,ukrajinski,Agpmsny,ADJ,B-LOC,GPE-Ukraine
sl-5,3,2,zunanji,,zunanji,Agpmsny,ADJ,O,
sl-5,3,3,minister,,minister,Ncmsn,NOUN,O,
sl-5,3,4,Pavlo,Pavlo,Pavlo,Npmsn,PROPN,B-PER,PER-Pavlo-Klimkin
sl-5,3,5,Klimkin,Klimkin,Klimkin,Npmsn,PROPN,I-PER,PER-Pavlo-Klimkin
sl-5,3,6,",",,",",Z,PUNCT,O,
sl-5,3,7,ruski,,ruski,Agpmsny,ADJ,O,
sl-5,3,8,energetski,,energetski,Agpmsny,ADJ,O,
sl-5,3,9,minister,,minister,Ncmsn,NOUN,O,
sl-5,3,10,Aleksander,Aleksander,Aleksander,Npmsn,PROPN,B-PER,PER-Aleksandr-Novak
sl-5,3,11,Novak,Novak,Novak,Npmsn,PROPN,I-PER,PER-Aleksandr-Novak
