docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-136,0,1,Vsi,,ves,Pg-mpn,DET,O,
sl-136,0,2,bi,,biti,Va-c,AUX,O,
sl-136,0,3,krepili,,krepiti,Vmpp-pm,VERB,O,
sl-136,0,4,glas,,glas,Ncmsan,NOUN,O,
sl-136,0,5,meščana,,meščan,Ncmsg,NOUN,O,
sl-136,0,6,",",,",",Z,PUNCT,O,
sl-136,0,7,župan,,župan,Ncmsn,NOUN,O,
sl-136,0,8,pa,,pa,Cc,CCONJ,O,
sl-136,0,9,trdi,,trditi,Vmpr3s,VERB,O,
sl-136,0,10,",",,",",Z,PUNCT,O,
sl-136,0,11,da,,da,Cs,SCONJ,O,
sl-136,0,12,je,,biti,Va-r3s-n,AUX,O,
sl-136,0,13,dovolj,,dovolj,Rgp,DET,O,
sl-136,0,14,močan,,močen,Agpmsnn,ADJ,O,
sl-136,1,1,Izjava,,izjava,Ncfsn,NOUN,O,
sl-136,1,2,je,,biti,Va-r3s-n,VERB,O,
sl-136,1,3,v,,v,Sl,ADP,O,
sl-136,1,4,delu,,del,Ncmsl,NOUN,O,
sl-136,1,5,",",,",",Z,PUNCT,O,
sl-136,1,6,ki,,ki,Cs,SCONJ,O,
sl-136,1,7,se,,se,Px------y,PRON,O,
sl-136,1,8,nanaša,,nanašati,Vmpr3s,VERB,O,
sl-136,1,9,",",,",",Z,PUNCT,O,
sl-136,1,10,da,,da,Cs,SCONJ,O,
sl-136,1,11,so,,biti,Va-r3p-n,AUX,O,
sl-136,1,12,bile,,biti,Va-p-pf,AUX,O,
sl-136,1,13,spremembe,,sprememba,Ncfpn,NOUN,O,
sl-136,1,14,prostorskega,,prostorski,Agpmsg,ADJ,O,
sl-136,1,15,načrta,,načrt,Ncmsg,NOUN,O,
sl-136,1,16,(,,(,Z,PUNCT,O,
sl-136,1,17,OPN,OPN,OPN,Npmsn,PROPN,B-PRO,PRO-OPN-Občinski-prostorski-načrt
sl-136,1,18,),,),Z,PUNCT,O,
sl-136,1,19,usklajene,,usklajen,Appfpn,ADJ,O,
sl-136,1,20,s,,z,Si,ADP,O,
sl-136,1,21,stroko,,stroka,Ncfsi,NOUN,O,
sl-136,1,22,",",,",",Z,PUNCT,O,
sl-136,1,23,sporna,,sporen,Agpfsn,ADJ,O,
sl-136,1,24,",",,",",Z,PUNCT,O,
sl-136,1,25,v,,v,Sl,ADP,O,
sl-136,1,26,delu,,delo,Ncnsl,NOUN,O,
sl-136,1,27,",",,",",Z,PUNCT,O,
sl-136,1,28,ki,,ki,Cs,SCONJ,O,
sl-136,1,29,se,,se,Px------y,PRON,O,
sl-136,1,30,nanaša,,nanašati,Vmpr3s,VERB,O,
sl-136,1,31,na,,na,Sa,ADP,O,
sl-136,1,32,dogovor,,dogovor,Ncmsan,NOUN,O,
sl-136,1,33,s,,z,Si,ADP,O,
sl-136,1,34,prebivalci,,prebivalec,Ncmpi,NOUN,O,
sl-136,1,35,",",,",",Z,PUNCT,O,
sl-136,1,36,pa,,pa,Cc,CCONJ,O,
sl-136,1,37,povsem,,povsem,Rgp,ADV,O,
sl-136,1,38,neresnična,,neresničen,Agpfsn,ADJ,O,
sl-136,1,39,.,,.,Z,PUNCT,O,
sl-136,2,1,Naj,,naj,Q,PART,O,
sl-136,2,2,na,,na,Sa,ADP,O,
sl-136,2,3,kratko,,kratek,Agpnsa,ADJ,O,
sl-136,2,4,ponovimo,,ponoviti,Vmer1p,VERB,O,
sl-136,2,5,:,,:,Z,PUNCT,O,
sl-136,2,6,leta,,leto,Ncnsg,NOUN,O,
sl-136,2,7,2010,,2010,Mdc,NUM,O,
sl-136,2,8,je,,biti,Va-r3s-n,AUX,O,
sl-136,2,9,bil,,biti,Va-p-sm,AUX,O,
sl-136,2,10,sprejet,,sprejet,Appmsnn,ADJ,O,
sl-136,2,11,OPN,OPN,OPN,Npmsn,PROPN,B-PRO,PRO-OPN-Občinski-prostorski-načrt
sl-136,2,12,za,,za,Sa,ADP,O,
sl-136,2,13,Rožno,Rožna,rožen,Agpfsa,ADJ,B-LOC,LOC-Rožna-dolina
sl-136,2,14,dolino,dolina,dolina,Ncfsa,NOUN,I-LOC,LOC-Rožna-dolina
sl-136,2,15,",",,",",Z,PUNCT,O,
sl-136,2,16,ki,,ki,Cs,SCONJ,O,
sl-136,2,17,je,,biti,Va-r3s-n,AUX,O,
sl-136,2,18,dovolil,,dovoliti,Vmep-sm,VERB,O,
sl-136,2,19,večjo,,velik,Agcfsa,ADJ,O,
sl-136,2,20,višino,,višina,Ncfsa,NOUN,O,
sl-136,2,21,hiš,,hiša,Ncfpg,NOUN,O,
sl-136,2,22,do,,do,Sg,ADP,O,
sl-136,2,23,14,,14,Mdc,NUM,O,
sl-136,2,24,metrov,,meter,Ncmpg,NOUN,O,
sl-136,2,25,in,,in,Cc,CCONJ,O,
sl-136,2,26,večji,,velik,Agcmsay,ADJ,O,
