docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-1295,0,1,Десетки,,десятка,Ncfpi,NOUN,O,
bg-1295,0,2,пътници,,пътник,Ncmpi,NOUN,O,
bg-1295,0,3,на,,на,R,ADP,O,
bg-1295,0,4,&quot,,&quot,Npmsi,PROPN,O,
bg-1295,0,5,;Райънеър&quot,,;райънеър&quot,Npmsi,PROPN,O,
bg-1295,0,6,;,,;,punct,PUNCT,O,
bg-1295,0,7,в,,в,R,ADP,O,
bg-1295,0,8,София,София,софия,Npfsi,PROPN,B-LOC,GPE-Sofia
bg-1295,0,9,чакат,,чакам,Vpitf-r3p,VERB,O,
bg-1295,0,10,полет,,полет,Ncmsi,NOUN,O,
bg-1295,0,11,за,,за,R,ADP,O,
bg-1295,0,12,Атина,Атина,атина,Npfsi,PROPN,B-LOC,GPE-Athens
bg-1295,0,13,с,,с,R,ADP,O,
bg-1295,0,14,часове,,час,Ncmpi,NOUN,O,
bg-1295,1,1,Десетки,,десятка,Ncfpi,NOUN,O,
bg-1295,1,2,пътници,,пътник,Ncmpi,NOUN,O,
bg-1295,1,3,на,,на,R,ADP,O,
bg-1295,1,4,нискотарифния,,нискотарифен,Amsh,ADJ,O,
bg-1295,1,5,авиопрвозвач,,авиопрвозвач,Ncmsi,NOUN,O,
bg-1295,1,6,"""",,"""",punct,PUNCT,O,
bg-1295,1,7,Райънеър,Райънеър,райънеър,Npmsi,PROPN,B-ORG,ORG-Ryanair
bg-1295,1,8,"""",,"""",punct,PUNCT,O,
bg-1295,1,9,чакат,,чакам,Vpitf-r3p,VERB,O,
bg-1295,1,10,вече,,вече,Dt,ADV,O,
bg-1295,1,11,часове,,час,Ncmpi,NOUN,O,
bg-1295,1,12,на,,на,R,ADP,O,
bg-1295,1,13,летището,,летище,Ncnsd,NOUN,O,
bg-1295,1,14,в,,в,R,ADP,O,
bg-1295,1,15,София,София,софия,Npfsi,PROPN,B-LOC,GPE-Sofia
bg-1295,1,16,.,,.,punct,PUNCT,O,
bg-1295,2,1,Те,,аз,Ppe-op3,PRON,O,
bg-1295,2,2,трябвало,,трябва,Vniicam-sni,VERB,O,
bg-1295,2,3,да,,да,Tx,AUX,O,
bg-1295,2,4,излетят,,излетя,Vppif-r3p,VERB,O,
bg-1295,2,5,малко,,малко,Md-pi,ADV,O,
bg-1295,2,6,преди,,преди,R,ADP,O,
bg-1295,2,7,7,,седем,Mc-pi,NUM,O,
bg-1295,2,8,часа,,час,Ncmt,NOUN,O,
bg-1295,2,9,тази,,този,Pde-os-f,DET,O,
bg-1295,2,10,сутрин,,сутрин,Ncfsi,NOUN,O,
bg-1295,2,11,за,,за,R,ADP,O,
bg-1295,2,12,Атина,Атина,атина,Npfsi,PROPN,B-LOC,GPE-Athens
bg-1295,2,13,",",,",",punct,PUNCT,O,
bg-1295,2,14,но,,но,Cc,CCONJ,O,
bg-1295,2,15,на,,на,R,ADP,O,
bg-1295,2,16,летището,,летище,Ncnsd,NOUN,O,
bg-1295,2,17,разбират,,разбирам-(се),Vpitf-r3p,VERB,O,
bg-1295,2,18,",",,",",punct,PUNCT,O,
bg-1295,2,19,че,,че,Cs,SCONJ,O,
bg-1295,2,20,полетът,,полет,Ncmsf,NOUN,O,
bg-1295,2,21,е,,съм,Vxitf-r3s,AUX,O,
bg-1295,2,22,с,,с,R,ADP,O,
bg-1295,2,23,променен,,променен,Vpptcv--smi,ADJ,O,
bg-1295,2,24,час,,час,Ncmsi,NOUN,O,
bg-1295,2,25,-,,-,punct,PUNCT,O,
bg-1295,2,26,за,,за,R,ADP,O,
bg-1295,2,27,15.30,,15.30,Mc-pi,NUM,O,
bg-1295,2,28,ч,,час,Ncmsh,NOUN,O,
bg-1295,2,29,",",,",",punct,PUNCT,O,
bg-1295,2,30,съобщава,,съобщавам,Vpitf-r3s,VERB,O,
bg-1295,2,31,b,,b,Npfsi,PROPN,O,
bg-1295,2,32,TV,,tv,Npfsi,PROPN,O,
bg-1295,2,33,.,,.,punct,PUNCT,O,
bg-1295,3,1,Така,,така,Pdm,ADV,O,
bg-1295,3,2,те,,аз,Ppe-op3,PRON,O,
bg-1295,3,3,са,,съм,Vxitf-r3p,AUX,O,
bg-1295,3,4,принудени,,принудя-(се),Vpptcv--p-i,VERB,O,
bg-1295,3,5,да,,да,Tx,AUX,O,
bg-1295,3,6,прекарат,,прекарам-(се),Vpptf-r3p,VERB,O,
bg-1295,3,7,няколко,,няколко,Mc-pi,NUM,O,
bg-1295,3,8,часа,,час,Ncmt,NOUN,O,
bg-1295,3,9,в,,в,R,ADP,O,
bg-1295,3,10,чакане,,чакане,Ncnsi,NOUN,O,
bg-1295,3,11,",",,",",punct,PUNCT,O,
bg-1295,3,12,получават,,получавам,Vpitf-r3p,VERB,O,
bg-1295,3,13,храна,,храна,Ncfsi,NOUN,O,
bg-1295,3,14,и,,и,Cp,CCONJ,O,
bg-1295,3,15,вода,,вода,Ncfsi,NOUN,O,
bg-1295,3,16,",",,",",punct,PUNCT,O,
bg-1295,3,17,какъвто,,какъвто,Pra--s-m,DET,O,
