docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cz-121,0,1,Obří,,obří,AAFS1----1A----,ADJ,O,
cz-121,0,2,stávka,,stávka,NNFS1-----A----,NOUN,O,
cz-121,0,3,Ryanairu,Ryanair,Ryanair,NNIS2-----A----,PROPN,B-ORG,ORG-Ryanair
cz-121,0,4,.,,.,Z:-------------,PUNCT,O,
cz-121,1,1,Zrušil,,zrušit,VpYS---XR-AA---,VERB,O,
cz-121,1,2,desetinu,,desetina,CyFS4----------,NUM,O,
cz-121,1,3,letů,,let,NNIP2-----A----,NOUN,O,
cz-121,1,4,",",,",",Z:-------------,PUNCT,O,
cz-121,1,5,stávkuje,,stávkovat,VB-S---3P-AA---,VERB,O,
cz-121,1,6,se,,se,P7-X4----------,PRON,O,
cz-121,1,7,v,,v,RR--6----------,ADP,O,
cz-121,1,8,šesti,,šest,Cn-P6----------,NUM,O,
cz-121,1,9,zemích,,země,NNFP6-----A----,NOUN,O,
cz-121,2,1,(,,(,Z:-------------,PUNCT,O,
cz-121,2,2,ilustrační,,ilustrační,AAIS1----1A----,ADJ,O,
cz-121,2,3,snímek,,snímek,NNIS1-----A----,NOUN,O,
cz-121,2,4,),,),Z:-------------,PUNCT,O,
cz-121,2,5,|,,|,Z:-------------,PUNCT,O,
cz-121,2,6,foto,,foto,NNNS1-----A----,NOUN,O,
cz-121,2,7,:,,:,Z:-------------,PUNCT,O,
cz-121,2,8,Reuters,Reuters,Reuters,NNIS1-----A----,PROPN,B-ORG,ORG-Reuters
cz-121,2,9,Stávka,,stávka,NNFS1-----A----,NOUN,O,
cz-121,2,10,na,,na,RR--6----------,ADP,O,
cz-121,2,11,největších,,velký,AAIP6----3A----,ADJ,O,
cz-121,2,12,trzích,,trh,NNIP6-----A----,NOUN,O,
cz-121,2,13,aerolinek,,aerolinka,NNFP2-----A----,NOUN,O,
cz-121,2,14,se,,se,P7-X4----------,PRON,O,
cz-121,2,15,zřejmě,,zřejmě,Dg-------1A----,ADV,O,
cz-121,2,16,stane,,stát,VB-S---3P-AA---,VERB,O,
cz-121,2,17,druhou,,druhý,CrFS7----------,ADJ,O,
cz-121,2,18,největší,,velký,AAFS7----3A----,ADJ,O,
cz-121,2,19,jednodenní,,jednodenní,AAFS7----1A----,ADJ,O,
cz-121,2,20,stávkou,,stávka,NNFS7-----A----,NOUN,O,
cz-121,2,21,",",,",",Z:-------------,PUNCT,O,
cz-121,2,22,když,,když,"J,-------------",SCONJ,O,
cz-121,2,23,protesty,,protest,NNIP4-----A----,NOUN,O,
cz-121,2,24,pilotů,,pilot,NNMP2-----A----,NOUN,O,
cz-121,2,25,v,,v,RR--6----------,ADP,O,
cz-121,2,26,pěti,,pět,Cn-P6----------,NUM,O,
cz-121,2,27,zemích,,země,NNFP6-----A----,NOUN,O,
cz-121,2,28,v,,v,RR--6----------,ADP,O,
cz-121,2,29,srpnu,,srpen,NNIS6-----A----,NOUN,O,
cz-121,2,30,narušily,,narušit,VpTP---XR-AA---,VERB,O,
cz-121,2,31,plány,,plán,NNIP4-----A----,NOUN,O,
cz-121,2,32,55,,55,C=-------------,NUM,O,
cz-121,2,33,000,,000,C=-------------,NUM,O,
cz-121,2,34,cestujících,,cestující,AGMP2-----A----,ADJ,O,
cz-121,2,35,",",,",",Z:-------------,PUNCT,O,
cz-121,2,36,napsala,,napsat,VpQW---XR-AA---,VERB,O,
cz-121,2,37,agentura,,agentura,NNFS1-----A----,NOUN,O,
cz-121,2,38,Reuters,Reuters,Reuters,NNIS1-----A----,PROPN,B-ORG,ORG-Reuters
cz-121,2,39,.,,.,Z:-------------,PUNCT,O,
cz-121,3,1,Loni,,vloni,Db------------1,ADV,O,
cz-121,3,2,v,,v,RR--6----------,ADP,O,
cz-121,3,3,prosinci,,prosinec,NNIS6-----A----,NOUN,O,
cz-121,3,4,Ryanair,Ryanair,Ryanair,NNIS1-----A----,PROPN,B-ORG,ORG-Ryanair
cz-121,3,5,dokázal,,dokázat,VpYS---XR-AA---,VERB,O,
cz-121,3,6,odvrátit,,odvrátit,Vf--------A----,VERB,O,
cz-121,3,7,rozsáhlé,,rozsáhlý,AAFP4----1A----,ADJ,O,
cz-121,3,8,stávky,,stávka,NNFP4-----A----,NOUN,O,
cz-121,3,9,",",,",",Z:-------------,PUNCT,O,
cz-121,3,10,když,,když,"J,-------------",SCONJ,O,
cz-121,3,11,se,,se,P7-X4----------,PRON,O,
cz-121,3,12,poprvé,,poprvé,Cv-------------,ADV,O,
cz-121,3,13,ve,,v,RV--6----------,ADP,O,
cz-121,3,14,své,,svůj,P8FS6---------1,DET,O,
cz-121,3,15,32,,32,C=-------------,NUM,O,
cz-121,3,16,leté,,letý,AAFS6----1A----,ADJ,O,
cz-121,3,17,historii,,historie,NNFS6-----A----,NOUN,O,
cz-121,3,18,rozhodl,,rozhodnout,VpYS---XR-AA--1,VERB,O,
cz-121,3,19,uznat,,uznat,Vf--------A----,VERB,O,
cz-121,3,20,odborové,,odborový,AAIP4----1A----,ADJ,O,
cz-121,3,21,svazy,,svaz,NNIP4-----A----,NOUN,O,
cz-121,3,22,.,,.,Z:-------------,PUNCT,O,
cz-121,4,1,Od,,od,RR--2----------,ADP,O,
cz-121,4,2,té,,ten,PDFS2----------,DET,O,
cz-121,4,3,doby,,doba,NNFS2-----A----,NOUN,O,
cz-121,4,4,se,,se,P7-X4----------,PRON,O,
cz-121,4,5,mu,,on,PHZS3--3-------,PRON,O,
cz-121,4,6,však,,však,J^-------------,CCONJ,O,
cz-121,4,7,nepodařilo,,podařit,VpNS---XR-NA---,VERB,O,
cz-121,4,8,s,,s,RR--7----------,ADP,O,
cz-121,4,9,řadou,,řada,NNFS7-----A----,NOUN,O,
cz-121,4,10,z,,z,RR--2----------,ADP,O,
cz-121,4,11,nich,,on,P5XP2--3-------,PRON,O,
cz-121,4,12,uzavřít,,uzavřít,Vf--------A----,VERB,O,
cz-121,4,13,dohody,,dohoda,NNFP4-----A----,NOUN,O,
cz-121,4,14,o,,o,RR--6----------,ADP,O,
cz-121,4,15,pracovních,,pracovní,AAFP6----1A----,ADJ,O,
cz-121,4,16,podmínkách,,podmínka,NNFP6-----A----,NOUN,O,
cz-121,4,17,.,,.,Z:-------------,PUNCT,O,
cz-121,5,1,V,,v,RR--6----------,ADP,O,
cz-121,5,2,létě,,léto,NNNS6-----A----,NOUN,O,
cz-121,5,3,tak,,tak,Db-------------,ADV,O,
cz-121,5,4,následovala,,následovat,VpQW---XR-AA---,VERB,O,
cz-121,5,5,největší,,velký,AAFS1----3A----,ADJ,O,
cz-121,5,6,vlna,,vlna,NNFS1-----A----,NOUN,O,
cz-121,5,7,stávek,,stávka,NNFP2-----A----,NOUN,O,
cz-121,5,8,v,,v,RR--6----------,ADP,O,
cz-121,5,9,historii,,historie,NNFS6-----A----,NOUN,O,
cz-121,5,10,firmy,,firma,NNFS2-----A----,NOUN,O,
cz-121,5,11,a,,a,J^-------------,CCONJ,O,
cz-121,5,12,rušení,,rušení,NNNS1-----A----,NOUN,O,
cz-121,5,13,stovek,,stovka,NNFP2-----A----,NOUN,O,
cz-121,5,14,letů,,let,NNIP2-----A----,NOUN,O,
cz-121,5,15,.,,.,Z:-------------,PUNCT,O,
cz-121,6,1,Ryanair,Ryanair,Ryanair,NNIS1-----A----,PROPN,B-ORG,ORG-Ryanair
cz-121,6,2,původně,,původně,Dg-------1A----,ADV,O,
cz-121,6,3,uváděl,,uvádět,VpYS---XR-AA---,VERB,O,
cz-121,6,4,",",,",",Z:-------------,PUNCT,O,
cz-121,6,5,že,,že,"J,-------------",SCONJ,O,
cz-121,6,6,dnes,,dnes,Db-------------,ADV,O,
cz-121,6,7,zruší,,zrušit,VB-S---3P-AA---,VERB,O,
cz-121,6,8,150,,150,C=-------------,NUM,O,
cz-121,6,9,letů,,let,NNIP2-----A----,NOUN,O,
cz-121,6,10,",",,",",Z:-------------,PUNCT,O,
cz-121,6,11,později,,pozdě,Dg-------2A----,ADV,O,
cz-121,6,12,však,,však,J^-------------,CCONJ,O,
cz-121,6,13,musel,,muset,VpYS---XR-AA---,VERB,O,
cz-121,6,14,tento,,tento,PDIS4----------,DET,O,
cz-121,6,15,počet,,počet,NNIS4-----A----,NOUN,O,
cz-121,6,16,zvýšit,,zvýšit,Vf--------A----,VERB,O,
cz-121,6,17,",",,",",Z:-------------,PUNCT,O,
cz-121,6,18,protože,,protože,"J,-------------",SCONJ,O,
cz-121,6,19,se,,se,P7-X4----------,PRON,O,
cz-121,6,20,ke,,k,RV--3----------,ADP,O,
cz-121,6,21,stávce,,stávka,NNFS3-----A----,NOUN,O,
cz-121,6,22,původně,,původně,Dg-------1A----,ADV,O,
cz-121,6,23,jen,,jen,TT-------------,PART,O,
cz-121,6,24,zaměstnanců,,zaměstnanec,NNMP2-----A----,NOUN,O,
cz-121,6,25,palubního,,palubní,AAIS2----1A----,ADJ,O,
cz-121,6,26,personálu,,personál,NNIS2-----A----,NOUN,O,
cz-121,6,27,připojili,,připojit,VpMP---XR-AA---,VERB,O,
cz-121,6,28,také,,také,Db-------------,ADV,O,
cz-121,6,29,piloti,,pilot,NNMP1-----A----,NOUN,O,
cz-121,6,30,v,,v,RR--6----------,ADP,O,
cz-121,6,31,Německu,Německo,Německo,NNNS6-----A----,PROPN,B-LOC,GPE-Germany
cz-121,6,32,.,,.,Z:-------------,PUNCT,O,
cz-121,7,1,Dnes,,dnes,Db-------------,ADV,O,
cz-121,7,2,firma,,firma,NNFS1-----A----,NOUN,O,
cz-121,7,3,uvedla,,uvést,VpQW---XR-AA---,VERB,O,
cz-121,7,4,",",,",",Z:-------------,PUNCT,O,
cz-121,7,5,že,,že,"J,-------------",SCONJ,O,
cz-121,7,6,se,,se,P7-X4----------,PRON,O,
cz-121,7,7,uskuteční,,uskutečnit,VB-S---3P-AA---,VERB,O,
cz-121,7,8,více,,hodně,Dg-------2A----,ADV,O,
cz-121,7,9,než,,než,"J,-------------",SCONJ,O,
cz-121,7,10,2,,2,C=-------------,NUM,O,
cz-121,7,11,150,,150,C=-------------,NUM,O,
cz-121,7,12,z,,z,RR--2----------,ADP,O,
cz-121,7,13,původně,,původně,Dg-------1A----,ADV,O,
cz-121,7,14,naplánovaných,,naplánovaný,AAIP2----1A----,ADJ,O,
cz-121,7,15,2,,2,C=-------------,NUM,O,
cz-121,7,16,400,,400,C=-------------,NUM,O,
cz-121,7,17,letů,,let,NNIP2-----A----,NOUN,O,
cz-121,7,18,.,,.,Z:-------------,PUNCT,O,
cz-121,8,1,Zrušen,,zrušený,VsYS---XX-AP---,ADJ,O,
cz-121,8,2,byl,,být,VpYS---XR-AA---,AUX,O,
cz-121,8,3,i,,i,J^-------------,CCONJ,O,
cz-121,8,4,dopolední,,dopolední,AANS1----1A----,ADJ,O,
cz-121,8,5,let,,rok,NNNS1-----A----,NOUN,O,
cz-121,8,6,mezi,,mezi,RR--7----------,ADP,O,
cz-121,8,7,Prahou,Praha,Praha,NNFS7-----A----,PROPN,B-LOC,GPE-Prague
cz-121,8,8,a,,a,J^-------------,CCONJ,O,
cz-121,8,9,nizozemským,,nizozemský,AAIS7----1A----,ADJ,O,
cz-121,8,10,Eidhovenem,Eindhoven,Eidhoven,NNMS7-----A----,PROPN,B-LOC,GPE-Eindhoven
cz-121,8,11,.,,.,Z:-------------,PUNCT,O,
cz-121,9,1,„,,„,Db-------------,ADV,O,
cz-121,9,2,Mačkají,,mačkat,VB-P---3P-AA---,VERB,O,
cz-121,9,3,nás,,já,PP-P4--1-------,PRON,O,
cz-121,9,4,jako,,jako,"J,-------------",SCONJ,O,
cz-121,9,5,citrony,,citron,NNIP1-----A----,NOUN,O,
cz-121,9,6,“,,“,Z:-------------,PUNCT,O,
cz-121,10,1,Stávkující,,stávkující,AGMP1-----A----,ADJ,O,
cz-121,10,2,dnes,,dnes,Db-------------,ADV,O,
cz-121,10,3,protestovali,,protestovat,VpMP---XR-AA---,VERB,O,
cz-121,10,4,na,,na,RR--6----------,ADP,O,
cz-121,10,5,letištích,,letiště,NNNP6-----A----,NOUN,O,
cz-121,10,6,s,,s,RR--7----------,ADP,O,
cz-121,10,7,plakáty,,plakát,NNIP7-----A----,NOUN,O,
cz-121,10,8,s,,s,RR--7----------,ADP,O,
cz-121,10,9,nápisem,,nápis,NNIS7-----A----,NOUN,O,
cz-121,10,10,„,,„,NNISX-----A----,NOUN,O,
cz-121,10,11,Ryanair,Ryanair,Ryanair,NNFS1-----A----,PROPN,B-ORG,ORG-Ryanair
cz-121,10,12,se,,se,P7-X4----------,PRON,O,
cz-121,10,13,musí,,muset,VB-P---3P-AA---,VERB,O,
cz-121,10,14,změnit,,změnit,Vf--------A----,VERB,O,
cz-121,10,15,“,,“,NNIS1-----A----,NOUN,O,
cz-121,10,16,.,,.,Z:-------------,PUNCT,O,
cz-121,11,1,„,,„,Db-------------,ADV,O,
cz-121,11,2,Nestarají,,starat,VB-P---3P-NA---,VERB,O,
cz-121,11,3,se,,se,P7-X4----------,PRON,O,
cz-121,11,4,o,,o,RR--4----------,ADP,O,
cz-121,11,5,nás,,já,PP-P4--1-------,PRON,O,
cz-121,11,6,.,,.,Z:-------------,PUNCT,O,
cz-121,12,1,Jsme,,být,VB-P---1P-AA---,AUX,O,
cz-121,12,2,jen,,jen,TT-------------,PART,O,
cz-121,12,3,čísla,,číslo,NNNP4-----A----,NOUN,O,
cz-121,12,4,.,,.,Z:-------------,PUNCT,O,
cz-121,13,1,Jsme,,být,VB-P---1P-AA---,AUX,O,
cz-121,13,2,citrony,,citron,NNIP1-----A----,NOUN,O,
cz-121,13,3,",",,",",Z:-------------,PUNCT,O,
cz-121,13,4,které,,který,P4IP1----------,DET,O,
cz-121,13,5,se,,se,P7-X4----------,PRON,O,
cz-121,13,6,mají,,mít,VB-P---3P-AA---,VERB,O,
