docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-2011,0,1,Levné,,levný,AAFP1----1A----,ADJ,O,
cs-2011,0,2,aerolinky,,aerolinka,NNFP1-----A----,NOUN,O,
cs-2011,0,3,jako,,jako,"J,-------------",SCONJ,O,
cs-2011,0,4,továrna,,továrna,NNFS1-----A----,NOUN,O,
cs-2011,0,5,na,,na,RR--4----------,ADP,O,
cs-2011,0,6,peníze,,peníze,NNIP4-----A----,NOUN,O,
cs-2011,0,7,.,,.,Z:-------------,PUNCT,O,
cs-2011,1,1,Z,,z,RR--2----------,ADP,O,
cs-2011,1,2,letenek,,letenka,NNFP2-----A----,NOUN,O,
cs-2011,1,3,mají,,mít,VB-P---3P-AA---,VERB,O,
cs-2011,1,4,marži,,marže,NNFS4-----A----,NOUN,O,
cs-2011,1,5,i,,i,J^-------------,CCONJ,O,
cs-2011,1,6,27,,27,C=-------------,NUM,O,
cs-2011,1,7,procent,,procento,NNNP2-----A----,NOUN,O,
cs-2011,2,1,Levná,,levný,AAFS1----1A----,ADJ,O,
cs-2011,2,2,ropa,,ropa,NNFS1-----A----,NOUN,O,
cs-2011,2,3,a,,a,J^-------------,CCONJ,O,
cs-2011,2,4,dostatek,,dostatek,NNIS1-----A----,NOUN,O,
cs-2011,2,5,cestujících,,cestující,AGMP2-----A----,ADJ,O,
cs-2011,2,6,dostávají,,dostávat,VB-P---3P-AA---,VERB,O,
cs-2011,2,7,do,,do,RR--2----------,ADP,O,
cs-2011,2,8,zisku,,zisk,NNIS2-----A----,NOUN,O,
cs-2011,2,9,letos,,letos,Db-------------,ADV,O,
cs-2011,2,10,i,,i,J^-------------,CCONJ,O,
cs-2011,2,11,aerolinky,,aerolinka,NNFP4-----A----,NOUN,O,
cs-2011,2,12,",",,",",Z:-------------,PUNCT,O,
cs-2011,2,13,které,,který,P4FP1----------,DET,O,
cs-2011,2,14,dlouhodobě,,dlouhodobě,Dg-------1A----,ADV,O,
cs-2011,2,15,prodělávaly,,prodělávat,VpTP---XR-AA---,VERB,O,
cs-2011,2,16,.,,.,Z:-------------,PUNCT,O,
cs-2011,3,1,Vítězem,,vítěz,NNMS7-----A----,NOUN,O,
cs-2011,3,2,současné,,současný,AAFS2----1A----,ADJ,O,
cs-2011,3,3,situace,,situace,NNFS2-----A----,NOUN,O,
cs-2011,3,4,jsou,,být,VB-P---3P-AA---,AUX,O,
cs-2011,3,5,ale,,ale,J^-------------,CCONJ,O,
cs-2011,3,6,jednoznačně,,jednoznačně,Dg-------1A----,ADV,O,
cs-2011,3,7,nízkonákladové,,nízkonákladový,AAFP1----1A----,ADJ,O,
cs-2011,3,8,společnosti,,společnost,NNFP1-----A----,NOUN,O,
cs-2011,3,9,.,,.,Z:-------------,PUNCT,O,
cs-2011,4,1,Dosahují,,dosahovat,VB-P---3P-AA---,VERB,O,
cs-2011,4,2,i,,i,J^-------------,CCONJ,O,
cs-2011,4,3,více,,hodně,Dg-------2A----,ADV,O,
cs-2011,4,4,než,,než,"J,-------------",SCONJ,O,
cs-2011,4,5,čtvrtinové,,čtvrtinový,AAFP1----1A----,ADJ,O,
cs-2011,4,6,marže,,marže,NNFS1-----A----,NOUN,O,
cs-2011,4,7,.,,.,Z:-------------,PUNCT,O,
cs-2011,5,1,Letadla,,letadlo,NNNP1-----A----,NOUN,O,
cs-2011,5,2,společnosti,,společnost,NNFS2-----A----,NOUN,O,
cs-2011,5,3,easyJet,,easyJet,NNIS1-----A----,NOUN,O,
cs-2011,5,4,|,,|,Z:-------------,PUNCT,O,
cs-2011,5,5,foto,,foto,NNNS1-----A----,NOUN,O,
cs-2011,5,6,:,,:,Z:-------------,PUNCT,O,
cs-2011,5,7,Reuters,Reuters,Reuters,NNIS1-----A----,PROPN,B-ORG,ORG-Reuters
cs-2011,6,1,Výbornou,,výborný,AAFS4----1A----,ADJ,O,
cs-2011,6,2,kondici,,kondice,NNFS4-----A----,NOUN,O,
cs-2011,6,3,ukazují,,ukazovat,VB-P---3P-AA---,VERB,O,
cs-2011,6,4,postupně,,postupně,Dg-------1A----,ADV,O,
cs-2011,6,5,zveřejňované,,zveřejňovaný,AAIP1----1A----,ADJ,O,
cs-2011,6,6,výsledky,,výsledek,NNIP1-----A----,NOUN,O,
cs-2011,6,7,za,,za,RR--4----------,ADP,O,
cs-2011,6,8,poslední,,poslední,AANS4----1A----,ADJ,O,
cs-2011,6,9,čtvrtletí,,čtvrtletí,NNNS4-----A----,NOUN,O,
cs-2011,6,10,",",,",",Z:-------------,PUNCT,O,
cs-2011,6,11,pro,,pro,RR--4----------,ADP,O,
cs-2011,6,12,většinu,,většina,NNFS4-----A----,NOUN,O,
cs-2011,6,13,aerolinek,,aerolinka,NNFP2-----A----,NOUN,O,
cs-2011,6,14,nejsilnější,,silný,AAFS1----3A----,ADJ,O,
cs-2011,6,15,část,,část,NNFS4-----A----,NOUN,O,
cs-2011,6,16,roku,,rok,NNIS2-----A---1,NOUN,O,
cs-2011,6,17,.,,.,Z:-------------,PUNCT,O,
cs-2011,7,1,Zatímco,,zatímco,"J,-------------",SCONJ,O,
