docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-141,0,1,Piloci,,piloty,subst:pl:nom:m1,NOUN,O,
pl-141,0,2,Ryanaira,Ryanair,Ryanaira,subst:sg:gen:m3,PROPN,B-ORG,ORG-Ryanair
pl-141,0,3,strajkują,,strajkiwać,fin:pl:ter:imperf,VERB,O,
pl-141,0,4,.,,.,interp,PUNCT,O,
pl-141,1,1,Co,,co,subst:sg:acc:n:ncol,PRON,O,
pl-141,1,2,mają,,mieć,fin:pl:ter:imperf,VERB,O,
pl-141,1,3,zrobić,,zrobić,inf:perf,VERB,O,
pl-141,1,4,turyści,,turysta,subst:pl:nom:m1,NOUN,O,
pl-141,1,5,?,,?,interp,PUNCT,O,
pl-141,2,1,Największa,,wielki,adj:sg:nom:f:sup,ADJ,O,
pl-141,2,2,linia,,linia,subst:sg:nom:f,NOUN,O,
pl-141,2,3,niskokosztowa,,niskokosztowy,adj:sg:nom:f:pos,ADJ,O,
pl-141,2,4,Ryanair,Ryanair,Ryanair,subst:sg:nom:m3,PROPN,B-ORG,ORG-Ryanair
pl-141,2,5,zmuszona,,zmusić,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-141,2,6,została,,zostać,praet:sg:f:perf,AUX,O,
pl-141,2,7,do,,do,prep:gen,ADP,O,
pl-141,2,8,odwołania,,odwołać,ger:sg:gen:n:perf:aff,NOUN,O,
pl-141,2,9,30,,30,num:pl:gen:m3:congr,NUM,O,
pl-141,2,10,z,,z,prep:gen:nwok,ADP,O,
pl-141,2,11,290,,290,num:pl:gen:m3:congr,NUM,O,
pl-141,2,12,lotów,,lot,subst:pl:gen:m3,NOUN,O,
pl-141,2,13,z,,z,prep:gen:nwok,ADP,O,
pl-141,2,14,Dublina,Dublin,Dublin,subst:sg:gen:m3,PROPN,B-LOC,GPE-Dublin
pl-141,2,15,do,,do,prep:gen,ADP,O,
pl-141,2,16,Wielkiej,Wielka,Wielki,adj:sg:gen:f:pos,ADJ,B-LOC,GPE-Great-Britain
pl-141,2,17,Brytanii,Brytania,Brytania,subst:sg:gen:f,PROPN,I-LOC,GPE-Great-Britain
pl-141,2,18,i,,i,conj,CCONJ,O,
pl-141,2,19,Portugalii,Portugalia,Portugalia,subst:sg:gen:f,PROPN,B-LOC,GPE-Portugal
pl-141,2,20,",",,",",interp,PUNCT,O,
pl-141,2,21,Francji,Francja,Francja,subst:sg:gen:f,PROPN,B-LOC,GPE-France
pl-141,2,22,",",,",",interp,PUNCT,O,
pl-141,2,23,Hiszpanii,Hiszpanie,Hiszpania,subst:sg:gen:f,PROPN,B-PER,GPE-Spain
pl-141,2,24,",",,",",interp,PUNCT,O,
pl-141,2,25,Włoch,Włochy,Włochy,subst:pl:gen:n:pt,PROPN,B-LOC,GPE-Italy
pl-141,2,26,i,,i,conj,CCONJ,O,
pl-141,2,27,Grecji,Grecja,Grecja,subst:sg:gen:f,PROPN,B-LOC,GPE-Greece
pl-141,2,28,.,,.,interp,PUNCT,O,
pl-141,3,1,Powodem,,powód,subst:sg:inst:m3,NOUN,O,
pl-141,3,2,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-141,3,3,24-godzinny,,24-godzinny,adj:sg:nom:m3:pos,ADJ,O,
pl-141,3,4,strajk,,strajk,subst:sg:nom:m3,NOUN,O,
pl-141,3,5,irlandzkich,,irlandzki,adj:pl:gen:m1:pos,ADJ,O,
pl-141,3,6,pilotów,,pilot,subst:pl:gen:m1,NOUN,O,
pl-141,3,7,.,,.,interp,PUNCT,O,
pl-141,4,1,Żaden,,żaden,adj:sg:nom:m3:pos,DET,O,
pl-141,4,2,z,,z,prep:gen:nwok,ADP,O,
pl-141,4,3,rejsów,,rejs,subst:pl:gen:m3,NOUN,O,
pl-141,4,4,do,,do,prep:gen,ADP,O,
