docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
uk-231,0,1,Бортпровідники,,бортпровідник,Ncmpny,NOUN,O,
uk-231,0,2,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-231,0,3,проведуть,,провести,Vmeif3p,VERB,O,
uk-231,0,4,страйк,,страйк,Ncmsan,NOUN,O,
uk-231,0,5,у,,у,Spsl,ADP,O,
uk-231,0,6,п'яти,,п’ять,Mlc-l,NUM,O,
uk-231,0,7,європейських,,європейський,Ao--plf,ADJ,O,
uk-231,0,8,країнах,,країна,Ncfpln,NOUN,O,
uk-231,0,9,28,,28,Mlonsg,ADJ,O,
uk-231,0,10,вересня,,вересень,Ncmsgn,NOUN,O,
uk-231,1,1,Бортпровідники,,бортпровідник,Ncmpny,NOUN,O,
uk-231,1,2,ірландської,,ірландський,Ao-fsgf,ADJ,O,
uk-231,1,3,бюджетної,,бюджетний,Ao-fsgf,ADJ,O,
uk-231,1,4,авіакомпанії,,авіакомпанія,Ncfsgn,NOUN,O,
uk-231,1,5,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-231,1,6,28,,28,Mlonsg,ADJ,O,
uk-231,1,7,вересня,,вересень,Ncmsgn,NOUN,O,
uk-231,1,8,проведуть,,провести,Vmeif3p,VERB,O,
uk-231,1,9,страйк,,страйк,Ncmsan,NOUN,O,
uk-231,1,10,у,,у,Spsl,ADP,O,
uk-231,1,11,п'яти,,п’ятий,Ao--plf,ADJ,O,
uk-231,1,12,європейських,,європейський,Ao--plf,ADJ,O,
uk-231,1,13,країнах,,країна,Ncfpln,NOUN,O,
uk-231,1,14,:,,:,U,PUNCT,O,
uk-231,1,15,Бельгії,Бельгія,Бельгія,Npfsln,PROPN,B-LOC,GPE-Belgium
uk-231,1,16,",",,",",U,PUNCT,O,
uk-231,1,17,Іспанії,Іспанія,Іспанія,Npfsln,PROPN,B-LOC,GPE-Spain
uk-231,1,18,",",,",",U,PUNCT,O,
uk-231,1,19,Італії,Італія,Італія,Npfsln,PROPN,B-LOC,GPE-Italy
uk-231,1,20,",",,",",U,PUNCT,O,
uk-231,1,21,Нідерландах,Нідерланди,Нідерландах,Np-pln,PROPN,B-LOC,GPE-Holland
uk-231,1,22,і,,і,Ccs,CCONJ,O,
uk-231,1,23,Португалії,Португалія,Португалія,Npfsln,PROPN,B-LOC,GPE-Portugal
uk-231,1,24,",",,",",U,PUNCT,O,
uk-231,1,25,пише,,писати,Vmpip3s,VERB,O,
uk-231,1,26,бельгійська,,бельгійський,Ao-fsns,ADJ,O,
uk-231,1,27,L'Echo,L'Echo,L'Echo,X,X,B-ORG,ORG-L'Echo-News
uk-231,1,28,.,,.,U,PUNCT,O,
uk-231,2,1,Питання,,питання,Ncnsnn,NOUN,O,
uk-231,2,2,про,,про,Spsa,ADP,O,
uk-231,2,3,акцію,,акція,Ncfsan,NOUN,O,
uk-231,2,4,обговорювалося,,обговорюватися,Vmpis-sn,VERB,O,
uk-231,2,5,вже,,вже,R,ADV,O,
uk-231,2,6,кілька,,кілька,Mlc-a,DET,O,
uk-231,2,7,тижнів,,тиждень,Ncmpgn,NOUN,O,
uk-231,2,8,",",,",",U,PUNCT,O,
uk-231,2,9,представники,,представник,Ncmpny,NOUN,O,
uk-231,2,10,профспілок,,профспілок,Ncfpgn,NOUN,O,
uk-231,2,11,підтвердили,,підтвердити,Vmeis-p,VERB,O,
uk-231,2,12,дату,,дата,Ncfsan,NOUN,O,
uk-231,2,13,на,,на,Spsl,ADP,O,
uk-231,2,14,прес,,пресовий,A,ADJ,O,
uk-231,2,15,-,,-,U,PUNCT,O,
uk-231,2,16,конференції,,конференція,Ncfsln,NOUN,O,
uk-231,2,17,в,,в,Spsl,ADP,O,
uk-231,2,18,Брюсселі,Брюссель,Брюссель,Npmsln,PROPN,B-LOC,GPE-Brussles
uk-231,2,19,у,,у,Spsa,ADP,O,
uk-231,2,20,четвер,,четвер,Ncmsan,NOUN,O,
uk-231,2,21,.,,.,U,PUNCT,O,
uk-231,3,1,Раніше,,раніше,Rc,ADV,O,
uk-231,3,2,цього,,цей,Pd--m-sga,DET,O,
uk-231,3,3,місяця,,місяць,Ncmsgn,NOUN,O,
uk-231,3,4,сім,,сей,Ncfpnn,NOUN,O,
uk-231,3,5,профспілок,,профспілок,Ncfpgn,NOUN,O,
uk-231,3,6,",",,",",U,PUNCT,O,
uk-231,3,7,до,,до,Spsg,ADP,O,
uk-231,3,8,яких,,який,Pr----pga,DET,O,
uk-231,3,9,входять,,входити,Vmpip3p,VERB,O,
uk-231,3,10,працівники,,працівник,Ncmpny,NOUN,O,
uk-231,3,11,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-231,3,12,",",,",",U,PUNCT,O,
uk-231,3,13,заявляли,,заявляти,Vmpis-p,VERB,O,
uk-231,3,14,",",,",",U,PUNCT,O,
uk-231,3,15,що,,що,Css,SCONJ,O,
uk-231,3,16,страйк,,страйк,Ncmsnn,NOUN,O,
uk-231,3,17,може,,могти,Vmpip3s,VERB,O,
uk-231,3,18,стати,,стати,Vmen,VERB,O,
uk-231,3,19,найбільшим,,найбільший,Afcmsif,ADJ,O,
uk-231,3,20,в,,в,Spsl,ADP,O,
uk-231,3,21,історії,,історія,Ncfsln,NOUN,O,
uk-231,3,22,авіаперевізника,,авіаперевізник,Ncmsgn,NOUN,O,
uk-231,3,23,.,,.,U,PUNCT,O,
uk-231,4,1,За,,за,Spsi,ADP,O,
uk-231,4,2,словами,,слово,Ncnpin,NOUN,O,
uk-231,4,3,представника,,представник,Ncmsgy,NOUN,O,
uk-231,4,4,бельгійської,,бельгійський,Ao-fsgf,ADJ,O,
uk-231,4,5,профспілки,,профспілка,Ncfsgn,NOUN,O,
