docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
147,0,1,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
147,0,2,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
147,0,3,bi,,biti,Vaa3s,AUX,O,
147,0,4,natjerao,,natjerati,Vmp-sm,VERB,O,
147,0,5,Apple,apple,Apple,Npmsa,PROPN,B-ORG,149
147,0,6,i,,i,Cc,CCONJ,O,
147,0,7,ostale,,ostali,Agpfpay,ADJ,O,
147,0,8,tehnološke,,tehnološki,Agpfpay,ADJ,O,
147,0,9,tvrtke,,tvrtka,Ncfpa,NOUN,O,
147,0,10,da,,da,Cs,SCONJ,O,
147,0,11,proizvode,,proizvoditi,Vmr3p,VERB,O,
147,0,12,svoje,,svoj,Px-mpa,DET,O,
147,0,13,uređaje,,uređaj,Ncmpa,NOUN,O,
147,0,14,u,,u,Sl,ADP,O,
147,0,15,SAD-u,sad,SAD,Npmsl,PROPN,B-LOC,2
147,1,1,Predsjednička,,predsjednički,Agpfsny,ADJ,O,
147,1,2,kampanja,,kampanja,Ncfsn,NOUN,O,
147,1,3,u,,u,Sl,ADP,O,
147,1,4,Sjedinjenim,sjedinjene,sjedinjen,Agpfply,ADJ,B-LOC,2
147,1,5,Američkim,američke,američki,Agpfply,ADJ,I-LOC,2
147,1,6,Državama,države,država,Ncfpl,NOUN,I-LOC,2
147,1,7,u,,u,Sl,ADP,O,
147,1,8,punom,,pun,Agpmsly,ADJ,O,
147,1,9,je,,biti,Var3s,AUX,O,
147,1,10,naletu,,nalet,Ncmsl,NOUN,O,
147,1,11,jer,,jer,Cs,SCONJ,O,
147,1,12,slijede,,slijediti,Vmr3p,VERB,O,
147,1,13,preliminarni,,preliminarni,Agpmpny,ADJ,O,
147,1,14,izbori,,izbor,Ncmpn,NOUN,O,
147,1,15,u,,u,Sl,ADP,O,
147,1,16,republikanskom,,republikanski,Agpmsly,ADJ,O,
147,1,17,i,,i,Cc,CCONJ,O,
147,1,18,demokratskom,,demokratski,Agpmsly,ADJ,O,
147,1,19,stožeru,,stožer,Ncmsl,NOUN,O,
147,1,20,",",,",",Z,PUNCT,O,
147,1,21,a,,a,Cc,CCONJ,O,
147,1,22,potom,,potom,Rgp,ADV,O,
147,1,23,i,,i,Cc,CCONJ,O,
147,1,24,sami,,sam,Agpmpny,ADJ,O,
147,1,25,izbori,,izbor,Ncmpn,NOUN,O,
147,1,26,za,,za,Sa,ADP,O,
147,1,27,nasljednika,,nasljednik,Ncmsay,NOUN,O,
147,1,28,Baracka,barack,Baracko,Npmsg,PROPN,B-PER,16
147,1,29,Obame,obama,Obame,Npmsg,PROPN,I-PER,16
147,1,30,.,,.,Z,PUNCT,O,
147,2,1,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
147,2,2,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
147,2,3,u,,u,Sl,ADP,O,
147,2,4,cijeloj,,cijel,Agpfsly,ADJ,O,
147,2,5,toj,,taj,Pd-fsl,DET,O,
147,2,6,utrci,,utrka,Ncfsl,NOUN,O,
147,2,7,ne,,ne,Qz,PART,O,
147,2,8,bira,,birati,Vmr3s,VERB,O,
147,2,9,riječi,,riječ,Ncfpa,NOUN,O,
147,2,10,",",,",",Z,PUNCT,O,
147,2,11,uvrijedio,,uvrijediti,Vmp-sm,VERB,O,
147,2,12,je,,biti,Var3s,AUX,O,
147,2,13,mnoge,,mnogi,Agpmpay,ADJ,O,
147,2,14,",",,",",Z,PUNCT,O,
147,2,15,obećao,,obećati,Vmp-sm,VERB,O,
147,2,16,je,,biti,Var3s,AUX,O,
147,2,17,mnogo,,mnogo,Rgp,ADV,O,
147,2,18,i,,i,Cc,CCONJ,O,
147,2,19,čak,,čak,Qo,PART,O,
147,2,20,se,,sebe,Px--sa,PRON,O,
147,2,21,uspio,,uspjeti,Vmp-sm,VERB,O,
147,2,22,dotaknuti,,dotaknuti,Vmn,VERB,O,
147,2,23,Applea,apple,Apple,Npmsay,PROPN,B-ORG,149
147,2,24,iako,,iako,Cs,SCONJ,O,
147,2,25,nad,,nad,Si,ADP,O,
147,2,26,time,,taj,Pd-nsi,DET,O,
147,2,27,nema,,nemati,Vmr3s,VERB,O,
147,2,28,nikakve,,nikakav,Pi-fsg,DET,O,
147,2,29,kontrole,,kontrola,Ncfsg,NOUN,O,
147,2,30,.,,.,Z,PUNCT,O,
147,3,1,"""",,"""",Z,PUNCT,O,
147,3,2,Natjerat,,natjerati,Vmn,VERB,O,
147,3,3,ćemo,,htjeti,Var1p,AUX,O,
147,3,4,Apple,apple,Apple,Npmsan,PROPN,B-ORG,149
147,3,5,da,,da,Cs,SCONJ,O,
147,3,6,svoja,,svoj,Px-npa,DET,O,
147,3,7,prokleta,,proklet,Agpnpay,ADJ,O,
147,3,8,računala,,računalo,Ncnpa,NOUN,O,
147,3,9,radi,,raditi,Vmr3s,VERB,O,
147,3,10,ovdje,,ovdje,Rgp,ADV,O,
147,3,11,u,,u,Sl,ADP,O,
147,3,12,Americi,amerika,Amerika,Npfsl,PROPN,B-LOC,2
147,3,13,",",,",",Z,PUNCT,O,
147,3,14,a,,a,Cc,CCONJ,O,
147,3,15,ne,,ne,Qz,PART,O,
147,3,16,u,,u,Sl,ADP,O,
147,3,17,drugim,,drugi,Mlofpl,ADJ,O,
147,3,18,zemljama,,zemlja,Ncfpl,NOUN,O,
147,3,19,"""",,"""",Z,PUNCT,O,
147,3,20,",",,",",Z,PUNCT,O,
147,3,21,rekao,,reći,Vmp-sm,VERB,O,
147,3,22,je,,biti,Var3s,AUX,O,
147,3,23,Trump,trump,Trump,Npmsn,PROPN,B-PER,1
147,3,24,u,,u,Sl,ADP,O,
147,3,25,govoru,,govor,Ncmsl,NOUN,O,
147,3,26,od,,od,Sg,ADP,O,
147,3,27,45,,45,Mdc,NUM,O,
147,3,28,minuta,,minuta,Ncfpg,NOUN,O,
147,3,29,na,,na,Sl,ADP,O,
147,3,30,kršćanskom,,kršćanski,Agpmsly,ADJ,O,
147,3,31,Liberty,liberty,Liberty,Xf,X,B-ORG,263
147,3,32,University,university,University,Xf,X,I-ORG,263
147,3,33,u,,u,Sl,ADP,O,
147,3,34,Virginiji,virginia,Virginija,Npfsl,PROPN,B-LOC,50021
147,3,35,.,,.,Z,PUNCT,O,
147,4,1,Tematika,,tematika,Ncfsn,NOUN,O,
147,4,2,su,,biti,Var3p,AUX,O,
147,4,3,bila,,biti,Vap-pn,AUX,O,
147,4,4,radna,,radni,Agpnpny,ADJ,O,
147,4,5,mjesta,,mjesto,Ncnpn,NOUN,O,
147,4,6,i,,i,Cc,CCONJ,O,
147,4,7,Trump,trump,Trump,Npmsn,PROPN,B-PER,1
147,4,8,se,,sebe,Px--sa,PRON,O,
147,4,9,poveo,,povesti,Vmp-sm,VERB,O,
147,4,10,retorikom,,retorika,Ncfsi,NOUN,O,
147,4,11,mase,,masa,Ncfsg,NOUN,O,
147,4,12,",",,",",Z,PUNCT,O,
147,4,13,a,,a,Cc,CCONJ,O,
147,4,14,ona,,on,Pp3fsn,PRON,O,
147,4,15,glasi,,glasiti,Vmr3s,VERB,O,
147,4,16,da,,da,Cs,SCONJ,O,
147,4,17,sve,,sav,Agpfpny,ADJ,O,
147,4,18,veće,,velik,Agcfpny,ADJ,O,
147,4,19,kompanije,,kompanija,Ncfpn,NOUN,O,
147,4,20,sele,,seliti,Vmr3p,VERB,O,
147,4,21,svoje,,svoj,Px-fpa,DET,O,
147,4,22,tvornice,,tvornica,Ncfpa,NOUN,O,
147,4,23,u,,u,Sa,ADP,O,
147,4,24,zemlje,,zemlja,Ncfpa,NOUN,O,
147,4,25,gdje,,gdje,Rgp,ADV,O,
147,4,26,im,,oni,Pp3-pd,PRON,O,
147,4,27,se,,sebe,Px--sa,PRON,O,
147,4,28,radna,,radni,Agpfsny,ADJ,O,
147,4,29,snaga,,snaga,Ncfsn,NOUN,O,
147,4,30,",",,",",Z,PUNCT,O,
147,4,31,kao,,kao,Cs,SCONJ,O,
147,4,32,i,,i,Cc,CCONJ,O,
147,4,33,kompletna,,kompletan,Agpfsny,ADJ,O,
147,4,34,proizvodnja,,proizvodnja,Ncfsn,NOUN,O,
147,4,35,",",,",",Z,PUNCT,O,
147,4,36,mnogo,,mnogo,Rgp,ADV,O,
147,4,37,više,,mnogo,Rgc,ADV,O,
147,4,38,isplate,,isplata,Ncfsg,NOUN,O,
147,4,39,.,,.,Z,PUNCT,O,
147,5,1,Riječ,,riječ,Ncfsn,NOUN,O,
147,5,2,je,,biti,Var3s,AUX,O,
147,5,3,o,,o,Sl,ADP,O,
147,5,4,Kini,kina,Kini,Npfsl,PROPN,B-LOC,50393
147,5,5,",",,",",Z,PUNCT,O,
147,5,6,Vijetnamu,vijetnam,Vijetna,Npmsl,PROPN,B-LOC,10085
147,5,7,",",,",",Z,PUNCT,O,
147,5,8,Maleziji,malezija,Malezija,Npfsl,PROPN,B-LOC,30098
147,5,9,",",,",",Z,PUNCT,O,
147,5,10,Tajvanu,tajvan,Tajvan,Npmsl,PROPN,B-LOC,116
147,5,11,",",,",",Z,PUNCT,O,
147,5,12,pa,,pa,Cc,CCONJ,O,
147,5,13,i,,i,Cc,CCONJ,O,
147,5,14,Meksiku,meksiko,Meksiko,Npmsl,PROPN,B-LOC,152
147,5,15,.,,.,Z,PUNCT,O,
147,6,1,Trumpu,trump,Trumpa,Npmsn,PROPN,B-PER,1
147,6,2,",",,",",Z,PUNCT,O,
147,6,3,koji,,koji,Pi-msn,DET,O,
147,6,4,je,,biti,Var3s,AUX,O,
147,6,5,bogatstvo,,bogatstvo,Ncnsa,NOUN,O,
147,6,6,stekao,,steći,Vmp-sm,VERB,O,
147,6,7,nasljedstvom,,nasljedstvo,Ncnsi,NOUN,O,
147,6,8,i,,i,Cc,CCONJ,O,
147,6,9,potom,,potom,Rgp,ADV,O,
147,6,10,ga,,on,Pp3msa,PRON,O,
147,6,11,održavao,,održavati,Vmp-sm,VERB,O,
147,6,12,na,,na,Sa,ADP,O,
147,6,13,način,,način,Ncmsan,NOUN,O,
147,6,14,kojim,,koji,Pi-msi,DET,O,
147,6,15,se,,sebe,Px--sa,PRON,O,
147,6,16,koriste,,koristiti,Vmr3p,VERB,O,
147,6,17,Apple,apple,Apple,Npmsn,PROPN,B-ORG,149
147,6,18,",",,",",Z,PUNCT,O,
147,6,19,Microsoft,microsoft,Microsoft,Npmsn,PROPN,B-ORG,152
147,6,20,i,,i,Cc,CCONJ,O,
147,6,21,svi,,sav,Agpmpny,ADJ,O,
147,6,22,ostali,,ostali,Agpmpny,ADJ,O,
147,6,23,",",,",",Z,PUNCT,O,
147,6,24,u,,u,Sl,ADP,O,
147,6,25,utrci,,utrka,Ncfsl,NOUN,O,
147,6,26,za,,za,Sa,ADP,O,
147,6,27,predsjednika,,predsjednik,Ncmsay,NOUN,O,
147,6,28,dobio,,dobiti,Vmp-sm,VERB,O,
147,6,29,je,,biti,Var3s,AUX,O,
147,6,30,napad,,napad,Ncmsan,NOUN,O,
147,6,31,empatije,,empatija,Ncfsg,NOUN,O,
147,6,32,pa,,pa,Cc,CCONJ,O,
147,6,33,odjednom,,odjednom,Rgp,ADV,O,
147,6,34,suosjeća,,suosjećati,Vmr3s,VERB,O,
147,6,35,s,,sa,Si,ADP,O,
