docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
62,0,1,IO,io,IO,subst:sg:nom:m3,PROPN,B-MISC,21300
62,0,2,2024,2024,2024,dig,X,I-MISC,21300
62,0,3,:,,:,interp,PUNCT,O,
62,1,1,Donald,donald,Donald,subst:sg:nom:m1,PROPN,B-PER,1
62,1,2,Trump,trump,Trump,subst:sg:nom:m1,PROPN,I-PER,1
62,1,3,popiera,,popierać,fin:sg:ter:imperf,VERB,O,
62,1,4,kandydaturę,,kandydatura,subst:sg:acc:f,NOUN,O,
62,1,5,Los,los,los,subst:sg:acc:m3,NOUN,B-LOC,21301
62,1,6,Angeles,angeles,Angeles,subst:sg:gen:n:ncol,PROPN,I-LOC,21301
62,1,7,-,,-,interp,PUNCT,O,
62,1,8,Sport,,Sport,subst:sg:nom:m3,PROPN,O,
62,1,9,Prezydent,,prezydent,subst:sg:nom:m1,NOUN,O,
62,1,10,elekt,,elekt,subst:sg:nom:m1,NOUN,O,
62,1,11,Donald,donald,Donald,subst:sg:nom:m1,PROPN,B-PER,1
62,1,12,Trump,trump,Trump,subst:sg:nom:m1,PROPN,I-PER,1
62,1,13,popiera,,popierać,fin:sg:ter:imperf,VERB,O,
62,1,14,kandydaturę,,kandydatura,subst:sg:acc:f,NOUN,O,
62,1,15,Los,los,los,subst:sg:acc:m3,NOUN,B-LOC,21301
62,1,16,Angeles,angeles,Angeles,subst:sg:gen:n,PROPN,I-LOC,21301
62,1,17,do,,do,prep:gen,ADP,O,
62,1,18,organizacji,,organizacja,subst:sg:gen:f,NOUN,O,
62,1,19,igrzysk,igrzyska,igrzyska,subst:pl:gen:n:pt,NOUN,B-MISC,21300
62,1,20,olimpijskich,olimpijskie,olimpijski,adj:pl:gen:n:pos,ADJ,I-MISC,21300
62,1,21,w,w,w,prep:loc:nwok,ADP,I-MISC,21300
62,1,22,2024,2024,2024,adj:sg:loc:m3:pos,ADJ,I-MISC,21300
62,1,23,roku,roku,rok,subst:sg:loc:m3,NOUN,I-MISC,21300
62,1,24,-,,-,interp,PUNCT,O,
62,1,25,poinformowały,,poinformować,praet:pl:f:perf,VERB,O,
62,1,26,w,,w,prep:acc:nwok,ADP,O,
62,1,27,czwartek,,czwartek,subst:sg:acc:m3,NOUN,O,
62,1,28,służby,,służba,subst:pl:nom:f,NOUN,O,
62,1,29,prasowe,,prasowy,adj:pl:nom:f:pos,ADJ,O,
62,1,30,burmistrza,,burmistrz,subst:sg:gen:m1,NOUN,O,
62,1,31,Erica,eric,Erica,subst:sg:gen:m1,PROPN,B-PER,21302
62,1,32,Garcettiego,garcetti,Garcetti,subst:sg:gen:m1,PROPN,I-PER,21302
62,1,33,.,,.,interp,PUNCT,O,
62,2,1,Jak,,jak,adv:pos,ADV,O,
62,2,2,sprecyzowała,,sprecyzować,praet:sg:f:perf,VERB,O,
62,2,3,rzeczniczka,,rzeczniczka,subst:sg:nom:f,NOUN,O,
62,2,4,burmistrza,,burmistrz,subst:sg:gen:m1,NOUN,O,
62,2,5,Connie,connie,Connie,subst:sg:gen:f,PROPN,B-PER,21303
62,2,6,Llanos,llanos,Llanos,subst:sg:gen:f,PROPN,I-PER,21303
62,2,7,",",,",",interp,PUNCT,O,
62,2,8,Garcetti,garcetti,Garcetti,subst:sg:nom:f,PROPN,B-PER,21302
62,2,9,i,,i,conj,CCONJ,O,
62,2,10,Trump,,Trump,subst:sg:nom:m1,PROPN,O,
62,2,11,odbyli,,odbyć,praet:pl:m1:perf,VERB,O,
62,2,12,w,,w,prep:acc:nwok,ADP,O,
62,2,13,środę,,środa,subst:sg:acc:f,NOUN,O,
62,2,14,"""",,"""",interp,PUNCT,O,
62,2,15,konstruktywną,,konstruktywny,adj:sg:acc:f:pos,ADJ,O,
62,2,16,"""",,"""",interp,PUNCT,O,
62,2,17,rozmowę,,rozmowa,subst:sg:acc:f,NOUN,O,
62,2,18,telefoniczną,,telefoniczny,adj:sg:acc:f:pos,ADJ,O,
62,2,19,",",,",",interp,PUNCT,O,
62,2,20,podczas,,podczas,prep:gen,ADP,O,
62,2,21,której,,który,adj:sg:gen:f:pos,DET,O,
62,2,22,nowy,,nowy,adj:sg:nom:m1:pos,ADJ,O,
62,2,23,prezydent,,prezydent,subst:sg:nom:m1,NOUN,O,
62,2,24,Stanów,stany,Stany,subst:pl:gen:n:pt,PROPN,B-LOC,2
62,2,25,Zjednoczonych,zjednoczone,Zjednoczone,adj:pl:gen:n:pos,ADJ,I-LOC,2
62,2,26,poparł,,poprzeć,praet:sg:m1:perf,VERB,O,
62,2,27,olimpijskie,,olimpijski,adj:pl:acc:n:pos,ADJ,O,
62,2,28,starania,,staranie,subst:pl:acc:n:ncol,NOUN,O,
62,2,29,kalifornijskiej,,kalifornijski,adj:sg:gen:f:pos,ADJ,O,
62,2,30,metropolii,,metropolia,subst:sg:gen:f,NOUN,O,
62,2,31,.,,.,interp,PUNCT,O,
62,3,1,Los,los,los,subst:sg:nom:m3,NOUN,B-LOC,21301
62,3,2,Angeles,angeles,Angeles,subst:sg:gen:n:ncol,PROPN,I-LOC,21301
62,3,3,organizowało,,organizować,praet:sg:n:imperf,VERB,O,
62,3,4,igrzyska,,igrzyska,subst:pl:acc:n:ncol,NOUN,O,
62,3,5,już,,już,part,PART,O,
62,3,6,dwukrotnie,,dwukrotnie,adv:pos,ADV,O,
62,3,7,-,,-,interp,PUNCT,O,
62,3,8,w,,w,prep:loc:nwok,ADP,O,
62,3,9,1932,,1932,adj:sg:loc:m3:pos,ADJ,O,
62,3,10,i,,i,conj,CCONJ,O,
62,3,11,1984,,1984,adj:sg:loc:m3:pos,ADJ,O,
62,3,12,roku,,rok,subst:sg:loc:m3,NOUN,O,
62,3,13,",",,",",interp,PUNCT,O,
62,3,14,a,,a,conj,CCONJ,O,
62,3,15,obecnie,,obecnie,adv:pos,ADV,O,
62,3,16,rywalizuje,,rywalizować,fin:sg:ter:imperf,VERB,O,
62,3,17,o,,o,prep:acc,ADP,O,
62,3,18,prawa,,prawo,subst:pl:acc:n:ncol,NOUN,O,
62,3,19,gospodarza,,gospodarz,subst:sg:gen:m1,NOUN,O,
62,3,20,z,,z,prep:inst:nwok,ADP,O,
62,3,21,Paryżem,paryż,Paryż,subst:sg:inst:m3,PROPN,B-LOC,21034
62,3,22,i,,i,conj,CCONJ,O,
62,3,23,Budapesztem,budapeszt,Budapeszt,subst:sg:inst:m1,PROPN,B-LOC,21305
62,3,24,.,,.,interp,PUNCT,O,
62,4,1,Decyzję,,decyzja,subst:sg:acc:f,NOUN,O,
62,4,2,MKOl,mkol,MKOl,subst:sg:gen:n,PROPN,B-ORG,21306
62,4,3,podejmie,,podjąć,fin:sg:ter:perf,VERB,O,
62,4,4,we,,w,prep:loc:wok,ADP,O,
62,4,5,wrześniu,,wrzesień,subst:sg:loc:m3,NOUN,O,
62,4,6,2017,,2017,adj:sg:gen:m3:pos,ADJ,O,
62,4,7,roku,,rok,subst:sg:gen:m3,NOUN,O,
62,4,8,.,,.,interp,PUNCT,O,
62,5,1,Najbliższa,,bliski,adj:sg:nom:f:sup,ADJ,O,
62,5,2,letnia,,letni,adj:sg:nom:f:pos,ADJ,O,
62,5,3,olimpiada,,olimpiada,subst:sg:nom:f,NOUN,O,
62,5,4,w,,w,prep:loc:nwok,ADP,O,
62,5,5,2020,,2020,adj:sg:loc:m3:pos,ADJ,O,
62,5,6,roku,,rok,subst:sg:loc:m3,NOUN,O,
62,5,7,odbędzie,,odbyć,fin:sg:ter:perf,VERB,O,
62,5,8,się,,się,part,PRON,O,
62,5,9,w,,w,prep:loc:nwok,ADP,O,
62,5,10,Tokio,tokio,Tokio,subst:sg:loc:n:ncol,PROPN,B-LOC,21307
62,5,11,.,,.,interp,PUNCT,O,
