docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
437,0,1,Víťazom,,víťaz,SSms7,NOUN,O,
437,0,2,amerických,,americký,AAfp2x,ADJ,O,
437,0,3,prezidentských,,prezidentský,AAfp2x,ADJ,O,
437,0,4,volieb,,volieb,SSfp2,NOUN,O,
437,0,5,sa,,sa,R,PRON,O,
437,0,6,stal,,stať,VLdscm+,VERB,O,
437,0,7,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
437,0,8,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
437,0,9,|,,|,Z,PUNCT,O,
437,0,10,Info,info,info,W,PROPN,B-ORG,384
437,0,11,.,.,.,Z,PUNCT,I-ORG,384
437,0,12,sk,sk,sk,W,PROPN,I-ORG,384
437,1,1,Víťazom,,víťaz,SSms7,NOUN,O,
437,1,2,amerických,,americký,AAfp2x,ADJ,O,
437,1,3,prezidentských,,prezidentský,AAfp2x,ADJ,O,
437,1,4,volieb,,volieb,SSfp2,NOUN,O,
437,1,5,sa,,sa,R,PRON,O,
437,1,6,stal,,stať,VLdscm+,VERB,O,
437,1,7,republikánsky,,republikánsky,AAms1x,ADJ,O,
437,1,8,prezidentský,,prezidentský,AAms1x,ADJ,O,
437,1,9,kandidát,,kandidát,SSms1,NOUN,O,
437,1,10,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
437,1,11,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
437,1,12,.,,.,Z,PUNCT,O,
437,2,1,Porazil,,poraziť,VLdscm+,VERB,O,
437,2,2,svoju,,svoj,PFfs4,DET,O,
437,2,3,demokratickú,,demokratický,AAfs4x,ADJ,O,
437,2,4,protikandidátku,,protikandidátka,SSfs4,NOUN,O,
437,2,5,Hillary,hillary,hillary,SSms2:r,PROPN,B-PER,3
437,2,6,Clintonovú,clintonová,clintonov,SAfs4:r,PROPN,I-PER,3
437,2,7,.,,.,ZIP,PUNCT,O,
437,3,1,Informovala,,informovať,VLescf+,VERB,O,
437,3,2,o,,o,Eu6,ADP,O,
437,3,3,tom,,to,PFns6,DET,O,
437,3,4,dnes,,dnes,Dx,ADV,O,
437,3,5,agentúra,,agentúra,SSfs1,NOUN,O,
437,3,6,AP,ap,ap,SSfs1:r,PROPN,B-ORG,81
437,3,7,.,,.,Z,PUNCT,O,
437,4,1,Trump,trump,trump,SSms1:r,PROPN,B-PER,1
437,4,2,sa,,sa,R,PRON,O,
437,4,3,stal,,stať,VLdscm+,VERB,O,
437,4,4,víťazom,,víťaz,SSms7,NOUN,O,
437,4,5,po,,po,Eu6,ADP,O,
437,4,6,tom,,to,PFns6,DET,O,
437,4,7,",",,",",Z,PUNCT,O,
437,4,8,ako,,ako,O,SCONJ,O,
437,4,9,podľa,,podľa,Eu2,ADP,O,
437,4,10,priebežne,,priebežne,Dx,ADV,O,
437,4,11,zverejňovaných,,zverejňovaný,Gtip2x,ADJ,O,
437,4,12,výsledkov,,výsledok,SSip2,NOUN,O,
437,4,13,získal,,získať,VLdscm+,VERB,O,
437,4,14,aj,,aj,T,PART,O,
437,4,15,hlasy,,hlas,SSip4,NOUN,O,
437,4,16,desiatich,,desať,NAmp2,ADJ,O,
437,4,17,voliteľov,,voliteľ,SSmp2,NOUN,O,
437,4,18,v,,v,Eu6,ADP,O,
437,4,19,štáte,,štát,SSis6,NOUN,O,
437,4,20,Wisconsin,wisconsin,wisconsin,%,X,B-LOC,68
437,4,21,",",,",",Z,PUNCT,O,
437,4,22,čo,,čo,PFns1,PRON,O,
437,4,23,spolu,,spolu,Dx,ADV,O,
437,4,24,s,,s,Eu7,ADP,O,
437,4,25,ďalšími,,ďalší,AAfp7x,ADJ,O,
437,4,26,ziskami,,ziska,SSfp7,NOUN,O,
437,4,27,znamená,,znamenať,VKesc+,VERB,O,
437,4,28,",",,",",Z,PUNCT,O,
437,4,29,že,,že,O,SCONJ,O,
437,4,30,presiahol,,presiahnuť,VLdscm+,VERB,O,
437,4,31,hranicu,,hranica,SSfs4,NOUN,O,
437,4,32,270,,270,0,NUM,O,
437,4,33,voliteľov,,voliteľ,SSmp2,NOUN,O,
437,4,34,.,,.,Z,PUNCT,O,
437,5,1,Tí,,ten,PFmp1,DET,O,
437,5,2,majú,,mať,VKepc+,VERB,O,
437,5,3,zvolenie,,zvolenie,SSns4,NOUN,O,
437,5,4,newyorského,,newyorský,AAms2x,ADJ,O,
437,5,5,magnáta,,magnát,SSms2,NOUN,O,
437,5,6,potvrdiť,,potvrdiť,VId+,VERB,O,
437,5,7,19,,19,0,NUM,O,
437,5,8,.,,.,Z,PUNCT,O,
437,5,9,decembra,,december,SSis2,NOUN,O,
437,5,10,",",,",",Z,PUNCT,O,
437,5,11,na,,na,Eu4,ADP,O,
437,5,12,čo,,čo,PFns4,PRON,O,
437,5,13,bude,,byť,VBesc+,AUX,O,
437,5,14,môcť,,môcť,VIe+,VERB,O,
437,5,15,Trump,trump,trump,SSms1:r,PROPN,B-PER,1
437,5,16,20,,20,0,NUM,O,
437,5,17,.,,.,Z,PUNCT,O,
437,5,18,januára,,január,SSis2,NOUN,O,
437,5,19,vystriedať,,vystriedať,VId+,VERB,O,
437,5,20,v,,v,Eu6,ADP,O,
437,5,21,Bielom,biely,biely,AAis6x:r,ADJ,B-LOC,111
437,5,22,dome,dom,dom,SSis6,NOUN,I-LOC,111
437,5,23,dosluhujúceho,,dosluhujúci,Gkms2x,ADJ,O,
437,5,24,Baracka,barack,baracka,SSms2:r,PROPN,B-PER,16
437,5,25,Obamu,obama,obam,SSms2:r,PROPN,I-PER,16
437,5,26,.,,.,Z,PUNCT,O,
437,6,1,Kandidátka,,kandidátka,SSfs1,NOUN,O,
437,6,2,Demokratickej,demokraticka,demokratický,AAfs2x,ADJ,B-ORG,112
437,6,3,strany,strana,strana,SSfs2,NOUN,I-ORG,112
437,6,4,na,,na,Eu4,ADP,O,
437,6,5,post,,post,SSis4,NOUN,O,
437,6,6,prezidenta,,prezident,SSms2,NOUN,O,
437,6,7,USA,usa,usa,W,PROPN,B-LOC,2
437,6,8,Hillary,hillary,hillary,SSms1:r,PROPN,B-PER,3
437,6,9,Clintonová,clintonová,clintonová,SAfs1:r,PROPN,I-PER,3
437,6,10,zatelefonovala,,zatelefonovať,VLdscf+,VERB,O,
437,6,11,dnes,,dnes,Dx,ADV,O,
437,6,12,svojmu,,svoj,PFms3,DET,O,
437,6,13,republikánskemu,,republikánsky,AAms3x,ADJ,O,
437,6,14,súperovi,,súper,SSms3,NOUN,O,
437,6,15,Donaldovi,donald,donald,SSms3:r,PROPN,B-PER,1
437,6,16,Trumpovi,trump,trump,SSms3:r,PROPN,I-PER,1
437,6,17,",",,",",Z,PUNCT,O,
437,6,18,pričom,,pričom,O,CCONJ,O,
437,6,19,priznala,,priznať,VLdscf+,VERB,O,
437,6,20,porážku,,porážka,SSfs4,NOUN,O,
437,6,21,v,,v,Eu6,ADP,O,
437,6,22,utorkových,,utorkový,AAfp6x,ADJ,O,
437,6,23,prezidentských,,prezidentský,AAfp6x,ADJ,O,
437,6,24,voľbách,,voľba,SSfp6,NOUN,O,
437,6,25,.,,.,Z,PUNCT,O,
437,7,1,Informovala,,informovať,VLescf+,VERB,O,
437,7,2,o,,o,Eu6,ADP,O,
437,7,3,tom,,to,PFns6,DET,O,
437,7,4,spravodajská,,spravodajský,AAfs1x,ADJ,O,
437,7,5,stanica,,stanica,SSfs1,NOUN,O,
437,7,6,CNN,cnn,cnn,SSfs2:r,PROPN,B-ORG,385
437,7,7,.,,.,Z,PUNCT,O,
437,8,1,Republikán,,republikán,SSms1:r,PROPN,O,
437,8,2,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
437,8,3,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
437,8,4,bude,,byť,VBesc+,AUX,O,
437,8,5,v,,v,Eu6,ADP,O,
437,8,6,poradí,,poradie,SSns6,NOUN,O,
437,8,7,45,,45,0,NUM,O,
437,8,8,.,,.,Z,PUNCT,O,
437,8,9,prezidentom,,prezident,SSms7,NOUN,O,
437,9,1,USA,usa,usa,W,PROPN,B-LOC,2
437,9,2,.,,.,Z,PUNCT,O,
437,10,1,PREZIDENT,,prezident,SSms1,NOUN,O,
437,10,2,:,,:,ZIP,PUNCT,O,
437,10,3,Blahoželám,,blahoželať,VKesa+,VERB,O,
437,10,4,Donaldovi,donald,donald,SSms3:r,PROPN,B-PER,1
437,10,5,Trumpovi,trump,trump,SSms3:r,PROPN,I-PER,1
437,10,6,k,,k,Eu3,ADP,O,
437,10,7,víťazstvu,,víťazstvo,SSns3,NOUN,O,
437,10,8,vo,,v,Ev6,ADP,O,
437,10,9,voľbách,,voľba,SSfp6,NOUN,O,
437,10,10,.,,.,Z,PUNCT,O,
437,11,1,Blahoželám,,blahoželať,VKesa+,VERB,O,
437,11,2,Donaldovi,donald,donald,SSms3:r,PROPN,B-PER,1
437,11,3,Trumpovi,trump,trump,SSms3:r,PROPN,I-PER,1
437,11,4,k,,k,Eu3,ADP,O,
437,11,5,víťazstvu,,víťazstvo,SSns3,NOUN,O,
437,11,6,vo,,v,Ev6,ADP,O,
437,11,7,voľbách,,voľba,SSfp6,NOUN,O,
437,11,8,.,,.,Z,PUNCT,O,
437,12,1,Takto,,takto,PD,ADV,O,
437,12,2,reagoval,,reagovať,VLescm+,VERB,O,
437,12,3,slovenský,slovensko,slovenský,AAms1x,ADJ,B-LOC,259
437,12,4,prezident,,prezident,SSms1,NOUN,O,
437,12,5,Andrej,andrej,andrej,SSms1:r,PROPN,B-PER,386
437,12,6,Kiska,kiska,kiska,SSms1:r,PROPN,I-PER,386
437,12,7,na,,na,Eu4,ADP,O,
437,12,8,informáciu,,informácia,SSfs4,NOUN,O,
437,12,9,o,,o,Eu6,ADP,O,
437,12,10,tom,,to,PFns6,DET,O,
437,12,11,",",,",",Z,PUNCT,O,
437,12,12,že,,že,O,SCONJ,O,
437,12,13,45,,45,0,NUM,O,
437,12,14,.,,.,Z,PUNCT,O,
437,12,15,americkým,,americký,AAms7x,ADJ,O,
437,12,16,prezidentom,,prezident,SSms7,NOUN,O,
437,12,17,bude,,byť,VBesc+,AUX,O,
437,12,18,republikánsky,,republikánsky,AAms1x,ADJ,O,
437,12,19,kandidát,,kandidát,SSms1,NOUN,O,
437,12,20,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
437,12,21,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
437,12,22,.,,.,Z,PUNCT,O,
437,13,1,"""",,"""",ZIP,PUNCT,O,
437,13,2,Spojené,spojené,spojený,Gtip1x,ADJ,B-LOC,2
437,13,3,štáty,štáty,štát,SSip1,NOUN,I-LOC,2
437,13,4,sú,,byť,VKepc+,AUX,O,
437,13,5,dôležitý,,dôležitý,AAms1x,ADJ,O,
437,13,6,partner,,partner,SSms1,NOUN,O,
437,13,7,a,,a,O,CCONJ,O,
437,13,8,spojenec,,spojenec,SSms1,NOUN,O,
437,13,9,Slovenska,slovensko,slovensko,SSns2:r,PROPN,B-LOC,259
437,13,10,aj,,aj,T,PART,O,
437,13,11,Európskej,európska,európsky,AAfs2x:r,ADJ,B-LOC,387
437,13,12,únie,únia,únia,SSfs2,NOUN,I-LOC,387
437,13,13,a,,a,O,CCONJ,O,
437,13,14,považujem,,považovať,VKesa+,VERB,O,
437,13,15,za,,za,Eu4,ADP,O,
437,13,16,dôležité,,dôležitý,AAns4x,ADJ,O,
437,13,17,",",,",",ZIP,PUNCT,O,
437,13,18,že,,že,O,SCONJ,O,
437,13,19,to,,to,PFns1,DET,O,
437,13,20,tak,,tak,PD,ADV,O,
437,13,21,zostane,,zostať,VKdsc+,VERB,O,
437,13,22,aj,,aj,T,PART,O,
437,13,23,v,,v,Eu6,ADP,O,
437,13,24,budúcnosti,,budúcnosť,SSfs6,NOUN,O,
437,13,25,",",,",",ZIP,PUNCT,O,
437,13,26,"""",,"""",ZIP,PUNCT,O,
437,13,27,dodal,,dodať,VLdscm+,VERB,O,
437,13,28,prezident,,prezident,SSms1,NOUN,O,
437,13,29,Kiska,kiska,kiska,SSms1:r,PROPN,B-PER,386
437,13,30,.,,.,ZIP,PUNCT,O,
437,14,1,PROFIL,,profil,SSis1,NOUN,O,
437,14,2,DONALDA,donald,donalda,SSms2:r,PROPN,B-PER,1
437,14,3,TRUMPA,trump,trumpa,SSms2:r,PROPN,I-PER,1
437,14,4,.,,.,Z,PUNCT,O,
437,15,1,Americký,,americký,AAms1x,ADJ,O,
437,15,2,podnikateľ,,podnikateľ,SSms1,NOUN,O,
437,15,3,",",,",",Z,PUNCT,O,
437,15,4,realitný,,realitný,AAms1x,ADJ,O,
437,15,5,investor,,investor,SSms1,NOUN,O,
437,15,6,a,,a,O,CCONJ,O,
437,15,7,televízna,,televízny,AAfs1x,ADJ,O,
437,15,8,osobnosť,,osobnosť,SSfs1,NOUN,O,
437,16,1,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
437,16,2,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
437,16,3,kandidoval,,kandidovať,VLescm+,VERB,O,
437,16,4,na,,na,Eu4,ADP,O,
437,16,5,post,,post,SSis4,NOUN,O,
437,16,6,prezidenta,,prezident,SSms2,NOUN,O,
437,16,7,Spojených,spojené,spojený,Gtip2x,ADJ,B-LOC,2
437,16,8,štátov,štáty,štát,SSip2,NOUN,I-LOC,2
437,16,9,vo,,v,Ev6,ADP,O,
