docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
289,0,1,Elektorji,,elektor,Ncmpn,NOUN,O,
289,0,2,danes,,danes,Rgp,ADV,O,
289,0,3,potrjujejo,,potrjevati,Vmpr3p,VERB,O,
289,0,4,izide,,izid,Ncmpa,NOUN,O,
289,0,5,predsedniških,,predsedniški,Agpfpg,ADJ,O,
289,0,6,volitev,,volitev,Ncfpg,NOUN,O,
289,0,7,v,,v,Sl,ADP,O,
289,1,1,ZDA,zda,ZDA,Npfpn,PROPN,B-LOC,2
289,1,2,-,,-,Z,PUNCT,O,
289,1,3,STA,sta,biti,Va-r3d-n,AUX,B-ORG,40011
289,1,4,-,,-,Z,PUNCT,O,
289,1,5,Primorski,primorski,primorski,Agpmsny,ADJ,B-ORG,40012
289,1,6,dnevnik,dnevnik,dnevnik,Ncmsn,NOUN,I-ORG,40012
289,2,1,Elektorji,,elektor,Ncmpn,NOUN,O,
289,2,2,danes,,danes,Rgp,ADV,O,
289,2,3,potrjujejo,,potrjevati,Vmpr3p,VERB,O,
289,2,4,izide,,izid,Ncmpa,NOUN,O,
289,2,5,predsedniških,,predsedniški,Agpfpg,ADJ,O,
289,2,6,volitev,,volitev,Ncfpg,NOUN,O,
289,2,7,v,,v,Sl,ADP,O,
289,2,8,ZDA,zda,ZDA,Npfpl,PROPN,B-LOC,2
289,2,9,New,new,New,Npmsn,PROPN,B-LOC,4
289,2,10,York,york,York,Npmsn,PROPN,I-LOC,4
289,2,11,",",,",",Z,PUNCT,O,
289,2,12,19.,,19.,Mdo,NUM,O,
289,2,13,decembra,,december,Ncmsg,NOUN,O,
289,2,14,(,,(,Z,PUNCT,O,
289,2,15,STA,sta,sta,X,X,B-ORG,40011
289,2,16,),,),Z,PUNCT,O,
289,2,17,-,,-,Z,PUNCT,O,
289,2,18,V,,v,Sl,ADP,O,
289,2,19,prestolnicah,,prestolnica,Ncfpl,NOUN,O,
289,2,20,ameriških,,ameriški,Agpfpg,ADJ,O,
289,2,21,zveznih,,zvezen,Agpfpg,ADJ,O,
289,2,22,držav,,država,Ncfpg,NOUN,O,
289,2,23,se,,se,Px------y,PRON,O,
289,2,24,bodo,,biti,Va-f3p-n,AUX,O,
289,2,25,danes,,danes,Rgp,ADV,O,
289,2,26,sestali,,sestati,Vmep-pm,VERB,O,
289,2,27,elektorji,,elektor,Ncmpn,NOUN,O,
289,2,28,",",,",",Z,PUNCT,O,
289,2,29,ki,,ki,Cs,SCONJ,O,
289,2,30,bodo,,biti,Va-f3p-n,AUX,O,
289,2,31,oddali,,oddati,Vmep-pm,VERB,O,
289,2,32,svoj,,svoj,Px-msa,DET,O,
289,2,33,glas,,glas,Ncmsan,NOUN,O,
289,2,34,za,,za,Sa,ADP,O,
289,2,35,naslednjega,,naslednji,Agpmsa,ADJ,O,
289,2,36,predsednika,,predsednik,Ncmsay,NOUN,O,
289,2,37,in,,in,Cc,CCONJ,O,
289,2,38,podpredsednika,,podpredsednik,Ncmsay,NOUN,O,
289,2,39,ZDA,zda,ZDA,Npfpg,PROPN,B-LOC,2
289,2,40,.,,.,Z,PUNCT,O,
289,3,1,V,,v,Sl,ADP,O,
289,3,2,teoriji,,teorija,Ncfsl,NOUN,O,
289,3,3,",",,",",Z,PUNCT,O,
289,3,4,ki,,ki,Cs,SCONJ,O,
289,3,5,je,,biti,Va-r3s-n,AUX,O,
289,3,6,skladna,,skladen,Agpfsn,ADJ,O,
289,3,7,z,,z,Si,ADP,O,
289,3,8,ustavo,,ustava,Ncfsi,NOUN,O,
289,3,9,",",,",",Z,PUNCT,O,
289,3,10,bi,,biti,Va-c,AUX,O,
289,3,11,lahko,,lahko,Rgp,ADV,O,
289,3,12,volili,,voliti,Vmbp-pm,VERB,O,
289,3,13,tudi,,tudi,Q,PART,O,
289,3,14,koga,,kdo,Pq-msa,PRON,O,
289,3,15,drugega,,drug,Mlpmsa,ADJ,O,
289,3,16,kot,,kot,Cs,SCONJ,O,
289,3,17,republikanca,,republikanec,Ncmsay,NOUN,O,
289,3,18,Donalda,donald,Donald,Npmsay,PROPN,B-PER,1
289,3,19,Trumpa,trump,Trump,Npmsay,PROPN,I-PER,1
289,3,20,in,,in,Cc,CCONJ,O,
289,3,21,Mika,mike,Mika,Npmsay,PROPN,B-PER,120
289,3,22,Penca,pence,Penec,Npmsay,PROPN,I-PER,120
289,3,23,",",,",",Z,PUNCT,O,
289,3,24,vendar,,vendar,Cc,CCONJ,O,
289,3,25,se,,se,Px------y,PRON,O,
289,3,26,to,,ta,Pd-nsn,DET,O,
289,3,27,ne,,ne,Q,PART,O,
289,3,28,bo,,biti,Va-f3s-n,AUX,O,
289,3,29,zgodilo,,zgoditi,Vmep-sn,VERB,O,
289,3,30,.,,.,Z,PUNCT,O,
289,4,1,Očetje,,oče,Ncmpn,NOUN,O,
289,4,2,naroda,,narod,Ncmsg,NOUN,O,
289,4,3,so,,biti,Va-r3p-n,AUX,O,
289,4,4,se,,se,Px------y,PRON,O,
289,4,5,ob,,ob,Sl,ADP,O,
289,4,6,ustanavljanju,,ustanavljanje,Ncnsl,NOUN,O,
289,4,7,republike,,republika,Ncfsg,NOUN,O,
289,4,8,znašli,,znajti,Vmep-pm,VERB,O,
289,4,9,pred,,pred,Si,ADP,O,
289,4,10,dilemo,,dilema,Ncfsi,NOUN,O,
289,4,11,",",,",",Z,PUNCT,O,
289,4,12,kako,,kako,Rgp,ADV,O,
289,4,13,zagotoviti,,zagotoviti,Vmen,VERB,O,
289,4,14,",",,",",Z,PUNCT,O,
289,4,15,da,,da,Cs,SCONJ,O,
289,4,16,ZDA,zda,ZDA,Npfpn,PROPN,B-LOC,2
289,4,17,ostanejo,,ostati,Vmer3p,VERB,O,
289,4,18,zveza,,zveza,Ncfsn,NOUN,O,
