docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
282,0,1,Bruce,bruce,Bruce,Npmsn,PROPN,B-PER,40001.0
282,0,2,Springsteen,springsteen,Springsteen,Npmsn,PROPN,I-PER,40001.0
282,0,3,meni,,meniti,Vmpr3s,VERB,O,
282,0,4,",",,",",Z,PUNCT,O,
282,0,5,da,,da,Cs,SCONJ,O,
282,0,6,je,,biti,Va-r3s-n,AUX,O,
282,0,7,Donald,donald,Donald,Npmsn,PROPN,B-PER,1.0
282,0,8,Trump,trump,Trump,Npmsn,PROPN,I-PER,1.0
282,0,9,velika,,velik,Agpfsn,ADJ,O,
282,0,10,sramota,,sramota,Ncfsn,NOUN,O,
282,0,11,za,,za,Sa,ADP,O,
282,0,12,ZDA,zda,ZDA,Npfpa,PROPN,B-LOC,2.0
282,0,13,-,,-,Z,PUNCT,O,
282,0,14,Hudo,hudo,hudo,Rgp,ADV,B-ORG,40004.0
282,0,15,Slovenija,slovenija,Slovenija,Npfsn,PROPN,I-ORG,40004.0
282,1,1,Springsteen,springsteen,Springsteen,Npmsn,PROPN,B-PER,40001.0
282,1,2,",",,",",Z,PUNCT,O,
282,1,3,ki,,ki,Cs,SCONJ,O,
282,1,4,v,,v,Sl,ADP,O,
282,1,5,svojih,,svoj,Px-npl,DET,O,
282,1,6,besedilih,,besedilo,Ncnpl,NOUN,O,
282,1,7,pogosto,,pogosto,Rgp,ADV,O,
282,1,8,ubeseduje,,ubesedovati,Vmpr3s,VERB,O,
282,1,9,boj,,boj,Ncmsan,NOUN,O,
282,1,10,Američanov,američani,Američan,Npmpg,PROPN,B-PER,17.0
282,1,11,iz,,iz,Sg,ADP,O,
282,1,12,delavskega,,delavski,Agpmsg,ADJ,O,
282,1,13,razreda,,razred,Ncmsg,NOUN,O,
282,1,14,",",,",",Z,PUNCT,O,
282,1,15,je,,biti,Va-r3s-n,AUX,O,
282,1,16,dejal,,dejati,Vmep-sm,VERB,O,
282,1,17,",",,",",Z,PUNCT,O,
282,1,18,da,,da,Cs,SCONJ,O,
282,1,19,razume,,razumeti,Vmbr3s,VERB,O,
282,1,20,",",,",",Z,PUNCT,O,
282,1,21,kako,,kako,Rgp,ADV,O,
282,1,22,se,,se,Px------y,PRON,O,
282,1,23,Trump,trump,Trump,Npmsn,PROPN,B-PER,1.0
282,1,24,lahko,,lahko,Rgp,ADV,O,
282,1,25,zdi,,zdeti,Vmpr3s,VERB,O,
282,1,26,prepričljiv,,prepričljiv,Agpmsnn,ADJ,O,
282,1,27,ljudem,,človek,Ncmpd,NOUN,O,
282,1,28,",",,",",Z,PUNCT,O,
282,1,29,ki,,ki,Cs,SCONJ,O,
282,1,30,živijo,,živeti,Vmpr3p,VERB,O,
282,1,31,na,,na,Sl,ADP,O,
282,1,32,ekonomskem,,ekonomski,Agpmsl,ADJ,O,
282,1,33,robu,,rob,Ncmsl,NOUN,O,
282,1,34,.,,.,Z,PUNCT,O,
282,1,35,“,,“,Z,PUNCT,O,
282,1,36,Absurdnost,,absurdnost,Ncfsn,NOUN,O,
282,1,37,presega,,presegati,Vmpr3s,VERB,O,
282,1,38,risanke,,risanka,Ncfpa,NOUN,O,
282,1,39,.,,.,Z,PUNCT,O,
282,2,1,A,,a,Cc,CCONJ,O,
282,2,2,prišel,,priti,Vmep-sm,VERB,O,
282,2,3,je,,biti,Va-r3s-n,VERB,O,
282,2,4,dovolj,,dovolj,Rgp,DET,O,
282,2,5,blizu,,blizu,Rgp,ADV,O,
282,2,6,(,,(,Z,PUNCT,O,
282,2,7,Beli,bela,bel,Agpfsd,ADJ,B-LOC,111.0
282,2,8,hiši,hiša,hiša,Ncfsd,NOUN,I-LOC,111.0
282,2,9,),,),Z,PUNCT,O,
282,2,10,",",,",",Z,PUNCT,O,
282,2,11,da,,da,Cs,SCONJ,O,
282,2,12,vas,,ti,Pp2-pa,PRON,O,
282,2,13,to,,ta,Pd-nsn,DET,O,
282,2,14,lahko,,lahko,Rgp,ADV,O,
282,2,15,dela,,delati,Vmpr3s,VERB,O,
282,2,16,nervozne,,nervozen,Agpfpn,ADJ,O,
282,2,17,",",,",",Z,PUNCT,O,
282,2,18,”,,”,Z,PUNCT,O,
282,2,19,je,,biti,Va-r3s-n,AUX,O,
282,2,20,dejal,,dejati,Vmep-sm,VERB,O,
282,2,21,v,,v,Sl,ADP,O,
282,2,22,pogovorni,,pogovoren,Agpfsl,ADJ,O,
282,2,23,oddaji,,oddaja,Ncfsl,NOUN,O,
282,2,24,Skavlan,skavlan,Skavlan,Npmsn,PROPN,B-MISC,40007.0
282,2,25,",",,",",Z,PUNCT,O,
282,2,26,ki,,ki,Cs,SCONJ,O,
282,2,27,jo,,on,Pp3fsa--y,PRON,O,
282,2,28,predvajajo,,predvajati,Vmpr3p,VERB,O,
282,2,29,na,,na,Sl,ADP,O,
282,2,30,Norveškem,norveška,Norveško,Npnsl,PROPN,B-LOC,40008.0
282,2,31,in,,in,Cc,CCONJ,O,
282,2,32,Švedskem,švedska,Švedsko,Npnsl,PROPN,B-LOC,41000.0
282,2,33,.,,.,Z,PUNCT,O,
282,2,34,“,,“,Z,PUNCT,O,
282,2,35,Mislim,,misliti,Vmpr1s,VERB,O,
282,2,36,",",,",",Z,PUNCT,O,
282,2,37,da,,da,Cs,SCONJ,O,
282,2,38,ne,,ne,Q,PART,O,
282,2,39,bozmagal,,bozmagati,Vmpr3s,VERB,O,
282,2,40,",",,",",Z,PUNCT,O,
282,2,41,a,,a,Cc,CCONJ,O,
282,2,42,že,,že,Q,PART,O,
282,2,43,sama,,sam,Agpfsn,ADJ,O,
282,2,44,njegova,,njegov,Ps3fsnsm,DET,O,
282,2,45,kandidatura,,kandidatura,Ncfsn,NOUN,O,
282,2,46,je,,biti,Va-r3s-n,AUX,O,
282,2,47,velika,,velik,Agpfsn,ADJ,O,
282,2,48,sramota,,sramota,Ncfsn,NOUN,O,
282,2,49,za,,za,Sa,ADP,O,
282,2,50,Američane,američani,Američan,Npmpa,PROPN,B-PER,17.0
282,2,51,",",,",",Z,PUNCT,O,
282,2,52,”,,”,Z,PUNCT,O,
282,2,53,je,,biti,Va-r3s-n,AUX,O,
282,2,54,dejal,,dejati,Vmep-sm,VERB,O,
282,2,55,pevec,,pevec,Ncmsn,NOUN,O,
282,2,56,.,,.,Z,PUNCT,O,
282,3,1,Trump,trump,Trump,Npmsn,PROPN,B-PER,1.0
282,3,2,zna,,znati,Vmpr3s,VERB,O,
282,3,3,volivcem,,volivec,Ncmpd,NOUN,O,
282,3,4,dati,,dati,Vmen,VERB,O,
282,3,5,del,,del,Ncmsan,NOUN,O,
282,3,6,tistega,,tisti,Pd-nsg,DET,O,
282,3,7,",",,",",Z,PUNCT,O,
282,3,8,kar,,kar,Pr-nsa,PRON,O,
282,3,9,želijo,,želeti,Vmpr3p,VERB,O,
282,3,10,slišati,,slišati,Vmbn,VERB,O,
282,3,11,",",,",",Z,PUNCT,O,
282,3,12,je,,biti,Va-r3s-n,AUX,O,
282,3,13,nadaljeval,,nadaljevati,Vmpp-sm,VERB,O,
282,3,14,.,,.,Z,PUNCT,O,
282,3,15,“,,“,Z,PUNCT,O,
282,3,16,V,,v,Sl,ADP,O,
282,3,17,ZDA,zda,ZDA,Npfpl,PROPN,B-LOC,2.0
282,3,18,imamo,,imeti,Vmpr1p-n,VERB,O,
282,3,19,določene,,določen,Appfpa,ADJ,O,
282,3,20,težave,,težava,Ncfpa,NOUN,O,
282,3,21,–,,–,Z,PUNCT,O,
282,3,22,velikanske,,velikanski,Agpfpa,ADJ,O,
282,3,23,razlike,,razlika,Ncfpa,NOUN,O,
282,3,24,pri,,pri,Sl,ADP,O,
282,3,25,razdelitvi,,razdelitev,Ncfsl,NOUN,O,
282,3,26,bogastva,,bogastvo,Ncnsg,NOUN,O,
282,3,27,–,,–,Z,PUNCT,O,
282,3,28,kar,,kar,Pr-nsn,PRON,O,
282,3,29,predstavlja,,predstavljati,Vmpr3s,VERB,O,
282,3,30,plodna,,ploden,Agpnpa,ADJ,O,
282,3,31,tla,,tla,Ncnpa,NOUN,O,
282,3,32,za,,za,Sa,ADP,O,
282,3,33,demagogijo,,demagogija,Ncfsa,NOUN,O,
282,3,34,.,,.,Z,PUNCT,O,
282,4,1,Ima,,imeti,Vmpr3s-n,VERB,O,
282,4,2,zelo,,zelo,Rgp,ADV,O,
282,4,3,enostaven,,enostaven,Agpmsan,ADJ,O,
282,4,4,odgovor,,odgovor,Ncmsan,NOUN,O,
282,4,5,na,,na,Sa,ADP,O,
282,4,6,ta,,ta,Pd-npa,DET,O,
282,4,7,zelo,,zelo,Rgp,ADV,O,
282,4,8,",",,",",Z,PUNCT,O,
282,4,9,zelo,,zelo,Rgp,ADV,O,
