docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
file18724294,0,1,Trump,,Trump,NNMS1-----A----,PROPN,O,
file18724294,0,2,o,,o,RR--6----------,ADP,O,
file18724294,0,3,víkendu,,víkend,NNIS6-----A----,NOUN,O,
file18724294,0,4,poprvé,,poprvé,Cv-------------,ADV,O,
file18724294,0,5,od,,od,RR--2----------,ADP,O,
file18724294,0,6,voleb,,volba,NNFP2-----A----,NOUN,O,
file18724294,0,7,vystoupil,,vystoupit,VpYS---XR-AA---,VERB,O,
file18724294,0,8,na,,na,RR--6----------,ADP,O,
file18724294,0,9,veřejném,,veřejný,AAIS6----1A----,ADJ,O,
file18724294,0,10,mítinku,,mítink,NNIS6-----A----,NOUN,O,
file18724294,0,11,.,,.,Z:-------------,PUNCT,O,
file18724294,1,1,V,,v,RR--6----------,ADP,O,
file18724294,1,2,Georgii,,Georgie,NNFS6-----A----,PROPN,O,
file18724294,1,3,podpořil,,podpořit,VpYS---XR-AA---,VERB,O,
file18724294,1,4,republikánské,,republikánský,AAMP4----1A----,ADJ,O,
file18724294,1,5,kandidáty,,kandidát,NNMP4-----A----,NOUN,O,
file18724294,2,1,Donald,,Donald,NNMS1-----A----,PROPN,O,
file18724294,2,2,Trump,,Trump,NNMS1-----A----,PROPN,O,
file18724294,2,3,se,,s,RV--7----------,ADP,O,
file18724294,2,4,svou,,svůj,P8FS7---------1,DET,O,
file18724294,2,5,ženou,,žena,NNFS7-----A----,NOUN,O,
file18724294,2,6,Melanií,,Melanie,NNFS7-----A----,PROPN,O,
file18724294,2,7,v,,v,RR--6----------,ADP,O,
file18724294,2,8,Georgii,,Georgie,NNFS6-----A----,PROPN,O,
file18724294,2,9,podpořil,,podpořit,VpYS---XR-AA---,VERB,O,
file18724294,2,10,tamní,,tamní,AANS4----1A----,ADJ,O,
file18724294,2,11,republikánské,,republikánský,AANS4----1A----,ADJ,O,
file18724294,2,12,.,,.,Z:-------------,PUNCT,O,
file18724294,2,13,.,,.,Z:-------------,PUNCT,O,
file18724294,2,14,.,,.,Z:-------------,PUNCT,O,
file18724294,2,15,|,,|,Z:-------------,PUNCT,O,
file18724294,2,16,foto,,foto,NNNS4-----A----,NOUN,O,
file18724294,2,17,:,,:,Z:-------------,PUNCT,O,
file18724294,2,18,ČTK,,ČTK,NNFXX-----A---8,PROPN,O,
file18724294,3,1,Valdosta,,Valdosta,NNFS1-----A----,PROPN,O,
file18724294,3,2,/,,/,Z:-------------,PUNCT,O,
file18724294,3,3,Praha,,Praha,NNFS1-----A----,PROPN,O,
file18724294,3,4,„,,„,Z:-------------,PUNCT,O,
file18724294,4,1,Musíte,,muset,VB-P---2P-AA---,VERB,O,
file18724294,4,2,hlasovat,,hlasovat,Vf--------A----,VERB,O,
file18724294,4,3,pro,,pro,RR--4----------,ADP,O,
file18724294,4,4,Davida,,David,NNMS4-----A----,PROPN,O,
file18724294,4,5,Perduea,,Perdue,NNMS4-----A----,PROPN,O,
file18724294,4,6,a,,a,J^-------------,CCONJ,O,
file18724294,4,7,Kelly,,Kelly,NNFXX-----A----,PROPN,O,
file18724294,4,8,Loefflerovou,,Loefflerová,NNFS4-----A----,PROPN,O,
file18724294,4,9,.,,.,Z:-------------,PUNCT,O,
file18724294,5,1,Prostě,,prostě,Dg-------1A----,ADV,O,
file18724294,5,2,musíte,,muset,VB-P---2P-AA---,VERB,O,
file18724294,5,3,!,,!,Z:-------------,PUNCT,O,
file18724294,5,4,“,,“,Z:-------------,PUNCT,O,
file18724294,6,1,Tak,,tak,Db-------------,ADV,O,
file18724294,6,2,zněl,,znít,VpYS---XR-AA---,VERB,O,
file18724294,6,3,klíčový,,klíčový,AAIS1----1A----,ADJ,O,
file18724294,6,4,vzkaz,,vzkaz,NNIS1-----A----,NOUN,O,
file18724294,6,5,",",,",",Z:-------------,PUNCT,O,
file18724294,6,6,který,,který,P4IS4----------,DET,O,
file18724294,6,7,vyslal,,vyslat,VpYS---XR-AA---,VERB,O,
file18724294,6,8,americký,,americký,AAMS1----1A----,ADJ,O,
file18724294,6,9,prezident,,prezident,NNMS1-----A----,NOUN,O,
file18724294,6,10,Donald,,Donald,NNMS1-----A----,PROPN,O,
file18724294,6,11,Trump,,Trump,NNMS1-----A----,PROPN,O,
file18724294,6,12,na,,na,RR--6----------,ADP,O,
file18724294,6,13,veřejném,,veřejný,AANS6----1A----,ADJ,O,
file18724294,6,14,shromáždění,,shromáždění,NNNS6-----A----,NOUN,O,
file18724294,6,15,ve,,v,RV--6----------,ADP,O,
file18724294,6,16,městě,,město,NNNS6-----A----,NOUN,O,
file18724294,6,17,Valdosta,,Valdosta,NNFS1-----A----,PROPN,O,
file18724294,6,18,v,,v,RR--6----------,ADP,O,
file18724294,6,19,jižanském,,jižanský,AAIS6----1A----,ADJ,O,
file18724294,6,20,federálním,,federální,AAIS6----1A----,ADJ,O,
file18724294,6,21,státě,,stát,NNIS6-----A----,NOUN,O,
file18724294,6,22,Georgia,,Georgia,NNFS1-----A----,PROPN,O,
file18724294,6,23,.,,.,Z:-------------,PUNCT,O,
file18724294,7,1,Perdue,,Perdue,NNMS1-----A----,PROPN,O,
file18724294,7,2,a,,a,J^-------------,CCONJ,O,
file18724294,7,3,Loefflerová,,Loefflerová,NNFS1-----A----,PROPN,O,
file18724294,7,4,jsou,,být,VB-P---3P-AA---,AUX,O,
file18724294,7,5,kandidáti,,kandidát,NNMP1-----A----,NOUN,O,
file18724294,7,6,Republikánské,,republikánský,AAFS2----1A----,ADJ,O,
file18724294,7,7,strany,,strana,NNFS2-----A----,NOUN,O,
file18724294,7,8,",",,",",Z:-------------,PUNCT,O,
file18724294,7,9,kteří,,který,P4MP1----------,DET,O,
file18724294,7,10,se,,se,P7-X4----------,PRON,O,
file18724294,7,11,ucházejí,,ucházet,VB-P---3P-AA---,VERB,O,
file18724294,7,12,o,,o,RR--4----------,ADP,O,
file18724294,7,13,křesla,,křeslo,NNNP4-----A----,NOUN,O,
file18724294,7,14,v,,v,RR--6----------,ADP,O,
file18724294,7,15,Senátu,,senát,NNIS6-----A----,NOUN,O,
file18724294,7,16,(,,(,Z:-------------,PUNCT,O,
file18724294,7,17,horní,,horní,AAFS6----1A----,ADJ,O,
file18724294,7,18,komoře,,komora,NNFS6-----A----,NOUN,O,
file18724294,7,19,parlamentu,,parlament,NNIS2-----A----,NOUN,O,
file18724294,7,20,USA,,USA,NNIPX-----A----,PROPN,O,
file18724294,7,21,),,),Z:-------------,PUNCT,O,
file18724294,7,22,.,,.,Z:-------------,PUNCT,O,
file18724294,8,1,O,,o,RR--6----------,ADP,O,
file18724294,8,2,tom,,ten,PDZS6----------,DET,O,
file18724294,8,3,",",,",",Z:-------------,PUNCT,O,
file18724294,8,4,uspějí,,uspět,VB-P---3P-AA---,VERB,O,
file18724294,8,5,-,,-,Z:-------------,PUNCT,O,
file18724294,8,6,li,,li,TT-------------,PART,O,
file18724294,8,7,proti,,proti,RR--3----------,ADP,O,
file18724294,8,8,svým,,svůj,P8XP3----------,DET,O,
file18724294,8,9,demokratickým,,demokratický,AAMP3----1A----,ADJ,O,
file18724294,8,10,soupeřům,,soupeř,NNMP3-----A----,NOUN,O,
file18724294,8,11,",",,",",Z:-------------,PUNCT,O,
file18724294,8,12,se,,se,P7-X4----------,PRON,O,
file18724294,8,13,rozhodne,,rozhodnout,VB-S---3P-AA---,VERB,O,
file18724294,8,14,5,,5,C=-------------,NUM,O,
file18724294,8,15,.,,.,Z:-------------,PUNCT,O,
file18724294,8,16,ledna,,leden,NNIS2-----A----,NOUN,O,
file18724294,8,17,a,,a,J^-------------,CCONJ,O,
file18724294,8,18,půjde,,jít,VB-S---3F-AA---,VERB,O,
file18724294,8,19,bez,,bez,RR--2----------,ADP,O,
file18724294,8,20,přehánění,,přehánění,NNNS2-----A----,NOUN,O,
file18724294,8,21,o,,o,RR--4----------,ADP,O,
file18724294,8,22,klíčové,,klíčový,AAIP4----1A----,ADJ,O,
file18724294,8,23,souboje,,souboj,NNIP4-----A----,NOUN,O,
file18724294,8,24,.,,.,Z:-------------,PUNCT,O,
file18724294,9,1,Jestliže,,jestliže,"J,-------------",SCONJ,O,
file18724294,9,2,by,,být,Vc-------------,AUX,O,
file18724294,9,3,alespoň,,alespoň,Db-------------,ADV,O,
file18724294,9,4,jeden,,jeden,ClYS1----------,NUM,O,
file18724294,9,5,z,,z,RR--2----------,ADP,O,
file18724294,9,6,republikánských,,republikánský,AAMP2----1A----,ADJ,O,
file18724294,9,7,kandidátů,,kandidát,NNMP2-----A----,NOUN,O,
file18724294,9,8,uspěl,,uspět,VpYS---XR-AA---,VERB,O,
file18724294,9,9,",",,",",Z:-------------,PUNCT,O,
file18724294,9,10,znamenalo,,znamenat,VpNS---XR-AA---,VERB,O,
file18724294,9,11,by,,být,Vc-------------,AUX,O,
file18724294,9,12,to,,ten,PDNS1----------,DET,O,
file18724294,9,13,",",,",",Z:-------------,PUNCT,O,
file18724294,9,14,že,,že,"J,-------------",SCONJ,O,
file18724294,9,15,strana,,strana,NNFS1-----A----,NOUN,O,
file18724294,9,16,si,,se,P7-X3----------,PRON,O,
file18724294,9,17,podrží,,podržet,VB-S---3P-AA---,VERB,O,
file18724294,9,18,v,,v,RR--6----------,ADP,O,
file18724294,9,19,Senátu,,senát,NNIS6-----A----,NOUN,O,
file18724294,9,20,většinu,,většina,NNFS4-----A----,NOUN,O,
file18724294,9,21,.,,.,Z:-------------,PUNCT,O,
file18724294,10,1,Pokud,,pokud,"J,-------------",SCONJ,O,
file18724294,10,2,by,,být,Vc-------------,AUX,O,
file18724294,10,3,však,,však,J^-------------,CCONJ,O,
file18724294,10,4,obě,,oba,ClHP4----------,NUM,O,
file18724294,10,5,křesla,,křeslo,NNNP4-----A----,NOUN,O,
file18724294,10,6,získali,,získat,VpMP---XR-AA---,VERB,O,
