docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
24,0,1,Michigan,,Michigan,subst:sg:nom:m1,PROPN,O,
24,0,2,zdecydował,,zdecydować,praet:sg:m1:perf,VERB,O,
24,0,3,.,,.,interp,PUNCT,O,
24,1,1,Ważne,,ważny,adj:sg:nom:n:pos,ADJ,O,
24,1,2,zwycięstwo,,zwycięstwo,subst:sg:nom:n:ncol,NOUN,O,
24,2,1,Wybory,,wybory,subst:pl:nom:n:pt,NOUN,O,
24,2,2,prezydenckie,,prezydencki,adj:pl:nom:n:pos,ADJ,O,
24,2,3,w,,w,prep:loc:nwok,ADP,O,
24,2,4,USA,,USA,subst:pl:loc:n:pt,PROPN,O,
24,2,5,.,,.,interp,PUNCT,O,
24,3,1,Czy,,czy,part,PART,O,
24,3,2,Donald,,Donald,subst:sg:nom:m1,PROPN,O,
24,3,3,Trump,,Trump,subst:sg:nom:m1,PROPN,O,
24,3,4,pozostanie,,pozostać,fin:sg:ter:perf,VERB,O,
24,3,5,przywódcą,,przywódca,subst:sg:inst:m1,NOUN,O,
24,3,6,Stanów,,Stany,subst:pl:gen:n:pt,PROPN,O,
24,3,7,Zjednoczonych,,Zjednoczone,adj:pl:gen:n:pos,ADJ,O,
24,3,8,na,,na,prep:acc,ADP,O,
24,3,9,kolejną,,kolejny,adj:sg:acc:f:pos,ADJ,O,
24,3,10,kadencję,,kadencja,subst:sg:acc:f,NOUN,O,
24,3,11,",",,",",interp,PUNCT,O,
24,3,12,czy,,czy,part,PART,O,
24,3,13,zastąpi,,zastąpić,fin:sg:ter:perf,VERB,O,
24,3,14,go,,on,ppron3:sg:acc:m1:ter:nakc:npraep,PRON,O,
24,3,15,kandydat,,kandydat,subst:sg:nom:m1,NOUN,O,
24,3,16,Demokratów,,demokrata,subst:pl:gen:m1,NOUN,O,
24,3,17,Joe,,Joe,subst:sg:nom:m1,PROPN,O,
24,3,18,Biden,,Biden,subst:sg:nom:m1,PROPN,O,
24,3,19,?,,?,interp,PUNCT,O,
24,4,1,Obaj,,oba,num:pl:nom:m1:congr,NUM,O,
24,4,2,kandydaci,,kandydat,subst:pl:nom:m1,NOUN,O,
24,4,3,idą,,iść,fin:pl:ter:imperf,VERB,O,
24,4,4,łeb,,łeb,subst:sg:acc:m3,NOUN,O,
24,4,5,w,,w,prep:acc:nwok,ADP,O,
