docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-15,0,1,Регистрация,,регистрация,,NOUN,O,
ru-15,0,2,пройдена,,пройти,,VERB,O,
ru-15,0,3,успешно,,успешно,,ADV,O,
ru-15,0,4,!,,!,,PUNCT,O,
ru-15,1,1,Пожалуйста,,пожалуйста,,ADV,O,
ru-15,1,2,",",,",",,PUNCT,O,
ru-15,1,3,перейдите,,перейти,,VERB,O,
ru-15,1,4,по,,по,,ADP,O,
ru-15,1,5,ссылке,,ссылка,,NOUN,O,
ru-15,1,6,из,,из,,ADP,O,
ru-15,1,7,письма,,письмо,,NOUN,O,
ru-15,1,8,",",,",",,PUNCT,O,
ru-15,1,9,отправленного,,отправить,,VERB,O,
ru-15,1,10,на,,на,,ADP,O,
ru-15,2,1,Конгресс,,Конгресс,,NOUN,O,
ru-15,2,2,утвердил,,утвердить,,VERB,O,
ru-15,2,3,избрание,,избрание,,NOUN,O,
ru-15,2,4,Джо,,Джо,,PROPN,O,
ru-15,2,5,Байдена,,Байден,,PROPN,O,
ru-15,2,6,президентом,,президент,,NOUN,O,
ru-15,2,7,США,,США,,PROPN,O,
ru-15,3,1,Конгресс,,Конгресс,,NOUN,O,
ru-15,3,2,утвердил,,утвердить,,VERB,O,
ru-15,3,3,избрание,,избрание,,NOUN,O,
ru-15,3,4,Джо,,Джо,,PROPN,O,
ru-15,3,5,Байдена,,Байден,,PROPN,O,
ru-15,3,6,президентом,,президент,,NOUN,O,
ru-15,3,7,США,,США,,PROPN,O,
ru-15,4,1,Конгресс,,Конгресс,,NOUN,O,
ru-15,4,2,США,,США,,PROPN,O,
ru-15,4,3,утвердил,,утвердить,,VERB,O,
ru-15,4,4,избрание,,избрание,,NOUN,O,
ru-15,4,5,Джо,,Джо,,PROPN,O,
ru-15,4,6,Байдена,,Байден,,PROPN,O,
ru-15,4,7,президентом,,президент,,NOUN,O,
ru-15,4,8,",",,",",,PUNCT,O,
ru-15,4,9,свидетельствуют,,свидетельствовать,,VERB,O,
ru-15,4,10,результаты,,результат,,NOUN,O,
ru-15,4,11,обсуждения,,обсуждение,,NOUN,O,
ru-15,4,12,.,,.,,PUNCT,O,
ru-15,5,1,РИА,,риа,,NOUN,O,
ru-15,5,2,Новости,,Новость,,PROPN,O,
ru-15,5,3,",",,",",,PUNCT,O,
ru-15,5,4,07.01.2021,,07.01.2021,,NUM,O,
ru-15,6,1,ВАШИНГТОН,,вашингтон,,NOUN,O,
ru-15,6,2,",",,",",,PUNCT,O,
ru-15,6,3,7,,7,,NUM,O,
ru-15,6,4,янв,,янв,,NOUN,O,
ru-15,6,5,—,,—,,PUNCT,O,
ru-15,6,6,РИА,,РИА,,PROPN,O,
ru-15,6,7,Новости,,Новость,,PROPN,O,
ru-15,6,8,.,,.,,PUNCT,O,
ru-15,7,1,Конгресс,,Конгресс,,NOUN,O,
ru-15,7,2,США,,США,,PROPN,O,
ru-15,7,3,утвердил,,утвердить,,VERB,O,
ru-15,7,4,избрание,,избрание,,NOUN,O,
ru-15,7,5,Джо,,Джо,,PROPN,O,
ru-15,7,6,Байдена,,Байден,,PROPN,O,
ru-15,7,7,президентом,,президент,,NOUN,O,
ru-15,7,8,",",,",",,PUNCT,O,
ru-15,7,9,свидетельствуют,,свидетельствовать,,VERB,O,
ru-15,7,10,результаты,,результат,,NOUN,O,
ru-15,7,11,обсуждения,,обсуждение,,NOUN,O,
ru-15,7,12,.,,.,,PUNCT,O,
ru-15,8,1,Байден,,Байден,,PROPN,O,
ru-15,8,2,получил,,получить,,VERB,O,
ru-15,8,3,больше,,больше,,ADV,O,
ru-15,8,4,270,,270,,NUM,O,
ru-15,8,5,необходимых,,необходимый,,ADJ,O,
ru-15,8,6,для,,для,,ADP,O,
ru-15,8,7,избрания,,избрание,,NOUN,O,
ru-15,8,8,голосов,,голос,,NOUN,O,
ru-15,8,9,выборщиков,,выборщик,,NOUN,O,
ru-15,8,10,.,,.,,PUNCT,O,
ru-15,9,1,Как,,как,,SCONJ,O,
ru-15,9,2,и,,и,,PART,O,
ru-15,9,3,ожидалось,,ожидать,,VERB,O,
ru-15,9,4,",",,",",,PUNCT,O,
ru-15,9,5,у,,у,,ADP,O,
ru-15,9,6,него,,он,,PRON,O,
ru-15,9,7,оказалось,,оказаться,,VERB,O,
ru-15,9,8,306,,306,,NUM,O,
ru-15,9,9,голосов,,голос,,NOUN,O,
ru-15,9,10,",",,",",,PUNCT,O,
ru-15,9,11,у,,у,,ADP,O,
ru-15,9,12,действующего,,действовать,,VERB,O,
ru-15,9,13,президента,,президент,,NOUN,O,
ru-15,9,14,Дональда,,Дональд,,PROPN,O,
ru-15,9,15,Трампа,,Трамп,,PROPN,O,
ru-15,9,16,—,,—,,PUNCT,O,
ru-15,9,17,232,,232,,NUM,O,
ru-15,9,18,.,,.,,PUNCT,O,
ru-15,10,1,Вице-президент,,вице-президент,,NOUN,O,
ru-15,10,2,Майк,,Майк,,PROPN,O,
