docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
uk-20326,0,1,Цей,,цей,Pd--mnsaa,DET,O,
uk-20326,0,2,матеріал,,матеріал,Ncmsan,NOUN,O,
uk-20326,0,3,опубліковано,,опублікувати,Vmeo,VERB,O,
uk-20326,0,4,на,,на,Spsa,ADP,O,
uk-20326,0,5,Корреспондент,,Корреспондент,Npmsan,PROPN,O,
uk-20326,0,6,.net,,.net,X,X,O,
uk-20326,0,7,в,,в,Spsl,ADP,O,
uk-20326,0,8,рамках,,рамка,Ncfpln,NOUN,O,
uk-20326,0,9,офіційної,,офіційний,Ao-fsgf,ADJ,O,
uk-20326,0,10,партнерської,,партнерський,Ao-fsgf,ADJ,O,
uk-20326,0,11,угоди,,угода,Ncfsgn,NOUN,O,
uk-20326,0,12,з,,з,Spsg,ADP,O,
uk-20326,0,13,Deutsche,,Deutsche,X,X,O,
uk-20326,0,14,Welle,,Welle,X,X,O,
uk-20326,1,1,Джо,,Джо,Npmsny,PROPN,O,
uk-20326,1,2,Байден,,Байден,Npmsny,PROPN,O,
uk-20326,1,3,здобув,,здобути,Vmeis-sm,VERB,O,
uk-20326,1,4,перемогу,,перемога,Ncfsan,NOUN,O,
uk-20326,1,5,на,,на,Spsl,ADP,O,
uk-20326,1,6,праймеріз,,праймеріз,Ncfsln,NOUN,O,
uk-20326,1,7,ще,,ще,R,ADV,O,
uk-20326,1,8,у,,у,Spsl,ADP,O,
uk-20326,1,9,чотирьох,,чотири,Mlc-l,NUM,O,
uk-20326,1,10,штатах,,штат,Ncfpln,NOUN,O,
uk-20326,2,1,Українська,,український,Ao-fsns,ADJ,O,
uk-20326,2,2,служба,,служба,Ncfsnn,NOUN,O,
uk-20326,2,3,DW,,DW,X,X,O,
uk-20326,2,4,",",,",",U,PUNCT,O,
uk-20326,2,5,11,,11,Mlonsg,ADJ,O,
uk-20326,2,6,березня,,березень,Ncmsgn,NOUN,O,
uk-20326,2,7,2020,,2020,Mlomsg,ADJ,O,
uk-20326,2,8,",",,",",U,PUNCT,O,
uk-20326,2,9,08,,08,Mlc-nn,NUM,O,
uk-20326,2,10,:,,:,U,PUNCT,O,
uk-20326,2,11,46,,46,Mlc-n,NUM,O,
uk-20326,3,1,0,,0,Mlc-n,NUM,O,
uk-20326,4,1,272,,272,Mlc-n,NUM,O,
uk-20326,5,1,Фото,,фото,I,INTJ,O,
uk-20326,5,2,:,,:,U,PUNCT,O,
uk-20326,5,3,Reuters,,Reuters,X,X,O,
uk-20326,6,1,Колишній,,колишній,Ao-msnf,ADJ,O,
uk-20326,6,2,віцепрезидент,,віцепрезидент,Ncmsny,NOUN,O,
uk-20326,6,3,США,,США,Np-pgn,PROPN,O,
uk-20326,6,4,Джо,,Джо,Npmsny,PROPN,O,
uk-20326,6,5,Байден,,Байден,Npmsny,PROPN,O,
uk-20326,6,6,під,,під,Spsa,ADP,O,
uk-20326,6,7,час,,час,Ncmsan,NOUN,O,
uk-20326,6,8,спілкування,,спілкування,Ncnsgn,NOUN,O,
uk-20326,6,9,із,,із,Spsi,ADP,O,
uk-20326,6,10,робітниками,,робітник,Ncmpiy,NOUN,O,
uk-20326,6,11,фабрики,,фабрика,Ncfsgn,NOUN,O,
uk-20326,6,12,у,,у,Spsl,ADP,O,
uk-20326,6,13,Детройті,,Детройт,Npmsln,PROPN,O,
uk-20326,7,1,Колишній,,колишній,Ao-msnf,ADJ,O,
uk-20326,7,2,віцепрезидент,,віцепрезидент,Ncmsny,NOUN,O,
uk-20326,7,3,США,,США,Np-pgn,PROPN,O,
uk-20326,7,4,Джо,,Джо,Npmsny,PROPN,O,
uk-20326,7,5,Байден,,Байден,Npmsny,PROPN,O,
uk-20326,7,6,переміг,,перемогти,Vmeis-sm,VERB,O,
uk-20326,7,7,в,,в,Spsl,ADP,O,
uk-20326,7,8,праймеріз,,праймеріз,Ncfsln,NOUN,O,
uk-20326,7,9,у,,у,Spsl,ADP,O,
uk-20326,7,10,чотирьох,,чотири,Mlc-l,NUM,O,
uk-20326,7,11,штатах,,штат,Ncfpln,NOUN,O,
uk-20326,7,12,",",,",",U,PUNCT,O,
uk-20326,7,13,збільшивши,,збільшити,Vmegs,VERB,O,
uk-20326,7,14,таким,,такий,Pd--m-sia,DET,O,
uk-20326,7,15,чином,,чин,Ncmsin,NOUN,O,
uk-20326,7,16,свій,,свій,Pps-mnsaa,DET,O,
uk-20326,7,17,відрив,,відрив,Ncmsan,NOUN,O,
