ru-157
The Guardian	The Guardian	PRO	PRO-The-Guardian
Азии Биби	Азия Биби	PER	PER-Asia-Bibi
Ашик Масих	Ашик Масих	PER	PER-Ashiq-Masih
Биби	Биби	PER	PER-Asia-Bibi
Борис Джонсон	Борис Джонсон	PER	PER-Boris-Johnson
Великобритании	Великобритания	LOC	GPE-Great-Britain
Джастин Трюдо	Джастин Трюдо	PER	PER-Justin-Trudeau
Джереми Ханту	Джереми Хант	PER	PER-Jeremy-Hunt
Италии	Италия	LOC	GPE-Italy
Канада	Канада	LOC	GPE-Canada
Канаде	Канада	LOC	GPE-Canada
Канады	Канада	LOC	GPE-Canada
Лента.ру	Лента.ру	ORG	ORG-Lenta-Ru-News-Agency
МИД Британии	МИД Британии	ORG	ORG-Foreign-Office
Оттаве	Оттава	LOC	GPE-Ottawa
Пакистана	Пакистан	LOC	GPE-Pakistan
Пакистаном	Пакистан	LOC	GPE-Pakistan
Саджиду Джавиду	Саджид Джавид	PER	PER-Sajid-Javid
Соединенного Королевства	Соединенное Королевство	LOC	GPE-Great-Britain
Соединенным Штатам	Соединенные Штаты	LOC	GPE-USA
