ru-2
Sky News	Sky News	PRO	PRO-Sky-News-TV
Азию Биби	Азия Биби	PER	PER-Asia-Bibi
Азию-Биби	Азия-Биби	PER	PER-Asia-Bibi
Азия-Биби	Азия-Биби	PER	PER-Asia-Bibi
Асии Биби	Асия Биби	PER	PER-Asia-Bibi
Асия Биби	Асия Биби	PER	PER-Asia-Bibi
Биби	Биби	PER	PER-Asia-Bibi
Верховный суд Пакистана	Верховный суд Пакистана	ORG	ORG-Supreme-Court-of-Pakistan
Исламабада	Исламабад	LOC	GPE-Islamabad
Мухаммеда	Мухаммед	PER	PER-Prophet-Muhammad
Пакистана	Пакистан	LOC	GPE-Pakistan
Пакистане	Пакистан	LOC	GPE-Pakistan
Пенджаб	Пенджаб	LOC	GPE-Punjab
Сальман Тасир	Сальман Тасир	PER	PER-Salmaan-Taseer
Шахбаз Бхатти	Шахбаз Бхатти	PER	PER-Clement-Shahbaz-Bhatti
