bg-1651
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Партията за независимост	Партия за независимост	ORG	ORG-UK-Independence-Party
Ройтерс	Ройтерс	ORG	ORG-Reuters
Световната търговска организация	Световна търговска организация	ORG	ORG-WTO-World-Trade-Organization
Фараж	Фараж	PER	PER-Nigel-Farage
