bg-454
EUobserver	EUobserver	PRO	PRO-EUobserver
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Дейвис	Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейският съюз	Европейски съюз	ORG	ORG-European-Union
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
